Comparison,MeanDiff,t_statistic,P_value_raw,P_value
WU - WanT,3.8330494728304947,-6.020946844211164,1.8558196017261071e-09,1.8558196017261072e-08
WU - VO2,2.7974859996185657,-5.3966187235535354,7.05341985741617e-08,7.053419857416169e-07
WU - ST,2.5104425552454113,-5.177633871801128,2.3133434113015873e-07,2.3133434113015873e-06
WanT - CD,-3.9666297046250762,4.513225835401136,6.528192687585758e-06,6.528192687585757e-05
VO2 - CD,-2.931066231413147,4.106811476589797,4.065081704946606e-05,0.0004065081704946606
ST - CD,-2.644022787039993,4.058189999399684,5.002015991768809e-05,0.0005002015991768809
ST - WanT,1.3226069175850834,-1.8107857746577938,0.07023574165029818,0.7023574165029818
WU - CD,-0.13358023179458156,0.22506103953794238,0.821938473507629,1.0
ST - VO2,0.2870434443731542,-0.48314871251187663,0.6290086079220483,1.0
VO2 - WanT,1.0355634732119292,-1.3196748809627876,0.18701586169328432,1.0
