subject,angle,muscle,r,p,n,duration_s
subject_541,Sagittal,MTL_IMF,0.043204101937081914,0.34089062057061414,488,487.9996
subject_541,Sagittal,MTR_IMF,-0.008331623286313082,0.8543407884858044,488,487.9996
subject_541,Sagittal,SCML_IMF,-0.03069664531913833,0.4987032625413674,488,487.9996
subject_541,Sagittal,SCMR_IMF,0.00896422505338412,0.8434188052434552,488,487.9996
subject_541,Sagittal,STL_IMF,-0.015316744207448737,0.7357324601215697,488,487.9996
subject_541,Sagittal,STR_IMF,-0.0028799943557331195,0.9494016994829332,488,487.9996
subject_541,Sagittal,UTL_IMF,-0.009421690751704324,0.8355391138882433,488,487.9996
subject_541,Sagittal,UTR_IMF,-0.07707554201467799,0.08897703109501767,488,487.9996
subject_541,Frontal,MTL_IMF,-0.07731284526260875,0.087994863957199,488,487.9996
subject_541,Frontal,MTR_IMF,-0.060056193938455,0.18534430099387045,488,487.9996
subject_541,Frontal,SCML_IMF,0.10692582290696924,0.01813802024032214,488,487.9996
subject_541,Frontal,SCMR_IMF,0.27869909977191243,3.717785020900782e-10,488,487.9996
subject_541,Frontal,STL_IMF,0.10303925522499834,0.022819906691865,488,487.9996
subject_541,Frontal,STR_IMF,0.07773549307970123,0.08626717937753936,488,487.9996
subject_541,Frontal,UTL_IMF,-0.03340058617957589,0.4616355940340253,488,487.9996
subject_541,Frontal,UTR_IMF,-0.002996357700205339,0.9473602268719788,488,487.9996
subject_541,Horizontal,MTL_IMF,-0.0886952629202513,0.05020908564071929,488,487.9996
subject_541,Horizontal,MTR_IMF,-0.03389619250836451,0.4550117762671915,488,487.9996
subject_541,Horizontal,SCML_IMF,0.09556053711835628,0.03482225420690484,488,487.9996
subject_541,Horizontal,SCMR_IMF,0.10243698848023902,0.023631998887326065,488,487.9996
subject_541,Horizontal,STL_IMF,0.033505600593012094,0.46022760193865375,488,487.9996
subject_541,Horizontal,STR_IMF,0.0875520558876137,0.05325577609604051,488,487.9996
subject_541,Horizontal,UTL_IMF,0.07005109059813187,0.1222472201724837,488,487.9996
subject_541,Horizontal,UTR_IMF,0.04792728262173008,0.2906757297199645,488,487.9996
subject_560,Sagittal,MTL_IMF,-0.07863646362378054,0.08757119964398548,473,472.9995
subject_560,Sagittal,MTR_IMF,0.009060180778230377,0.844196465955566,473,472.9995
subject_560,Sagittal,SCML_IMF,0.09598579731913479,0.036901679510750345,473,472.9995
subject_560,Sagittal,SCMR_IMF,0.1597228290394462,0.0004885410950526334,473,472.9995
subject_560,Sagittal,STL_IMF,0.09474441999925239,0.03942357336585148,473,472.9995
subject_560,Sagittal,STR_IMF,0.08014496765123279,0.08164366210477701,473,472.9995
subject_560,Sagittal,UTL_IMF,0.1637732247511473,0.00034811201008713103,473,472.9995
subject_560,Sagittal,UTR_IMF,0.003612387874961895,0.937544374517264,473,472.9995
subject_560,Frontal,MTL_IMF,0.08717056921106592,0.05816850955338834,473,472.9995
subject_560,Frontal,MTR_IMF,-0.1674169571282378,0.00025489738913464543,473,472.9995
subject_560,Frontal,SCML_IMF,-0.1619258871976133,0.00040669972767521046,473,472.9995
subject_560,Frontal,SCMR_IMF,-0.22090601864068474,1.2238120130453138e-06,473,472.9995
