pct_center,angle,muscle,mean_r,sd_r,n_subjects,se_r
10,Frontal,MTL,-0.030057928260730057,0.19429207229847942,54,0.0264398021221785
10,Frontal,MTR,0.01233081485930453,0.21897309170574367,55,0.029526325662232657
10,Frontal,SCML,0.03601249567024755,0.2571253622650665,55,0.03467077677498383
10,Frontal,SCMR,0.044598789259346815,0.2364774642217234,54,0.03218050683391597
10,Frontal,STL,0.0220831961507697,0.2250997223592097,55,0.03035244037101863
10,Frontal,STR,0.04152695462718109,0.261245756568625,54,0.035551044503359885
10,Frontal,UTL,0.04999933713674994,0.22082609424532618,55,0.02977618447369877
10,Frontal,UTR,0.05702594359476873,0.21322753626273547,55,0.028751595124342444
10,Horizontal,MTL,-0.0028031961393257163,0.21333949682304346,45,0.03180277447879504
10,Horizontal,MTR,0.0251006023575447,0.20155430464616805,46,0.02971756094847109
10,Horizontal,SCML,-0.01901164091245375,0.1712918462935514,46,0.025255604890905184
10,Horizontal,SCMR,-0.030065982475276108,0.16051866462143421,46,0.02366718591115614
10,Horizontal,STL,0.01795581213891024,0.2061692135124115,46,0.030397992139186602
10,Horizontal,STR,0.04503104866753548,0.20919337618698314,45,0.031184707306452
10,Horizontal,UTL,-0.04277263258437077,0.19983256689436082,46,0.029463704566358898
10,Horizontal,UTR,-0.0049707621778750195,0.19187619403799305,46,0.028290601388518306
10,Sagittal,MTL,-0.06947936133505249,0.23169596501993456,58,0.03042317067475866
10,Sagittal,MTR,-0.08572661736765946,0.2548195064013569,59,0.03317467403506374
10,Sagittal,SCML,0.0807039809309466,0.28504223344418594,59,0.037109337955640344
10,Sagittal,SCMR,0.0689525487918223,0.2766935569521852,58,0.036331643958659926
10,Sagittal,STL,-0.12920329889769075,0.2724336772724355,59,0.035467843758599606
10,Sagittal,STR,-0.030548864577618823,0.2856831374296825,58,0.037512033704065494
10,Sagittal,UTL,-0.020739074134915405,0.25820100382213057,59,0.033614907501758724
10,Sagittal,UTR,-0.055360440250444794,0.23548873185181785,59,0.030658021548043417
