subject,pct_center,angle,muscle,r,p,n
subject_541,10,Sagittal,MTL_IMF,0.09275296225961951,0.36367401784842934,98
subject_541,10,Sagittal,MTR_IMF,0.1604016581821735,0.11462165996396328,98
subject_541,10,Sagittal,SCML_IMF,-0.028216488833363147,0.7827017238282176,98
subject_541,10,Sagittal,SCMR_IMF,0.16576688620045968,0.10283540259821829,98
subject_541,10,Sagittal,STL_IMF,0.11033987655598301,0.27943001206309553,98
subject_541,10,Sagittal,STR_IMF,-0.10824875342218972,0.2886990085332252,98
subject_541,10,Sagittal,UTL_IMF,0.10483630961355375,0.30425813155616765,98
subject_541,10,Sagittal,UTR_IMF,0.24167858485986304,0.01650949105527241,98
subject_541,10,Frontal,MTL_IMF,0.009326701675154658,0.9273758171978511,98
subject_541,10,Frontal,MTR_IMF,0.06261106377786356,0.5402290637861005,98
subject_541,10,Frontal,SCML_IMF,0.3091910848986853,0.0019493396625394263,98
subject_541,10,Frontal,SCMR_IMF,0.2861165123028465,0.004289745923834644,98
subject_541,10,Frontal,STL_IMF,0.012706169302385315,0.9011761102862043,98
subject_541,10,Frontal,STR_IMF,0.29000135848885994,0.0037728856567289795,98
subject_541,10,Frontal,UTL_IMF,0.16458074994148864,0.10535575792699688,98
subject_541,10,Frontal,UTR_IMF,0.10473820819690662,0.3047133824972195,98
subject_541,10,Horizontal,MTL_IMF,-0.08673866820581423,0.3957400122486831,98
subject_541,10,Horizontal,MTR_IMF,-0.2387569123879758,0.017904062309557434,98
subject_541,10,Horizontal,SCML_IMF,0.04314726598415468,0.6731328385291658,98
subject_541,10,Horizontal,SCMR_IMF,0.1984879266455036,0.05008237619277322,98
subject_541,10,Horizontal,STL_IMF,-0.1589389224447903,0.11800991089197625,98
subject_541,10,Horizontal,STR_IMF,0.07215308245141423,0.4801660824043617,98
subject_541,10,Horizontal,UTL_IMF,0.08899634448542487,0.3835107932276685,98
subject_541,10,Horizontal,UTR_IMF,-0.13555720170214547,0.18322780938414945,98
subject_541,20,Sagittal,MTL_IMF,0.029789265788142647,0.7709139719613806,98
subject_541,20,Sagittal,MTR_IMF,-0.18764129008284616,0.0642860277211016,98
subject_541,20,Sagittal,SCML_IMF,-0.05465353776025993,0.592995453893672,98
subject_541,20,Sagittal,SCMR_IMF,0.0597564753034299,0.5588896365785633,98
subject_541,20,Sagittal,STL_IMF,0.2498709797755926,0.013088438097810996,98
subject_541,20,Sagittal,STR_IMF,0.08844297501951413,0.3864869711555883,98
subject_541,20,Sagittal,UTL_IMF,-0.3775816576154863,0.00012669290512352368,98
subject_541,20,Sagittal,UTR_IMF,-0.25993886927055354,0.00974236907652135,98
subject_541,20,Frontal,MTL_IMF,0.10486319591575506,0.3041334402248256,98
subject_541,20,Frontal,MTR_IMF,0.19711305333277312,0.05172508239550651,98
subject_541,20,Frontal,SCML_IMF,0.30788030974907005,0.0020421511844756018,98
subject_541,20,Frontal,SCMR_IMF,0.20035042985671184,0.04792592786672331,98
subject_541,20,Frontal,STL_IMF,0.037597993757074136,0.7132046302237282,98
subject_541,20,Frontal,STR_IMF,0.13443581661200252,0.1869115002816534,98
subject_541,20,Frontal,UTL_IMF,0.22154106696220782,0.028356092890788418,98
subject_541,20,Frontal,UTR_IMF,0.34881425127601373,0.0004315206202519479,98
subject_541,20,Horizontal,MTL_IMF,-0.013092547963499152,0.8981868693083486,98
subject_541,20,Horizontal,MTR_IMF,0.15065499627684045,0.1386763409914554,98
subject_541,20,Horizontal,SCML_IMF,0.05466038293622676,0.5929490814391714,98
subject_541,20,Horizontal,SCMR_IMF,0.0854257815283178,0.40295695160149503,98
subject_541,20,Horizontal,STL_IMF,-0.10937736260082291,0.28367136592527586,98
subject_541,20,Horizontal,STR_IMF,-0.2451001323591518,0.014996593448866277,98
subject_541,20,Horizontal,UTL_IMF,0.3118309916115665,0.0017738930386345317,98
subject_541,20,Horizontal,UTR_IMF,0.29182805806583156,0.003549697256709753,98
subject_541,30,Sagittal,MTL_IMF,0.0798142533193815,0.4370822587207263,97
subject_541,30,Sagittal,MTR_IMF,0.16778901599201557,0.10042927251144439,97
subject_541,30,Sagittal,SCML_IMF,0.047449815879823665,0.6444195948133131,97
subject_541,30,Sagittal,SCMR_IMF,-0.10772972907028935,0.2935707885541017,97
subject_541,30,Sagittal,STL_IMF,0.344829903838672,0.0005424240807876332,97
subject_541,30,Sagittal,STR_IMF,0.1736903519606454,0.08886160620351952,97
subject_541,30,Sagittal,UTL_IMF,-0.20989444957857245,0.03906820457051264,97
subject_541,30,Sagittal,UTR_IMF,-0.026052315849685464,0.8000346539000095,97
