angle,muscle,phase,r,p,n,p_bonf,significant
Sagittal,MTL,Warmup,0.10918070644796028,0.4104202397429354,59,1.0,False
Sagittal,MTR,Warmup,0.10964613705565769,0.40429915663611415,60,1.0,False
Sagittal,SCML,Warmup,-0.023535296017775483,0.858335544523637,60,1.0,False
Sagittal,SCMR,Warmup,0.02133348921493871,0.8725835163925418,59,1.0,False
Sagittal,STL,Warmup,-0.28536893754728954,0.02709555198264804,60,1.0,False
Sagittal,STR,Warmup,-0.2735946931921318,0.036016195793993594,59,1.0,False
Sagittal,UTL,Warmup,-0.05290578939533001,0.688076212084323,60,1.0,False
Sagittal,UTR,Warmup,0.09077899892570544,0.4903165167694768,60,1.0,False
Frontal,MTL,Warmup,0.21677627003350458,0.09911931284319991,59,1.0,False
Frontal,MTR,Warmup,0.10848964951189995,0.40930410353396457,60,1.0,False
Frontal,SCML,Warmup,0.28342365147844967,0.02820520401534702,60,1.0,False
Frontal,SCMR,Warmup,0.19966975101902076,0.12947116049915428,59,1.0,False
Frontal,STL,Warmup,0.1690426582942847,0.19664504298185,60,1.0,False
Frontal,STR,Warmup,0.20944030619658807,0.11137718801858244,59,1.0,False
Frontal,UTL,Warmup,0.07742114844778517,0.5565524810899748,60,1.0,False
Frontal,UTR,Warmup,0.10815617722856419,0.41075391528753996,60,1.0,False
Horizontal,MTL,Warmup,0.0660746511291536,0.619038280929295,59,1.0,False
Horizontal,MTR,Warmup,0.027849286732341286,0.8327135079731619,60,1.0,False
Horizontal,SCML,Warmup,-0.0010850371454158945,0.9934351920418618,60,1.0,False
Horizontal,SCMR,Warmup,0.08927243521964905,0.5013371084587657,59,1.0,False
Horizontal,STL,Warmup,0.11161971865150175,0.39584090670173877,60,1.0,False
Horizontal,STR,Warmup,0.036607346573326476,0.7831147083225144,59,1.0,False
Horizontal,UTL,Warmup,0.06652112345357444,0.61356507696828,60,1.0,False
Horizontal,UTR,Warmup,0.12839606220754748,0.32823035268175815,60,1.0,False
Sagittal,MTL,Second_threshold,0.032361762704605286,0.8094327796928609,58,1.0,False
Sagittal,MTR,Second_threshold,0.22362172530508354,0.08865150053105073,59,1.0,False
Sagittal,SCML,Second_threshold,0.050411327254478444,0.7045593542162122,59,1.0,False
Sagittal,SCMR,Second_threshold,0.006490809820030149,0.9614317798965069,58,1.0,False
Sagittal,STL,Second_threshold,-0.0016073176805775737,0.990360284339686,59,1.0,False
Sagittal,STR,Second_threshold,-0.10680612177793684,0.4248759147003553,58,1.0,False
Sagittal,UTL,Second_threshold,-0.11485015426672483,0.38639324957547233,59,1.0,False
Sagittal,UTR,Second_threshold,-0.06940689984312251,0.6014278073353896,59,1.0,False
Frontal,MTL,Second_threshold,0.03017397749507238,0.8252802631252999,56,1.0,False
Frontal,MTR,Second_threshold,0.13196658426190352,0.32780688236916944,57,1.0,False
Frontal,SCML,Second_threshold,0.1921430871640252,0.15217508905642918,57,1.0,False
Frontal,SCMR,Second_threshold,0.11008706129506882,0.4192663621056323,56,1.0,False
Frontal,STL,Second_threshold,0.1967171501878522,0.14247075734650427,57,1.0,False
Frontal,STR,Second_threshold,0.10725104245697496,0.43141971578180305,56,1.0,False
Frontal,UTL,Second_threshold,0.205962596725375,0.12427738631853213,57,1.0,False
Frontal,UTR,Second_threshold,0.1112697600831684,0.40992810070305824,57,1.0,False
Horizontal,MTL,Second_threshold,-0.11707332137044411,0.3814597448045149,58,1.0,False
