subject,angle_plane,rho,p_value,n,x_min,x_max,power_source
subject_541,angle_sagittal,-0.11283004395483594,0.020732187925971177,420,70.0,200.0,file
subject_560,angle_sagittal,-0.09443522097086188,0.037028038417954046,488,50.0,160.0,file
subject_570,angle_sagittal,0.01836393724282923,0.7284044658687556,360,144.0,260.0,file
subject_571,angle_sagittal,0.27850912899466024,7.759574316343704e-08,360,193.33333333333337,300.0,file
subject_572,angle_sagittal,0.3699424383707648,1.223037960768704e-28,840,103.33333333333331,270.0,file
subject_573,angle_sagittal,-0.19459117143826873,6.923134176795044e-08,756,113.33333333333331,340.0,file
subject_574,angle_sagittal,0.6695852399241055,9.857062574146865e-64,480,150.0,290.0,file
subject_575,angle_sagittal,0.04753241251945538,0.27019344211445623,540,120.0,300.0,file
subject_577,angle_sagittal,-0.04112041069916854,0.4366747858018625,360,235.0,290.0,file
subject_578,angle_sagittal,-0.28372687671256885,1.427035751565042e-12,600,205.0,300.0,file
subject_579,angle_sagittal,0.6567384330732041,3.5308800873023163e-112,900,205.0,360.0,file
subject_580,angle_sagittal,0.2663299479862678,3.714061930729777e-13,720,230.0,460.0,file
subject_581,angle_sagittal,-0.4537428758488889,1.1033512683322925e-19,360,193.33333333333337,300.0,file
subject_582,angle_sagittal,-0.4514869224730446,1.7989290853177494e-31,600,133.33333333333334,320.0,file
subject_583,angle_sagittal,0.5815694127683255,1.3810012485654885e-55,600,173.33333333333334,360.0,file
subject_584,angle_sagittal,0.19068785434479293,8.032503341395167e-08,780,175.0,310.0,file
subject_585,angle_sagittal,0.2767471751322607,5.201335633437192e-12,600,153.33333333333334,340.0,file
subject_586,angle_sagittal,0.6045335871255211,3.686236198240497e-49,480,230.0,380.0,file
subject_587,angle_sagittal,0.33480301945544616,2.0888080083881206e-12,418,130.0,225.0,file
subject_588,angle_sagittal,0.4194724631048598,4.7230200955847056e-32,720,166.66666666666666,340.0,file
subject_590,angle_sagittal,-0.7989500768141258,1.89690209926281e-147,660,250.0,460.0,file
subject_591,angle_sagittal,-0.44248823539631454,1.9724523494313455e-24,480,230.0,380.0,file
subject_594,angle_sagittal,0.7303092410240226,3.8571325760638888e-81,480,135.0,245.0,file
subject_595,angle_sagittal,-0.4398527031817805,5.896750950895267e-27,540,140.0,310.0,file
subject_596,angle_sagittal,0.5485791745888148,1.9164152699343338e-48,600,190.0,332.5,file
subject_597,angle_sagittal,0.10867396562977802,0.007714842565615837,600,137.5,270.0,file
subject_598,angle_sagittal,-0.42760765655890826,4.546615018785988e-28,600,107.5,265.0,file
subject_600,angle_sagittal,-0.06488991935464562,0.19754778962669534,396,155.0,252.5,file
subject_601,angle_sagittal,0.17248400631909927,8.34115207229979e-06,660,190.0,347.5,file
subject_602,angle_sagittal,-0.07876734381882086,0.06740131253491112,540,147.5,275.0,file
subject_603,angle_sagittal,0.4760393786961634,1.2453191659569215e-38,660,182.5,347.5,file
subject_604,angle_sagittal,0.10172829809506308,0.0089154121577669,660,172.5,315.0,file
subject_605,angle_sagittal,0.08167797792912462,0.057854786048248265,540,200.0,370.0,file
subject_606,angle_sagittal,0.3037793464425755,4.0198906864779525e-09,360,170.0,280.0,file
subject_607,angle_sagittal,0.309428946815998,8.852423475908876e-15,600,152.5,295.0,file
subject_608,angle_sagittal,-0.12426386772327913,0.016197673164366298,374,200.0,320.0,manual
subject_609,angle_sagittal,-0.5181876479207544,1.400569188987862e-44,630,100.0,300.0,manual
subject_610,angle_sagittal,0.2356138800905306,7.099750729471632e-07,433,180.0,320.0,manual
subject_611,angle_sagittal,-0.22689022968258588,7.366413271027317e-10,720,180.0,400.0,manual
subject_612,angle_sagittal,0.7334373108529453,3.938791321731444e-98,575,130.0,265.0,manual
subject_613,angle_sagittal,-0.023583848257575934,0.7208463275268511,232,220.0,280.0,manual
subject_614,angle_sagittal,0.6258008834235653,5.5448327189392695e-71,641,180.0,380.0,manual
subject_615,angle_sagittal,0.5651532804166687,3.606331390177342e-50,579,160.0,205.0,manual
subject_616,angle_sagittal,0.6532091308177947,2.8683215948741814e-74,600,160.0,340.0,manual
subject_617,angle_sagittal,-0.11507084252689573,0.005694189358953624,576,150.0,285.0,manual
subject_618,angle_sagittal,0.2784575256683783,1.740760926105841e-13,675,210.0,430.0,manual
subject_619,angle_sagittal,0.33489306747231173,1.6208088235556853e-11,384,200.0,320.0,manual
subject_620,angle_sagittal,0.34085243793556164,5.598012239825236e-18,607,170.0,320.0,manual
subject_621,angle_sagittal,0.6229585445186834,1.7438686046344986e-76,700,120.0,285.0,manual
subject_623,angle_sagittal,0.19028479319111094,8.796852055034138e-07,658,180.0,380.0,manual
subject_624,angle_sagittal,-0.5176104468508381,7.87955487443727e-63,900,90.0,320.0,manual
subject_625,angle_sagittal,-0.514520236529774,5.582101915416335e-62,900,120.0,330.0,manual
subject_626,angle_sagittal,0.10881776941397996,0.0034612083098671093,720,145.0,315.0,file
subject_627,angle_sagittal,-0.03013394829244242,0.4396033541545039,660,117.5,275.0,file
subject_628,angle_sagittal,0.10360063255623228,0.011109650644576188,600,107.5,250.0,file
subject_629,angle_sagittal,0.2792090637007183,4.363345126527885e-09,427,100.0,250.0,file
subject_630,angle_sagittal,-0.6843257632248362,8.019049528538874e-76,540,110.0,280.0,file
subject_631,angle_sagittal,0.4858429876981632,2.4703670445982264e-33,540,130.0,300.0,file
subject_632,angle_sagittal,-0.08381131533059653,0.05159331241501363,540,170.0,340.0,file
subject_541,angle_frontal,-0.05088208959787013,0.2981825311212332,420,70.0,200.0,file
subject_560,angle_frontal,0.40280729592115044,1.8414549319876974e-20,488,50.0,160.0,file
subject_570,angle_frontal,0.38540200193352603,3.4041180723255624e-14,360,144.0,260.0,file
subject_571,angle_frontal,-0.07725905384300454,0.14347370660768471,360,193.33333333333337,300.0,file
subject_572,angle_frontal,-0.2768513297937736,3.0274880696722317e-16,840,103.33333333333331,270.0,file
subject_573,angle_frontal,0.34073551333834795,5.25143299892133e-22,756,113.33333333333331,340.0,file
subject_574,angle_frontal,0.6180642883355904,6.533972816860092e-52,480,150.0,290.0,file
subject_575,angle_frontal,-0.23682199240073984,2.5485689333139144e-08,540,120.0,300.0,file
subject_577,angle_frontal,-0.10941329423113616,0.037987939625668404,360,235.0,290.0,file
subject_579,angle_frontal,-0.4273146304931898,2.8109585582399697e-33,719,205.0,360.0,file
subject_580,angle_frontal,-0.1517924867737499,4.3199955950181574e-05,720,230.0,460.0,file
subject_581,angle_frontal,-0.22293101188841147,1.9639484634509972e-05,360,193.33333333333337,300.0,file
subject_582,angle_frontal,0.5116323157975712,2.4669751077618004e-41,600,133.33333333333334,320.0,file
subject_583,angle_frontal,-0.6708332432999115,1.1227597848871512e-79,600,173.33333333333334,360.0,file
subject_584,angle_frontal,-0.1251545553032111,0.0004590916336352725,780,175.0,310.0,file
subject_585,angle_frontal,0.303322155000129,3.102281681128978e-14,600,153.33333333333334,340.0,file
subject_586,angle_frontal,0.558449587775634,1.0396821485205494e-40,480,230.0,380.0,file
subject_587,angle_frontal,0.2917398183631005,1.2053792207554172e-09,418,130.0,225.0,file
subject_588,angle_frontal,0.3976663318044486,1.07756783316515e-28,720,166.66666666666666,340.0,file
subject_590,angle_frontal,0.6146998659106261,7.817198188280572e-70,660,250.0,460.0,file
subject_591,angle_frontal,-0.15023919433270275,0.0009608270720102051,480,230.0,380.0,file
