angle,muscle,third,mean_r,median_r,sd_r,se_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Sagittal,MTL,Early (1-10s),0.06845519786989487,0.018881372801234024,0.5159843584623333,0.06957531670169785,-0.742886241780554,0.8189543389434095,0.3107538241753206,55,1.0,False
Sagittal,MTR,Early (1-10s),0.09804472708095864,0.17104493330161336,0.5395527616137171,0.07210077057308015,-0.8344742390009959,0.834041245545338,0.16427240177520552,56,1.0,False
Sagittal,SCML,Early (1-10s),0.1724458657399816,0.27987796558844613,0.5372011242994221,0.07178651981850712,-0.7872914157297785,0.9116304547236981,0.02169119336540684,56,1.0,False
Sagittal,SCMR,Early (1-10s),0.04344008721332329,0.0251751637349787,0.5494851984960915,0.07409256905033043,-0.8351463285650752,0.8478548409826285,0.5688531884261174,55,1.0,False
Sagittal,STL,Early (1-10s),-0.050974431883426936,-0.12221781690507529,0.5841516512166168,0.07806054788467319,-0.8552178401460068,0.826104961449818,0.587509665174896,56,1.0,False
Sagittal,STR,Early (1-10s),0.03232740042105431,0.06030226891555272,0.537973542091197,0.07254033761734964,-0.8222547166400374,0.8700671977179155,0.638927614576394,55,1.0,False
Sagittal,UTL,Early (1-10s),0.09112332396467962,0.15388465377828842,0.48399349786274004,0.06467635165816711,-0.7534920855946512,0.8732215553417101,0.18005702386443367,56,1.0,False
Sagittal,UTR,Early (1-10s),0.15095789108687277,0.2613098319673951,0.516629415391297,0.06966229616025553,-0.7677876283728033,0.8778689956688721,0.03969174644462909,55,1.0,False
Frontal,MTL,Early (1-10s),0.05972885525632755,-0.037986858819879316,0.38578267153888385,0.05402037917190183,-0.5754973942465145,0.7257869243961662,0.3667061503050135,51,1.0,False
Frontal,MTR,Early (1-10s),0.06339128792330316,0.037986858819879316,0.4274860150255813,0.059860015304082005,-0.6454046934943201,0.7747911046229201,0.34409556064784275,51,1.0,False
Frontal,SCML,Early (1-10s),0.08440996663871353,0.0,0.44809421349544415,0.06274574029258655,-0.6884333385397703,0.842826403898066,0.20111911232867397,51,1.0,False
Frontal,SCMR,Early (1-10s),0.09904207536624066,0.09615554958570598,0.4469739294823464,0.06321165931011297,-0.6863213171932607,0.8328584553142381,0.13434670024595877,50,1.0,False
Frontal,STL,Early (1-10s),0.07392729546872581,0.0,0.4066392760202879,0.05694088795947778,-0.5222329678670935,0.7722339658008829,0.24432351964883536,51,1.0,False
Frontal,STR,Early (1-10s),-0.00994520727178906,-0.00535548335740503,0.4792236373154604,0.06777245673012894,-0.7232926604959244,0.8242347430353043,0.8167666199340243,50,1.0,False
Frontal,UTL,Early (1-10s),0.07470098450160756,0.037986858819879316,0.37733097276734395,0.0528369046253027,-0.5350781594447187,0.772370682368797,0.2301874090026007,51,1.0,False
Frontal,UTR,Early (1-10s),0.047401345496214956,-0.030230093784327026,0.3736421349916937,0.0528409774779292,-0.68760199515858,0.6884771293047849,0.4348406816856957,50,1.0,False
Horizontal,MTL,Early (1-10s),-0.006004537790162173,0.037986858819879316,0.46578821551779065,0.07274389786079416,-0.6963106238227913,0.721750317577707,0.946410070213079,41,1.0,False
Horizontal,MTR,Early (1-10s),-0.00803417194248774,0.010828248645972094,0.5017656402212858,0.07742411918201816,-0.7214732860012318,0.7216809613104156,0.9203070850452085,42,1.0,False
