Subject,Sagital_Removed,Horizontal_Removed,Total_Removed
541,0,0,0
560,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
577,2,0,2
578,0,0,0
579,0,0,0
580,0,0,0
581,0,0,0
582,0,0,0
583,0,0,0
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
590,0,0,0
591,0,0,0
594,0,0,0
595,0,0,0
596,0,0,0
597,0,4,4
598,0,0,0
600,0,0,0
601,0,0,0
602,0,0,0
603,0,2,2
604,0,0,0
605,0,2,2
606,0,0,0
607,0,0,0
608,0,0,0
609,0,0,0
610,0,0,0
611,0,0,0
612,0,0,0
613,0,6,6
614,0,0,0
615,0,0,0
616,0,26,26
617,0,0,0
618,0,0,0
619,0,3,3
620,0,0,0
621,0,7,7
622,0,6,6
623,0,0,0
624,0,1,1
625,0,1,1
626,0,0,0
627,0,6,6
628,0,0,0
629,0,0,0
630,0,0,0
631,0,0,0
632,0,0,0
