angle,muscle,phase,mean_r,median_r,sd_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Sagittal,MTL,Warmup,-0.038457473387823626,-0.034070650598450374,0.260955247681342,-0.5167575926932507,0.3986067479863658,0.3118112520058264,59,1.0,False
Sagittal,MTR,Warmup,-0.01596481932831558,0.015705100324519834,0.2087479650600402,-0.44057102500186285,0.3142005198200272,0.9120730845618369,60,1.0,False
Sagittal,SCML,Warmup,0.19257702519506933,0.18587802570892847,0.30431028126830356,-0.3852955820448847,0.7624957778266112,1.6582963577412862e-05,60,0.0019899556292895435,True
Sagittal,SCMR,Warmup,0.15939382259323404,0.21033028322081057,0.3038450704202727,-0.5124240950070744,0.6791065877257166,0.00012588560955333565,59,0.015106273146400279,True
Sagittal,STL,Warmup,-0.07982313286195475,-0.07216214740824617,0.2962511017071577,-0.5892427922333405,0.5183045935894157,0.03655539084970371,60,1.0,False
Sagittal,STR,Warmup,0.020564159956996286,-0.03166020371804711,0.2703563974229468,-0.5156054966384456,0.5743538008096125,0.6560808699294636,59,1.0,False
Sagittal,UTL,Warmup,0.08962148845299718,0.11526428986805676,0.24826472502802344,-0.34007714920713533,0.5363569493437083,0.005151425391187675,60,0.618171046942521,False
Sagittal,UTR,Warmup,0.014609928849370546,0.021764041060504738,0.244105303614584,-0.4695377618895039,0.3883514572793749,0.5029177955295423,60,1.0,False
Frontal,MTL,Warmup,0.0374089453603051,0.016351050220224067,0.24246431991738177,-0.46910654029438936,0.4666812999541533,0.22861465914411416,58,1.0,False
Frontal,MTR,Warmup,0.02134243892954499,0.0397835874004724,0.2342885388801004,-0.39711648814310124,0.4424166636257964,0.4368983210377153,59,1.0,False
Frontal,SCML,Warmup,0.08703189257657641,0.06458561330552778,0.2847419011463571,-0.5194004620759913,0.4907330634041514,0.013296180977717485,59,1.0,False
Frontal,SCMR,Warmup,0.06798723310570254,0.03299611653019767,0.2724834440938429,-0.43656296260455946,0.5896665384296715,0.09991848313708948,58,1.0,False
Frontal,STL,Warmup,0.08319879693631825,0.08362823734950853,0.2430790719243021,-0.43630280796194754,0.5020085346897822,0.0034883513341145886,59,0.4186021600937506,False
Frontal,STR,Warmup,0.02978971639746223,0.035332034946709286,0.27181857057284303,-0.49446037917520547,0.5445463172540335,0.26990359711316636,58,1.0,False
Frontal,UTL,Warmup,0.07224681511014056,0.044912926417753254,0.21609832960665734,-0.28196414600570474,0.4368444868402425,0.02449361670719914,59,1.0,False
Frontal,UTR,Warmup,0.04189373564800413,0.03144832983730924,0.23965264563501587,-0.35111604558025744,0.5273039268822827,0.2737548085176694,59,1.0,False
