subject,phase,angle,muscle,r,p,n
subject_541,Cooldown,Sagittal,MTL,-0.14016610331921747,0.2812952608078719,61
subject_541,Cooldown,Sagittal,MTR,0.12360580969531626,0.3425868218221829,61
subject_541,Cooldown,Sagittal,SCML,-0.025769703143390662,0.8437205572273702,61
subject_541,Cooldown,Sagittal,SCMR,0.3898187710162207,0.0018999184553633985,61
subject_541,Cooldown,Sagittal,STL,-0.08063781166613204,0.536720672217679,61
subject_541,Cooldown,Sagittal,STR,-0.08238538034001106,0.5279011182154643,61
subject_541,Cooldown,Sagittal,UTL,-0.0735088410441176,0.5734296847000188,61
subject_541,Cooldown,Sagittal,UTR,0.0542578464461487,0.6779174266618221,61
subject_541,Cooldown,Frontal,MTL,0.009185315554154416,0.9439891692160878,61
subject_541,Cooldown,Frontal,MTR,0.006800666323748944,0.9585154285770139,61
subject_541,Cooldown,Frontal,SCML,-0.24815072053194734,0.053817475246431816,61
subject_541,Cooldown,Frontal,SCMR,-0.31636346456712616,0.01299449900223861,61
subject_541,Cooldown,Frontal,STL,-0.21685587939711995,0.0932103596627646,61
subject_541,Cooldown,Frontal,STR,-0.04904722985006813,0.7073836360410777,61
subject_541,Cooldown,Frontal,UTL,-0.08555297115504082,0.5121006946551467,61
subject_541,Cooldown,Frontal,UTR,-0.1606252617418798,0.21622890317964266,61
subject_541,Cooldown,Horizontal,MTL,-0.17713166024536808,0.17204930545393804,61
subject_541,Cooldown,Horizontal,MTR,-0.07970924711041563,0.5414361023315912,61
subject_541,Cooldown,Horizontal,SCML,0.07528095560428143,0.5641971434656157,61
subject_541,Cooldown,Horizontal,SCMR,-0.09077997587575114,0.48656349732003107,61
subject_541,Cooldown,Horizontal,STL,0.15277605696163,0.23981493208490734,61
subject_541,Cooldown,Horizontal,STR,0.01771316602453681,0.892222267077169,61
subject_541,Cooldown,Horizontal,UTL,0.06421022683894594,0.6229803354969727,61
subject_541,Cooldown,Horizontal,UTR,0.04428291506134202,0.7347062953619774,61
subject_541,Second_threshold,Sagittal,MTL,0.3969394437199183,0.0018539957209987058,59
subject_541,Second_threshold,Sagittal,MTR,0.5681830695752448,2.680153116435309e-06,59
subject_541,Second_threshold,Sagittal,SCML,0.18717546650693653,0.1557413696916282,59
subject_541,Second_threshold,Sagittal,SCMR,0.036091140010776235,0.7861001294346238,59
subject_541,Second_threshold,Sagittal,STL,0.2976888086902837,0.022029978700309216,59
subject_541,Second_threshold,Sagittal,STR,0.12139747094533823,0.35971195420583285,59
subject_541,Second_threshold,Sagittal,UTL,0.3428973783016844,0.00784612750942212,59
subject_541,Second_threshold,Sagittal,UTR,0.4131236699660094,0.0011461488383794679,59
subject_541,Second_threshold,Frontal,MTL,-0.1941909610862444,0.1405450535338549,59
subject_541,Second_threshold,Frontal,MTR,-0.33565738130399786,0.009351089571930992,59
subject_541,Second_threshold,Frontal,SCML,0.06894747652033427,0.6038426841312107,59
subject_541,Second_threshold,Frontal,SCMR,0.2403173676784259,0.06674504777211954,59
subject_541,Second_threshold,Frontal,STL,-0.012651468474758442,0.9242335629453745,59
