angle,muscle,mean_r,median_r,sd_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Sagittal,MTL_IMF,0.039094855520017464,0.043204101937081914,0.19422029119994683,-0.3275725506581117,0.43142238173236885,0.1453152927410277,53,1.0,False
Sagittal,MTR_IMF,0.04587172852277495,0.03667008790751637,0.16957442387672375,-0.306424341732118,0.37567510054179004,0.04786186048110438,53,1.0,False
Sagittal,SCML_IMF,-0.004582929821836769,0.005433635841135864,0.23043801216611626,-0.45073405218329954,0.37125476345855973,0.9524829312117657,57,1.0,False
Sagittal,SCMR_IMF,0.02305106426408782,0.04497434808025616,0.14647169910361105,-0.2654310623924962,0.26763963990005074,0.21686604683148702,58,1.0,False
Sagittal,STL_IMF,-0.012482061455516577,-0.027310131728408342,0.1731820788739273,-0.2903732132605137,0.412439428182905,0.39655654579874877,58,1.0,False
Sagittal,STR_IMF,0.016653436382281738,-0.0017781388670684065,0.15899267956475718,-0.26159544722585426,0.4100003177081457,0.6361340626419668,56,1.0,False
Sagittal,UTL_IMF,0.07034879078702096,0.0797829089337744,0.17497685483606232,-0.2287298298902062,0.4425884638568205,0.005693659848425591,55,0.1366478363622142,False
Sagittal,UTR_IMF,0.06323058734623829,0.06214043739882977,0.1806533958687688,-0.2643414335151341,0.33415723484868565,0.0040763428661557445,57,0.09783222878773787,False
Frontal,MTL_IMF,-0.01029863732871281,0.021260241788270337,0.1663414506888679,-0.33022942921595316,0.34811348422377403,0.9636812097828213,52,1.0,False
Frontal,MTR_IMF,0.008367593377482808,0.029784036955535054,0.16786287529399485,-0.2826077429101414,0.38527916422183495,0.9419212379865544,52,1.0,False
Frontal,SCML_IMF,-0.05014225155336479,-0.049222121731617274,0.20583705582175338,-0.43393208856455456,0.317597286152702,0.11731111492820559,56,1.0,False
Frontal,SCMR_IMF,0.006524968738679352,0.028841691775563196,0.16859643369573155,-0.2778216472365277,0.3028490170532415,0.5070584786814771,57,1.0,False
Frontal,STL_IMF,-0.03160394117245197,-0.044960685802511,0.20172001977712095,-0.36210467242661465,0.33170853962189545,0.20223637419057205,57,1.0,False
Frontal,STR_IMF,-0.018039435219809954,-0.012714678742229008,0.16050210026256195,-0.295997504688645,0.25383325807516244,0.5575406531570246,55,1.0,False
Frontal,UTL_IMF,0.04817785723931322,0.02788357739527161,0.19835452866498327,-0.2704790505193158,0.485634185118708,0.12221711994790047,54,1.0,False
Frontal,UTR_IMF,0.031792865964125595,0.037935917167292665,0.17105351727409035,-0.2961878960902091,0.3608197936037484,0.10280238402345405,56,1.0,False
Horizontal,MTL_IMF,-0.04915941280349594,-0.022508235212737808,0.1371701920128389,-0.4081302343899639,0.15114910249435848,0.03308761725433332,52,0.7941028141039996,False
Horizontal,MTR_IMF,-0.03541792273902549,-0.032943499160035944,0.12337265353280717,-0.34717904977175873,0.15871127280266462,0.043203683296899546,52,1.0,False
Horizontal,SCML_IMF,-0.017777248638950114,-0.008867043890855611,0.1418579209358134,-0.32309489800304847,0.2999278966043615,0.270806837447754,56,1.0,False
Horizontal,SCMR_IMF,-0.02886983336266138,-0.01928271458530866,0.15871424856131822,-0.41531059427401423,0.24011758262394933,0.20506209140715514,57,1.0,False
Horizontal,STL_IMF,-0.015868621383592005,-0.012572020449960211,0.13017079751859906,-0.2654618125578916,0.25792039264140354,0.4199899856669749,57,1.0,False
Horizontal,STR_IMF,-0.017102227897650486,-0.01104127753247065,0.12131228380445401,-0.22929103106517124,0.2234175273013159,0.3269429198045223,55,1.0,False
Horizontal,UTL_IMF,-0.07065941254846775,-0.048871936798581136,0.1432241414871163,-0.36803150069083834,0.22986813693195762,0.00039544566131893735,54,0.009490695871654495,True
Horizontal,UTR_IMF,-0.03985836809567911,-0.02283220478624335,0.11757541207339939,-0.30168479502035767,0.14887525622339018,0.023851530568786927,56,0.5724367336508862,False
