subject,angle,muscle,r,p,n,duration_s
subject_541,Sagittal,MTL,0.00398164224921736,0.9300895793895942,488,487.9996
subject_541,Sagittal,MTR,0.008775369492148069,0.8466763878661043,488,487.9996
subject_541,Sagittal,SCML,0.16120295097304563,0.0003497363378548228,488,487.9996
subject_541,Sagittal,SCMR,-0.028875878936338886,0.52452495416832,488,487.9996
subject_541,Sagittal,STL,-0.08069748675716448,0.07491251076453638,488,487.9996
subject_541,Sagittal,STR,-0.22476649185877703,5.252435665745111e-07,488,487.9996
subject_541,Sagittal,UTL,-0.045028210869342486,0.32087649564162113,488,487.9996
subject_541,Sagittal,UTR,0.05304116872686313,0.24218764694494163,488,487.9996
subject_541,Frontal,MTL,0.16677952060135887,0.0002149354021314615,488,487.9996
subject_541,Frontal,MTR,0.3924067504472276,2.05595725360709e-19,488,487.9996
subject_541,Frontal,SCML,-0.39612632265190306,8.760233006063932e-20,488,487.9996
subject_541,Frontal,SCMR,0.39533668028882846,1.0509041148822897e-19,488,487.9996
subject_541,Frontal,STL,0.15459524457229634,0.000610319178855647,488,487.9996
subject_541,Frontal,STR,0.33098898483021116,6.113750010761122e-14,488,487.9996
subject_541,Frontal,UTL,0.21239804120632086,2.2001281076603553e-06,488,487.9996
subject_541,Frontal,UTR,0.21548599548679495,1.5506707904585315e-06,488,487.9996
subject_541,Horizontal,MTL,0.022494601174176444,0.6200987811471858,488,487.9996
subject_541,Horizontal,MTR,0.050623772351204854,0.2643521390496597,488,487.9996
subject_541,Horizontal,SCML,-0.24377159058850245,4.931373036925496e-08,488,487.9996
subject_541,Horizontal,SCMR,0.07289997933922425,0.10774236650012843,488,487.9996
subject_541,Horizontal,STL,-0.08587259399695318,0.05800957482566165,488,487.9996
subject_541,Horizontal,STR,0.22123331057709456,7.975621175187442e-07,488,487.9996
subject_541,Horizontal,UTL,-0.007905869538885314,0.8617073359251138,488,487.9996
subject_541,Horizontal,UTR,-0.09342903283798722,0.03909966617999279,488,487.9996
subject_560,Sagittal,MTL,-0.3282747749171941,2.396663101312782e-13,473,472.9995
subject_560,Sagittal,MTR,-0.23859019381156618,1.5103720957417605e-07,473,472.9995
subject_560,Sagittal,SCML,-0.20699665869577014,5.6461977345910425e-06,473,472.9995
subject_560,Sagittal,SCMR,-0.16969259843705084,0.000209126083378629,473,472.9995
subject_560,Sagittal,STL,-0.2466963512294731,5.4696673335053936e-08,473,472.9995
subject_560,Sagittal,STR,-0.1545057938225227,0.0007471783152151776,473,472.9995
subject_560,Sagittal,UTL,-0.30278141515483104,1.7419843122223037e-11,473,472.9995
subject_560,Sagittal,UTR,-0.2744092841524389,1.2862523995322324e-09,473,472.9995
subject_560,Frontal,MTL,0.41926471114678276,1.4665904874765834e-21,473,472.9995
subject_560,Frontal,MTR,0.3565568496165654,1.2597251739690765e-15,473,472.9995
subject_560,Frontal,SCML,0.5041814776338583,7.289055712930334e-32,473,472.9995
subject_560,Frontal,SCMR,0.5202053197378265,3.7421093223183566e-34,473,472.9995
subject_560,Frontal,STL,0.47305060679375527,9.52799184174886e-28,473,472.9995
subject_560,Frontal,STR,0.4781883140575294,2.1301771479519394e-28,473,472.9995
subject_560,Frontal,UTL,0.4677024282207663,4.4120747005670404e-27,473,472.9995
subject_560,Frontal,UTR,0.4377251401934387,1.4648179251974175e-23,473,472.9995
subject_560,Horizontal,MTL,0.326468600462667,3.2914295136765816e-13,473,472.9995
subject_560,Horizontal,MTR,0.32240935468210424,6.663501993622409e-13,473,472.9995
subject_560,Horizontal,SCML,0.3188011362104929,1.236360474325739e-12,473,472.9995
subject_560,Horizontal,SCMR,0.28580097143888095,2.4222258476823723e-10,473,472.9995
subject_560,Horizontal,STL,0.33037750380691255,1.6521621334120687e-13,473,472.9995
subject_560,Horizontal,STR,0.30707442617775604,8.70882838758144e-12,473,472.9995
subject_560,Horizontal,UTL,0.3281975384803141,2.429502964853186e-13,473,472.9995
subject_560,Horizontal,UTR,0.3213569576278843,7.986753362968284e-13,473,472.9995
subject_570,Sagittal,MTL,-0.04466101280403592,0.3903845855819963,372,371.9996
subject_570,Sagittal,MTR,0.009476746539310943,0.8554494536181392,372,371.9996
subject_570,Sagittal,SCML,0.051293051416294255,0.32382665104481684,372,371.9996
subject_570,Sagittal,SCMR,0.06313145978504184,0.22446157227474128,372,371.9996
subject_570,Sagittal,STL,-0.014470698000883723,0.7808772647510962,372,371.9996
subject_570,Sagittal,STR,0.04148879352339797,0.4249532310045329,372,371.9996
subject_570,Sagittal,UTL,0.030215507984197223,0.5612761815178975,372,371.9996
subject_570,Sagittal,UTR,-0.001894659810275693,0.9709475264763519,372,371.9996
subject_570,Frontal,MTL,0.3589093970989123,9.447735293811636e-13,372,371.9996
subject_570,Frontal,MTR,0.37051514195621077,1.5047923268149806e-13,372,371.9996
subject_570,Frontal,SCML,0.4079037092210408,2.3982927483381824e-16,372,371.9996
subject_570,Frontal,SCMR,0.43507644119232064,1.3004364249885952e-18,372,371.9996
subject_570,Frontal,STL,0.30386897837447846,2.188608917678113e-09,372,371.9996
subject_570,Frontal,STR,0.3569635237096646,1.2763315283218545e-12,372,371.9996
subject_570,Frontal,UTL,0.371557574129022,1.2712382228194159e-13,372,371.9996
subject_570,Frontal,UTR,0.38503969689738077,1.3576690787933323e-14,372,371.9996
subject_570,Horizontal,MTL,0.2660678709742071,1.9022591792838137e-07,372,371.9996
subject_570,Horizontal,MTR,0.21434681857711047,3.0619288712161125e-05,372,371.9996
subject_570,Horizontal,SCML,0.27552543484110475,6.621341574307413e-08,372,371.9996
subject_570,Horizontal,SCMR,0.2812886378224955,3.411958323880342e-08,372,371.9996
subject_570,Horizontal,STL,0.1714922323052304,0.0008965458435395708,372,371.9996
subject_570,Horizontal,STR,0.2736043671806412,8.231215586280283e-08,372,371.9996
