subject,pct_center,angle,muscle,r,p,n
subject_541,10,Sagittal,MTL,-0.42853049762074613,1.071945289151019e-05,98
subject_541,10,Sagittal,MTR,-0.2270501811493532,0.02455755621888636,98
subject_541,10,Sagittal,SCML,-0.2089751637679034,0.03891688410122104,98
subject_541,10,Sagittal,SCMR,0.108382885927295,0.28809840943109594,98
subject_541,10,Sagittal,STL,-0.2439623208785193,0.015485780826519852,98
subject_541,10,Sagittal,STR,-0.22113496534582927,0.028654815689699055,98
subject_541,10,Sagittal,UTL,-0.41839396872107104,1.8099438668730332e-05,98
subject_541,10,Sagittal,UTR,-0.40433860935156135,3.641062372271612e-05,98
subject_541,10,Frontal,MTL,0.2710676537893287,0.006939241393961438,98
subject_541,10,Frontal,MTR,0.22129041066435529,0.028540158638947905,98
subject_541,10,Frontal,SCML,0.15090364231570874,0.13801850280739247,98
subject_541,10,Frontal,SCMR,0.005705461785084666,0.955535431409511,98
subject_541,10,Frontal,STL,0.15818101704158202,0.11979565996194558,98
subject_541,10,Frontal,STR,0.19392748169507165,0.05570217902151976,98
subject_541,10,Frontal,UTL,0.3258517307257028,0.001059515932618942,98
subject_541,10,Frontal,UTR,0.2982559257651912,0.002855275519138743,98
subject_541,10,Horizontal,MTL,0.40643689271385697,3.2867610686416734e-05,98
subject_541,10,Horizontal,MTR,0.2537845386429247,0.011684551748177143,98
subject_541,10,Horizontal,SCML,0.27133955936108195,0.0068807669299550175,98
subject_541,10,Horizontal,SCMR,0.032438625240073085,0.7511758918971361,98
subject_541,10,Horizontal,STL,0.24996822979115146,0.013051848340437423,98
subject_541,10,Horizontal,STR,0.30263329194562305,0.0024549574682620813,98
subject_541,10,Horizontal,UTL,0.34461268931512934,0.000511239087055831,98
subject_541,10,Horizontal,UTR,0.3743798983589612,0.00014604403614876642,98
subject_541,20,Sagittal,MTL,-0.048106023892174374,0.6380781358370203,98
subject_541,20,Sagittal,MTR,0.5723335439646651,7.422414436901091e-10,98
subject_541,20,Sagittal,SCML,0.2523564061335873,0.012180828250131408,98
subject_541,20,Sagittal,SCMR,0.09178052727041926,0.3687473344688557,98
