Subject,horiz_mean_ST,sag_slope_100W,sag_drift_WU_CD,sag_peak_WU
541,2.862923839,-0.699834205,2.05182094,13.81783426
560,2.107758927,4.582550543,7.486844911,4.884087358
570,1.256723305,-0.016009039,-9.176563357,15.71733362
571,-0.094192794,0.787057871,7.447912863,3.142213487
572,11.5167801,6.074709622,35.17007137,24.81413553
573,-0.384758318,-5.89952139,-14.72262345,19.04300658
574,18.3777068,6.598922699,-2.523839221,20.10248649
575,1.97791694,-0.555299068,23.35301683,7.782437432
577,-1.19344162,-3.725768975,40.35222159,-4.606871425
578,-18.04213429,0.205879514,8.368298813,7.697148397
579,-5.821135934,7.492319197,40.96989115,8.797034973
580,-2.734090154,1.557069709,6.148663333,16.07150491
581,23.18355758,-3.540402715,-1.516312518,33.89801725
582,11.32938003,-2.372388711,-2.729245009,29.43908223
583,12.18402719,5.08657314,-1.351119779,30.58352143
584,11.01342022,10.11358513,15.87747412,12.72329054
585,3.343198568,4.321049724,4.757192271,-10.14937678
586,12.20992433,12.11072906,-3.512305332,7.205572536
587,44.17838503,17.76285312,1.14389274,23.293105
588,-5.618028409,3.167009025,10.08699385,12.36061933
590,14.67596624,-3.899569045,-5.695324257,20.58762844
591,-4.871638583,-2.880377387,-7.140642429,11.70772041
594,7.663756352,15.46342642,-15.30686996,24.93796966
595,71.99530359,-2.637177917,-8.730540019,11.78992796
596,-19.0218884,10.74679295,-11.85232972,26.0083177
597,-2.665734324,19.0350347,-10.16931665,25.9762291
598,-14.98364637,-1.791420153,-5.191457671,-0.237440694
600,18.56499695,3.674384852,-3.686460339,13.16148949
601,-4.977755397,1.812208724,2.716797653,18.81948867
602,16.16468532,0.284036571,-18.23233809,1.819003209
603,2.135747947,3.898939278,-11.45214274,18.21394374
604,10.49574101,1.095449208,17.65493642,0.95469706
605,14.28193243,5.382826308,-0.807570265,27.86142677
606,3.540856104,8.118724648,-6.597767051,22.95692639
607,10.38055598,8.529398202,-19.45211191,38.81601049
608,-13.44497019,7.87730769,-29.77734848,14.47388412
609,5.344785839,-0.662839456,5.959376068,0.767926501
610,2.851889457,17.77905111,-10.54135307,5.311198191
611,22.0083215,-1.304541029,4.191113856,14.94908541
612,-8.054391262,20.74264528,-4.304387214,-2.792113051
613,7.142062721,3.469929146,27.75770348,29.63904097
614,4.093410498,13.72512628,7.761530212,21.54072522
615,0.063028802,48.20492276,9.987295569,31.29505761
616,-14.61981646,31.13430027,13.64009922,43.81177811
617,10.03868158,0.740411469,-3.287863923,4.622828746
618,7.282142939,6.380146846,-10.72213318,3.866674041
619,-2.566658926,4.499489269,45.58510512,11.03195776
620,9.3296434,1.362619662,-7.363812344,22.07053862
621,14.91196719,11.51847469,22.23061975,47.95271341
622,5.307528698,,5.469016449,19.5181754
623,6.954986907,2.113036674,-4.873349231,-13.58530409
624,7.782351969,-2.903824071,-13.07052016,20.4987889
625,9.518948342,-3.72080361,10.12144021,11.98303723
626,-1.890274005,-0.032076876,-25.17738601,20.82860367
627,-20.27889205,-0.517167487,-0.675951527,15.31641492
628,-3.404793727,1.274804377,10.8541648,0.733371181
629,22.91221864,3.695303769,-3.805890194,7.270977565
630,23.0066177,-8.442266394,-13.97824151,16.37969366
631,-4.074938998,10.25254159,0.209610613,21.74430543
632,-3.477311605,-0.025234702,19.02299177,15.58407009
