DESCRIPTIVE STATISTICS,,,,
Variable,Statistic,Value,,
Age,N,60,,
Age,Mean,38.16666667,,
Age,SD,8.898993786,,
Age,Min,18,,
Age,Max,52,,
VAS,N,60,,
VAS,Mean,2.8,,
VAS,SD,2.395617468,,
VAS,Min,0,,
VAS,Max,8.5,,
Age (None),N,19,,
Age (None),Mean,37.26315789,,
Age (None),SD,10.60839345,,
Age (None),Median,37,,
Age (Mild),N,17,,
Age (Mild),Mean,37.82352941,,
Age (Mild),SD,8.110450774,,
Age (Mild),Median,40,,
Age (ModHigh),N,24,,
Age (ModHigh),Mean,39.125,,
Age (ModHigh),SD,8.221459196,,
Age (ModHigh),Median,40.5,,
Age (No Pain),N,19,,
Age (No Pain),Mean,37.26315789,,
Age (No Pain),SD,10.60839345,,
Age (Pain),N,41,,
Age (Pain),Mean,38.58536585,,
Age (Pain),SD,8.099307408,,
,,,,
STATISTICAL TESTS,,,,
Test,Statistic,Value,P_value,Significance
Spearman correlation (Age vs VAS),rho,0.065108498,0.621133755,Not significant
Pearson correlation (Age vs VAS),r,0.085069404,0.518113403,Not significant
Mann-Whitney U (Age: Pain vs No Pain),U,379.5,0.879842998,Not significant
Kruskal-Wallis (Age across 3 pain groups),H,0.356170386,0.836871125,Not significant
