subject,angle_plane,rho,p_value,n,x_min,x_max,power_source
subject_541,angle_sagittal,0.03571428571428572,0.9394082054712856,7,70.0,200.0,file
subject_560,angle_sagittal,0.43333333333333335,0.24395243588005172,9,50.0,160.0,file
subject_570,angle_sagittal,0.2,0.7040000000000001,6,144.0,260.0,file
subject_571,angle_sagittal,0.7714285714285715,0.07239650145772594,6,193.33333333333337,300.0,file
subject_572,angle_sagittal,0.699786069709222,0.005333737479247513,14,103.33333333333331,270.0,file
subject_573,angle_sagittal,-0.23076923076923078,0.4481273823153657,13,113.33333333333331,340.0,file
subject_574,angle_sagittal,0.6946232319096901,0.05588472558800706,8,150.0,290.0,file
subject_575,angle_sagittal,0.6238794669049377,0.07256576441680064,9,120.0,300.0,file
subject_577,angle_sagittal,-0.2571428571428572,0.6227871720116619,6,235.0,290.0,file
subject_578,angle_sagittal,-0.2978737164032316,0.4032038726329135,10,205.0,300.0,file
subject_579,angle_sagittal,0.813226419456676,0.0002270082587226324,15,205.0,360.0,file
subject_580,angle_sagittal,0.3537658665108649,0.2592665286763142,12,230.0,460.0,file
subject_581,angle_sagittal,-0.6,0.208,6,193.33333333333337,300.0,file
subject_582,angle_sagittal,-0.6127992914911079,0.05961019586447576,10,133.33333333333334,320.0,file
subject_583,angle_sagittal,0.5878787878787878,0.07387770688865809,10,173.33333333333334,360.0,file
subject_584,angle_sagittal,0.33516483516483514,0.2629431403593601,13,175.0,310.0,file
subject_585,angle_sagittal,0.26382354123013496,0.46140507136140835,10,153.33333333333334,340.0,file
subject_586,angle_sagittal,0.9047619047619048,0.00200827550542947,8,230.0,380.0,file
subject_587,angle_sagittal,0.642857142857143,0.11939237342741099,7,130.0,225.0,file
subject_588,angle_sagittal,0.8811188811188813,0.00015267406467669862,12,166.66666666666666,340.0,file
subject_590,angle_sagittal,-0.9384990180111028,1.8997419483619764e-05,11,250.0,460.0,file
subject_591,angle_sagittal,-0.4761904761904762,0.23293553465009806,8,230.0,380.0,file
subject_594,angle_sagittal,0.9761904761904763,3.3143960262000996e-05,8,135.0,245.0,file
subject_595,angle_sagittal,-0.5333333333333333,0.13922686754397814,9,140.0,310.0,file
subject_596,angle_sagittal,0.8424242424242423,0.0022200312259168433,10,190.0,332.5,file
