Comparison,N_pairs,V_statistic,P_value_raw,P_value,Median_diff
WU - ST,52,553.0,0.21551327174949864,1.0,-1.0433453737149208
WU - VO2,52,405.0,0.015590881445035506,0.15590881445035507,-2.8142076502732243
WU - WanT,52,462.0,0.03870871063456583,0.3870871063456583,-3.9202939513849633
WU - CD,52,654.0,0.7499208457097641,1.0,0.9113435085735819
ST - VO2,52,432.0,0.07257619309818597,0.7257619309818597,-0.775862068965518
ST - WanT,52,507.0,0.1436697475648359,1.0,-2.8404441846873176
ST - CD,52,504.0,0.13612402445819016,1.0,1.3712142261739375
VO2 - WanT,52,618.0,0.8506893529466235,1.0,-0.4873056595309193
VO2 - CD,52,300.0,0.00039621729239580096,0.00396217292395801,5.16108641289247
WanT - CD,52,467.0,0.043203683296899546,0.4320368329689955,4.68494930218656
