Comparison,N_pairs,V_statistic,P_value_raw,P_value,Median_diff
WU - ST,55,504.0,0.2804622721382234,1.0,-0.6168380105584887
WU - VO2,55,683.0,0.9564240756932026,1.0,-0.4017576898932831
WU - WanT,55,598.0,0.21343461052333657,1.0,1.5653093601269177
WU - CD,55,639.0,0.3728335726924267,1.0,0.0
ST - VO2,55,438.5,0.12517140157888643,1.0,0.4878048780487805
ST - WanT,55,453.0,0.07490756375073077,0.7490756375073077,0.6666666666666666
ST - CD,55,568.5,0.19312558593202545,1.0,0.0
VO2 - WanT,55,585.5,0.24977848486128673,1.0,0.8857299070530344
VO2 - CD,55,731.0,0.9211243698669324,1.0,0.0
WanT - CD,55,681.5,0.5994262792958636,1.0,0.0
