Comparison,N_pairs,V_statistic,P_value_raw,P_value,Median_diff
WU - ST,55,648.0,0.3066943509582656,1.0,0.5979284369114879
WU - VO2,55,475.0,0.013448294500445601,0.134482945004456,-4.315332690453232
WU - WanT,55,271.0,2.9036321777455668e-05,0.00029036321777455666,-12.882072977260709
WU - CD,55,768.0,0.986630397174728,1.0,1.4531814392886915
ST - VO2,55,311.5,0.00012224427641335082,0.0012224427641335082,-4.576271186440678
ST - WanT,55,226.0,5.166019165299094e-06,5.166019165299094e-05,-17.782941498086387
ST - CD,55,625.0,0.22440824236286783,1.0,-2.117254792998054
VO2 - WanT,55,388.0,0.00137139192908215,0.0137139192908215,-5.341555977229602
VO2 - CD,55,494.0,0.020751284345338,0.20751284345338,6.088135593220339
WanT - CD,55,250.0,1.3195059612986481e-05,0.0001319505961298648,16.425171866737173
