Comparison,MeanDiff,t_statistic,P_value_raw,P_value
WU - WanT,15.99623750968434,-27.974385107516667,8.912854031046077e-161,8.912854031046077e-160
ST - WanT,17.800565539463193,-27.620161006459334,9.609829646024622e-157,9.609829646024622e-156
WanT - CD,-14.418299692659007,20.855430599270615,5.9928307590775446e-93,5.9928307590775446e-92
ST - VO2,7.9287015151876234,-15.389328630674447,1.8097043999763487e-52,1.8097043999763486e-51
WU - VO2,6.1243734854087695,-13.400935633052187,2.120155988750195e-40,2.1201559887501954e-39
VO2 - WanT,9.87186402427557,-13.051457550397796,3.0144286639814935e-38,3.0144286639814936e-37
VO2 - CD,-4.546435668383437,8.224525348517753,2.35442947480429e-16,2.35442947480429e-15
ST - CD,3.382265846804186,-7.14624250698912,9.821158749847708e-13,9.821158749847708e-12
WU - ST,-1.8043280297788542,4.74518768592173,2.124855864683133e-06,2.124855864683133e-05
WU - CD,1.5779378170253322,-3.723103739999631,0.00019830210135976954,0.001983021013597695
