var,rho,p,n
age,0.05761188982130433,0.6647116302743384,59
Height_cm,-0.11614582649486292,0.3810219805847052,59
Weight_kg,-0.17706796048399126,0.1797215151111981,59
BMI,-0.2008182349503215,0.12723582200953493,59
Fat_Percent,0.2371860837922557,0.07048408129111441,59
Years_Cycling,-0.10404450318640687,0.4329148790083364,59
Vo2max,0.08323469714610235,0.5308247511347011,59
WanT,-0.0772423067527373,0.5609137970344706,59
vas,-0.08707031559192098,0.5119932536142663,59
pain_bulian,0.040471360670018976,0.7608690261855691,59
