,horiz_mean_ST,sag_slope_100W,sag_drift_WU_CD,frontal_mean_ST,sag_peak_CD,PC1,PC2,kmeans_k2,kmeans_k3,ward_k2,ward_k3
subject_541,2.844125728929949,-0.6998342046365161,2.0518209398425764,-1.4237895670473253,23.82662865978522,-0.3538332196718354,-0.26542543126561,0,1,2,3
subject_560,-1.0149886464496227,4.582550542912718,7.486844911140408,0.6086611604951171,35.02265176479029,0.491984826060712,-0.11662036069141535,0,1,2,3
subject_570,1.8470185062409947,-0.016009038738277727,-9.176563357379761,6.903803443030408,10.40152471980954,-1.087610643779476,0.42199646581095285,0,0,2,3
subject_571,-3.3249502252405567,0.7870578706432929,7.447912862505854,-12.18338543874876,12.72871410705032,-0.42220131165873076,-0.19233715017393838,0,0,2,3
subject_572,-1.6791523621765363,6.07470962231503,35.17007137364915,-5.179599362711068,71.8237946333284,2.700760520719916,-1.3159294089969247,1,2,1,1
subject_573,-6.22370448615113,-5.899521389806177,-14.722623447701029,-0.9281951254206932,12.39535689930646,-1.4378278814084733,0.3043320774952144,0,0,2,3
subject_574,12.962457678171475,6.598922699361255,-2.5238392213395855,-6.5287774659152475,39.80781078993931,0.11136762274528535,-0.37626810268450445,0,1,2,3
subject_575,-5.028042612977307,-0.5552990675142904,23.35301683393863,-34.991890955507834,29.59002432196004,0.49776286553557364,-1.2764193072633374,0,1,1,1
subject_577,-8.806239467240966,-3.7257689745517144,40.35222159071914,-2.753094104631401,66.0993295343578,2.406494568906196,-1.634147598274276,1,2,1,1
subject_578,-24.821761098245965,0.20587951432002896,8.368298812938086,-124.52976088756489,39.4328922675985,-0.10258961079268734,-2.1365581194700574,0,1,2,2
subject_579,0.08155852791203315,7.492319196917113,40.969891151377425,42.84835694783497,61.72985128405359,2.9887535587678102,-0.3739890014793984,1,2,1,1
subject_580,14.641038848125307,1.557069709343276,6.148663333342851,16.836400759367653,25.29543107027972,-0.08467929874189518,-0.2631231824151707,0,1,2,3
subject_581,-1.6346019488266923,-3.5404027152500896,-1.516312518099383,9.685827916583207,41.00591525244676,0.057852604640014696,-0.21818908277918178,0,1,2,3
subject_582,29.188113337645543,-2.372388711428064,-2.729245008930008,-15.665681371561567,32.10972159482922,-0.8074451575160444,-1.4018073633453632,0,1,2,3
subject_583,6.419818163288538,5.0865731395229945,-1.3511197785404994,-1.998272368904401,18.46320042267076,-0.4479688048370707,0.0855606981259463,0,1,2,3
subject_584,5.821753831106117,10.113585131274922,15.877474122678432,2.38722914584533,18.16584061420745,0.44895971110971916,0.034843890435300943,0,1,2,3
subject_585,-3.318589969680431,4.321049724489062,4.757192271109199,8.980184285078012,16.34628715149049,-0.10715551718110686,0.4210286088892423,0,0,2,3
subject_586,5.789818482756652,12.110729055239005,-3.5123053320610182,5.096765029857696,28.68231181550639,0.15033437621585444,0.5309973597774131,0,1,2,3
subject_587,39.13029925799309,17.762853120833093,1.1438927402914534,-29.082125566882233,37.00377328789303,0.13472484993451433,-1.0367562102043502,0,1,2,3
subject_588,-5.073626628830714,3.167009024893826,10.086993845480022,7.954975868431411,42.14945137767955,0.8551686743452757,-0.09305506990977652,1,2,2,3
subject_590,9.547054853836448,-3.8995690451273046,-5.6953242568980205,0.4470976901208546,20.37668166548314,-0.9676584936732039,-0.3601274192772768,0,1,2,3
subject_591,-2.6739116248643713,-2.8803773865740228,-7.1406424291647,-16.971805109184334,-5.218258466306347,-1.7268721046752988,0.10585276832256585,0,0,2,3
subject_594,0.36864681847008274,15.46342641641878,-15.306869963037666,-3.1060757770593628,13.52552409652777,-0.600661760279793,1.211926028539417,0,0,2,3
subject_595,57.691892363240086,-2.6371779169130445,-8.730540018600312,-46.56138486314166,34.67087550614451,-1.5702707149818196,-2.7384027798749817,0,1,2,3
subject_596,-17.695150017635473,10.74679294530243,-11.852329719038007,2.9475056432928914,22.91163265417008,-0.09982903398967465,1.3952839141609477,0,0,2,3
subject_597,-9.850594478213099,19.03503470256873,-10.169316651934382,9.726053135205458,38.68381483388971,0.7529237964598934,1.4811590916580684,0,0,2,3
subject_598,-19.085626348964844,-1.7914201533829155,-5.191457671101489,-37.49965939116191,-3.221068335694677,-1.4703050982772783,0.17865555078434073,0,0,2,3
subject_600,13.790614055366982,3.6743848524565794,-3.6864603390435327,8.860994378607414,48.27147350100113,0.30028102632105236,-0.34840787463838924,0,1,2,3
subject_601,-8.496749879982959,1.8122087238104854,2.7167976526178963,94.01537620372095,39.34883928463186,1.0935516155495055,1.8109085188577674,1,2,1,1
subject_602,8.352079395415586,0.2840365709241416,-18.232338092966376,12.150315275733966,-27.52800150909442,-2.634961497126827,1.0890274722703324,0,0,2,3
subject_603,1.246214433760254,3.8989392777464786,-11.452142741040158,-7.098380021904925,14.88258549289708,-0.9568173757737239,0.3754290717323287,0,0,2,3
subject_604,10.825566761545996,1.0954492077786315,17.65493642368543,-0.0940832271571912,33.71877339254286,0.518315068330892,-0.900486397050563,0,1,1,1
subject_605,14.319069123110992,5.382826307804865,-0.8075702648441752,-13.521775855078712,38.79305269856334,0.023561627148869505,-0.64459073036884,0,1,2,3
subject_606,3.319078697373748,8.118724647874556,-6.59776705124701,3.823724856584507,20.73503126490673,-0.3601663623570196,0.5503927261595035,0,0,2,3
