# Descriptive
Cluster,N,N_Positive_slope,N_Negative_slope,Median_slope_per_100W,Mean_slope_per_100W
Low-Activation,42,28,14,3.06,4.9
High-Activation,16,12,4,1.61,4.13

# Cross-tab
Cluster_Label,Negative,Positive
High-Activation,4,12
Low-Activation,14,28

# Test Results
Test,Comparison,Statistic,Statistic_Name,p_value,Conclusion
Cross-tab Fisher's exact,Slope sign (Positive/Negative) × Cluster (High/Low),0.667,Odds ratio,0.7523,Independent
Chi-squared,Slope sign × Cluster,0.087,Chi-squared,0.7675,Independent
Mann-Whitney U,Slope magnitude × Cluster,346.0,U,0.8687,No difference
