pair,phase,n_removed
CCI_MTL_MTR,Cooldown,4
CCI_MTL_MTR,SecondThreshold,4
CCI_MTL_MTR,VO2max,2
CCI_MTL_MTR,WanT,1
CCI_MTL_MTR,Warmup,2
CCI_SCML_MTL,Warmup,2
CCI_SCML_SCMR,Cooldown,3
CCI_SCML_SCMR,VO2max,1
CCI_SCML_SCMR,WanT,3
CCI_SCML_SCMR,Warmup,2
CCI_SCML_STL,SecondThreshold,2
CCI_SCML_UTL,SecondThreshold,1
CCI_SCMR_MTR,SecondThreshold,2
CCI_SCMR_MTR,WanT,5
CCI_SCMR_MTR,Warmup,2
CCI_SCMR_STR,WanT,2
CCI_SCMR_UTR,Warmup,2
CCI_STL_STR,Cooldown,2
CCI_STL_STR,VO2max,2
CCI_STL_STR,WanT,2
CCI_STL_STR,Warmup,1
CCI_UTL_MTL,Warmup,2
CCI_UTL_UTR,Cooldown,1
CCI_UTL_UTR,SecondThreshold,1
CCI_UTL_UTR,VO2max,2
CCI_UTL_UTR,WanT,1
CCI_UTL_UTR,Warmup,4
CCI_UTR_MTR,Warmup,2
