Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.7320895043984269,0.18154208775550537,0.7956680543238367,0.16118214412355983,True,False,505.0,two-sided,0.01075957461449743,0.1075957461449743,bonf,-0.3678800737574953
phase,Cooldown,VO2max,0.7320895043984269,0.18154208775550537,0.7435712781328566,0.15606497297652322,True,False,820.0,two-sided,0.9619782483897904,1.0,bonf,-0.06737050558621857
phase,Cooldown,WanT,0.7320895043984269,0.18154208775550537,0.6960967545311623,0.16972117554661997,True,False,525.0,two-sided,0.016779334980636884,0.16779334980636884,bonf,0.20344262931977874
phase,Cooldown,Warmup,0.7320895043984269,0.18154208775550537,0.834327413832093,0.08032333924032664,True,False,379.0,two-sided,0.00038303032552404074,0.0038303032552404075,bonf,-0.7234402495289208
phase,SecondThreshold,VO2max,0.7956680543238367,0.16118214412355983,0.7435712781328566,0.15606497297652322,True,False,410.0,two-sided,0.000949064248828818,0.00949064248828818,bonf,0.32618359810471714
phase,SecondThreshold,WanT,0.7956680543238367,0.16118214412355983,0.6960967545311623,0.16972117554661997,True,False,326.0,two-sided,7.109116768455327e-05,0.0007109116768455327,bonf,0.5975770950482544
phase,SecondThreshold,Warmup,0.7956680543238367,0.16118214412355983,0.834327413832093,0.08032333924032664,True,False,757.0,two-sided,0.5835412915643047,1.0,bonf,-0.3015514571431132
phase,VO2max,WanT,0.7435712781328566,0.15606497297652322,0.6960967545311623,0.16972117554661997,True,False,558.0,two-sided,0.03322814411970066,0.3322814411970066,bonf,0.28923592191669706
phase,VO2max,Warmup,0.7435712781328566,0.15606497297652322,0.834327413832093,0.08032333924032664,True,False,333.0,two-sided,8.966236344135738e-05,0.0008966236344135738,bonf,-0.7263298286020073
phase,WanT,Warmup,0.6960967545311623,0.16972117554661997,0.834327413832093,0.08032333924032664,True,False,258.0,two-sided,6.395375477076425e-06,6.395375477076426e-05,bonf,-1.0341211736410323
