Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.5713610133427625,0.19764943294498413,0.6728715221261923,0.18691242496700144,True,False,486.0,two-sided,0.004277650035682865,0.042776500356828645,bonf,-0.5242429800270462
phase,Cooldown,VO2max,0.5713610133427625,0.19764943294498413,0.6156042188134407,0.19907590002951234,True,False,702.0,two-sided,0.23618384815245153,1.0,bonf,-0.22156995919947486
phase,Cooldown,WanT,0.5713610133427625,0.19764943294498413,0.5607662446690308,0.19411900998777187,True,False,819.0,two-sided,0.7804562378155934,1.0,bonf,0.053728093329540996
phase,Cooldown,Warmup,0.5713610133427625,0.19764943294498413,0.7291284480657624,0.13143872094580192,True,False,347.0,two-sided,8.38528706842241e-05,0.0008385287068422409,bonf,-0.9337818864491213
phase,SecondThreshold,VO2max,0.6728715221261923,0.18691242496700144,0.6156042188134407,0.19907590002951234,True,False,459.0,two-sided,0.002169652250111951,0.02169652250111951,bonf,0.2946280347698364
phase,SecondThreshold,WanT,0.6728715221261923,0.18691242496700144,0.5607662446690308,0.19411900998777187,True,False,434.0,two-sided,0.001115975660675871,0.011159756606758709,bonf,0.5844463119368283
phase,SecondThreshold,Warmup,0.6728715221261923,0.18691242496700144,0.7291284480657624,0.13143872094580192,True,False,568.0,two-sided,0.026279665028514216,0.26279665028514215,bonf,-0.34588460974041907
phase,VO2max,WanT,0.6156042188134407,0.19907590002951234,0.5607662446690308,0.19411900998777187,True,False,586.0,two-sided,0.037279342754471596,0.37279342754471595,bonf,0.277074169962653
phase,VO2max,Warmup,0.6156042188134407,0.19907590002951234,0.7291284480657624,0.13143872094580192,True,False,385.0,two-sided,0.0002738013080941794,0.002738013080941794,bonf,-0.6685692713569873
phase,WanT,Warmup,0.5607662446690308,0.19411900998777187,0.7291284480657624,0.13143872094580192,True,False,293.0,two-sided,1.3539474464184164e-05,0.00013539474464184165,bonf,-1.0089505544608484
