Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.6715045786530516,0.17755415500304902,0.7233948957637434,0.17231458427788876,True,False,634.0,two-sided,0.1271394300016789,1.0,bonf,-0.2946035203116
phase,Cooldown,VO2max,0.6715045786530516,0.17755415500304902,0.7334170067527824,0.14731236248397295,True,False,558.0,two-sided,0.03322814411970066,0.3322814411970066,bonf,-0.3769681806317913
phase,Cooldown,WanT,0.6715045786530516,0.17755415500304902,0.6859492140918795,0.1437520391945576,True,False,760.0,two-sided,0.6000116678233148,1.0,bonf,-0.08881838140208428
phase,Cooldown,Warmup,0.6715045786530516,0.17755415500304902,0.7336583287411291,0.1388278431531934,True,False,575.0,two-sided,0.04612504297743267,0.4612504297743267,bonf,-0.38737510341512876
phase,SecondThreshold,VO2max,0.7233948957637434,0.17231458427788876,0.7334170067527824,0.14731236248397295,True,False,728.0,two-sided,0.43619747032784684,1.0,bonf,-0.06210071774074675
phase,SecondThreshold,WanT,0.7233948957637434,0.17231458427788876,0.6859492140918795,0.1437520391945576,True,False,629.0,two-sided,0.11753461666179744,1.0,bonf,0.2344025939098637
phase,SecondThreshold,Warmup,0.7233948957637434,0.17231458427788876,0.7336583287411291,0.1388278431531934,True,False,826.0,two-sided,1.0,1.0,bonf,-0.06515354652370932
phase,VO2max,WanT,0.7334170067527824,0.14731236248397295,0.6859492140918795,0.1437520391945576,True,False,509.0,two-sided,0.011781206175636579,0.11781206175636579,bonf,0.32395366573579276
phase,VO2max,Warmup,0.7334170067527824,0.14731236248397295,0.7336583287411291,0.1388278431531934,True,False,791.0,two-sided,0.7809491956093886,1.0,bonf,-0.0016746830193270946
phase,WanT,Warmup,0.6859492140918795,0.1437520391945576,0.7336583287411291,0.1388278431531934,True,False,633.0,two-sided,0.12517113320516307,1.0,bonf,-0.3353510194986954
