Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.5649420807143778,0.1825368808741919,0.6927728720022048,0.17548162481411367,True,False,436.0,two-sided,0.0011784562009728439,0.011784562009728439,bonf,-0.7092555199038846
phase,Cooldown,VO2max,0.5649420807143778,0.1825368808741919,0.6350837075087272,0.18893073046497072,True,False,571.0,two-sided,0.02789023802239506,0.2789023802239506,bonf,-0.3751004549922683
phase,Cooldown,WanT,0.5649420807143778,0.1825368808741919,0.5750715938053971,0.20224913311604711,True,False,784.0,two-sided,0.582520555645404,1.0,bonf,-0.05223446920766145
phase,Cooldown,Warmup,0.5649420807143778,0.1825368808741919,0.715611587737759,0.14809823154400437,True,False,326.0,two-sided,4.208908927308648e-05,0.00042089089273086475,bonf,-0.9005135692674455
phase,SecondThreshold,VO2max,0.6927728720022048,0.17548162481411367,0.6350837075087272,0.18893073046497072,True,False,564.0,two-sided,0.02425768208865194,0.24257682088651938,bonf,0.314313200242044
phase,SecondThreshold,WanT,0.6927728720022048,0.17548162481411367,0.5750715938053971,0.20224913311604711,True,False,435.0,two-sided,0.001146822693853561,0.01146822693853561,bonf,0.6175443353592033
phase,SecondThreshold,Warmup,0.6927728720022048,0.17548162481411367,0.715611587737759,0.14809823154400437,True,False,746.0,two-sided,0.3987163852556982,1.0,bonf,-0.13973257105596415
phase,VO2max,WanT,0.6350837075087272,0.18893073046497072,0.5750715938053971,0.20224913311604711,True,False,627.0,two-sided,0.07752086133423904,0.7752086133423903,bonf,0.3046266532380331
phase,VO2max,Warmup,0.6350837075087272,0.18893073046497072,0.715611587737759,0.14809823154400437,True,False,532.0,two-sided,0.012392069098662887,0.12392069098662888,bonf,-0.4712722625081657
phase,WanT,Warmup,0.5750715938053971,0.20224913311604711,0.715611587737759,0.14809823154400437,True,False,315.0,two-sided,2.9039852537538826e-05,0.00029039852537538825,bonf,-0.7876467537320678
