Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.7370216388965106,0.1527324500174983,0.7850332429811164,0.1399726947908625,True,False,569.0,two-sided,0.041159618455890064,0.4115961845589006,bonf,-0.325543514528007
phase,Cooldown,VO2max,0.7370216388965106,0.1527324500174983,0.7945236069539291,0.13647846545945466,True,False,518.0,two-sided,0.014400125074786907,0.14400125074786907,bonf,-0.39435620440016633
phase,Cooldown,WanT,0.7370216388965106,0.1527324500174983,0.7382271739692723,0.13920809943407486,True,False,824.0,two-sided,0.9873218158212407,1.0,bonf,-0.008194554679743693
phase,Cooldown,Warmup,0.7370216388965106,0.1527324500174983,0.797215658682332,0.12112071546358079,True,False,528.0,two-sided,0.01790039695825248,0.1790039695825248,bonf,-0.43377716435554786
phase,SecondThreshold,VO2max,0.7850332429811164,0.1399726947908625,0.7945236069539291,0.13647846545945466,True,False,728.0,two-sided,0.43619747032784684,1.0,bonf,-0.0681922791550645
phase,SecondThreshold,WanT,0.7850332429811164,0.1399726947908625,0.7382271739692723,0.13920809943407486,True,False,577.0,two-sided,0.04788846798518666,0.47888467985186656,bonf,0.33305844045148636
phase,SecondThreshold,Warmup,0.7850332429811164,0.1399726947908625,0.797215658682332,0.12112071546358079,True,False,811.0,two-sided,0.9051342397483434,1.0,bonf,-0.09245146753848628
phase,VO2max,WanT,0.7945236069539291,0.13647846545945466,0.7382271739692723,0.13920809943407486,True,False,499.0,two-sided,0.009374581888943466,0.09374581888943466,bonf,0.40564808684482223
phase,VO2max,Warmup,0.7945236069539291,0.13647846545945466,0.797215658682332,0.12112071546358079,True,False,749.0,two-sided,0.5406826470310391,1.0,bonf,-0.020724015383138766
phase,WanT,Warmup,0.7382271739692723,0.13920809943407486,0.797215658682332,0.12112071546358079,True,False,565.0,two-sided,0.03810724525035884,0.38107245250358845,bonf,-0.44906036191226395
