Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.6382646815043672,0.20581067884664522,0.7517863891494201,0.17401035985878538,True,False,470.0,two-sided,0.002874927542240491,0.02874927542240491,bonf,-0.591752479041307
phase,Cooldown,VO2max,0.6382646815043672,0.20581067884664522,0.6681732034128337,0.19338675616759657,True,False,686.0,two-sided,0.19071841447427362,1.0,bonf,-0.14878324152802108
phase,Cooldown,WanT,0.6382646815043672,0.20581067884664522,0.64449163744915,0.21634644658075158,True,False,737.0,two-sided,0.47948972093653364,1.0,bonf,-0.02929702318320873
phase,Cooldown,Warmup,0.6382646815043672,0.20581067884664522,0.7700375014324692,0.12901832328628654,True,False,374.0,two-sided,0.00019603701069370515,0.0019603701069370516,bonf,-0.7621281796458554
phase,SecondThreshold,VO2max,0.7517863891494201,0.17401035985878538,0.6681732034128337,0.19338675616759657,True,False,453.0,two-sided,0.0018555785192008207,0.018555785192008206,bonf,0.45153655101683576
phase,SecondThreshold,WanT,0.7517863891494201,0.17401035985878538,0.64449163744915,0.21634644658075158,True,False,466.0,two-sided,0.0025972642617456353,0.025972642617456354,bonf,0.5429182958791315
phase,SecondThreshold,Warmup,0.7517863891494201,0.17401035985878538,0.7700375014324692,0.12901832328628654,True,False,843.0,two-sided,0.9259765104282041,1.0,bonf,-0.11836619607117022
phase,VO2max,WanT,0.6681732034128337,0.19338675616759657,0.64449163744915,0.21634644658075158,True,False,724.0,two-sided,0.3104646269717021,1.0,bonf,0.11465302516234908
phase,VO2max,Warmup,0.6681732034128337,0.19338675616759657,0.7700375014324692,0.12901832328628654,True,False,467.0,two-sided,0.002664281590258233,0.02664281590258233,bonf,-0.6155872642251695
phase,WanT,Warmup,0.64449163744915,0.21634644658075158,0.7700375014324692,0.12901832328628654,True,False,448.0,two-sided,0.0016263694659021906,0.016263694659021905,bonf,-0.7002021753333599
