"Subject","Phase","File_Exists","Has_Data","Rows"
541,"Warmup",TRUE,TRUE,67
541,"CoolDown",TRUE,TRUE,67
541,"Second_Threshold",TRUE,TRUE,60
541,"VO2max",TRUE,TRUE,60
541,"WanT",TRUE,TRUE,47
560,"Warmup",TRUE,TRUE,67
560,"CoolDown",TRUE,TRUE,67
560,"Second_Threshold",TRUE,TRUE,60
560,"VO2max",TRUE,TRUE,60
560,"WanT",TRUE,TRUE,55
570,"Warmup",TRUE,TRUE,67
570,"CoolDown",TRUE,TRUE,71
570,"Second_Threshold",TRUE,TRUE,60
570,"VO2max",TRUE,TRUE,60
570,"WanT",TRUE,TRUE,43
571,"Warmup",TRUE,TRUE,67
571,"CoolDown",TRUE,TRUE,75
571,"Second_Threshold",TRUE,TRUE,60
571,"VO2max",TRUE,TRUE,60
571,"WanT",TRUE,TRUE,38
572,"Warmup",TRUE,TRUE,67
572,"CoolDown",TRUE,TRUE,67
572,"Second_Threshold",TRUE,TRUE,60
572,"VO2max",TRUE,TRUE,60
572,"WanT",TRUE,TRUE,47
573,"Warmup",TRUE,TRUE,67
573,"CoolDown",TRUE,TRUE,67
573,"Second_Threshold",TRUE,TRUE,60
573,"VO2max",TRUE,TRUE,60
573,"WanT",TRUE,TRUE,47
574,"Warmup",TRUE,TRUE,67
574,"CoolDown",TRUE,TRUE,67
574,"Second_Threshold",TRUE,TRUE,60
574,"VO2max",TRUE,TRUE,60
574,"WanT",TRUE,TRUE,47
575,"Warmup",TRUE,TRUE,67
575,"CoolDown",TRUE,TRUE,67
575,"Second_Threshold",TRUE,TRUE,60
575,"VO2max",TRUE,TRUE,60
575,"WanT",TRUE,TRUE,51
577,"Warmup",TRUE,TRUE,67
577,"CoolDown",TRUE,TRUE,67
577,"Second_Threshold",TRUE,TRUE,60
577,"VO2max",TRUE,TRUE,60
577,"WanT",TRUE,TRUE,47
578,"Warmup",TRUE,TRUE,67
578,"CoolDown",TRUE,TRUE,67
578,"Second_Threshold",TRUE,TRUE,60
578,"VO2max",TRUE,TRUE,60
578,"WanT",TRUE,TRUE,47
579,"Warmup",TRUE,TRUE,72
579,"CoolDown",TRUE,TRUE,67
579,"Second_Threshold",TRUE,TRUE,60
579,"VO2max",TRUE,TRUE,60
579,"WanT",TRUE,TRUE,47
580,"Warmup",TRUE,TRUE,67
580,"CoolDown",TRUE,TRUE,67
580,"Second_Threshold",TRUE,TRUE,60
580,"VO2max",TRUE,TRUE,60
580,"WanT",TRUE,TRUE,43
581,"Warmup",TRUE,TRUE,67
581,"CoolDown",TRUE,TRUE,67
581,"Second_Threshold",TRUE,TRUE,60
581,"VO2max",TRUE,TRUE,60
581,"WanT",TRUE,TRUE,43
582,"Warmup",TRUE,TRUE,67
582,"CoolDown",TRUE,TRUE,67
582,"Second_Threshold",TRUE,TRUE,60
582,"VO2max",TRUE,TRUE,60
582,"WanT",TRUE,TRUE,67
583,"Warmup",TRUE,TRUE,67
583,"CoolDown",TRUE,TRUE,87
583,"Second_Threshold",TRUE,TRUE,60
583,"VO2max",TRUE,TRUE,60
583,"WanT",TRUE,TRUE,43
584,"Warmup",TRUE,TRUE,55
584,"CoolDown",TRUE,TRUE,67
584,"Second_Threshold",TRUE,TRUE,60
584,"VO2max",TRUE,TRUE,60
584,"WanT",TRUE,TRUE,51
585,"Warmup",TRUE,TRUE,67
585,"CoolDown",TRUE,TRUE,67
585,"Second_Threshold",TRUE,TRUE,60
585,"VO2max",TRUE,TRUE,60
585,"WanT",TRUE,TRUE,43
586,"Warmup",TRUE,TRUE,67
586,"CoolDown",TRUE,TRUE,67
586,"Second_Threshold",TRUE,TRUE,60
586,"VO2max",TRUE,TRUE,60
586,"WanT",TRUE,TRUE,51
587,"Warmup",TRUE,TRUE,134
587,"CoolDown",TRUE,TRUE,67
587,"Second_Threshold",TRUE,TRUE,60
587,"VO2max",TRUE,TRUE,58
587,"WanT",TRUE,TRUE,46
588,"Warmup",TRUE,TRUE,67
588,"CoolDown",TRUE,TRUE,67
588,"Second_Threshold",TRUE,TRUE,60
588,"VO2max",TRUE,TRUE,60
588,"WanT",TRUE,TRUE,51
590,"Warmup",TRUE,TRUE,67
590,"CoolDown",TRUE,TRUE,67
590,"Second_Threshold",TRUE,TRUE,60
590,"VO2max",TRUE,TRUE,60
590,"WanT",TRUE,TRUE,47
591,"Warmup",TRUE,TRUE,67
591,"CoolDown",TRUE,TRUE,101
591,"Second_Threshold",TRUE,TRUE,60
591,"VO2max",TRUE,TRUE,60
591,"WanT",TRUE,TRUE,43
594,"Warmup",TRUE,TRUE,67
594,"CoolDown",TRUE,TRUE,67
594,"Second_Threshold",TRUE,TRUE,60
594,"VO2max",TRUE,TRUE,60
594,"WanT",TRUE,TRUE,38
595,"Warmup",TRUE,TRUE,67
595,"CoolDown",TRUE,TRUE,73
