Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher,Section,Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-corr,p-adjust,hedges
phase,169.89227912250834,3.0,56.63075970750278,109.83018885065479,2.110590565729492e-39,1.3261986972098888e-21,0.5802342473290661,0.516893248048265,False,0.21798469430525733,1.7152915276298683e-16,OneWay_RM_ANOVA,,,,,,,,,,,,,,
Error,86.6243400873816,168.0,0.5156210719487,,,,,,,,,OneWay_RM_ANOVA,,,,,,,,,,,,,,
,,,,,5.28272486561805e-11,,,,,,,PostHoc_All,phase,CD,ST,-0.8496816658359639,0.49374610610683356,0.03635184460417387,0.11790077364412087,True,False,0.0,two-sided,3.16963491937083e-10,bonf,-2.4518581487282227
,,,,,1.4041776175374662e-08,,,,,,,PostHoc_All,phase,CD,VO2,-0.8496816658359639,0.49374610610683356,-0.06999859388840457,0.5558673547869009,True,False,112.0,two-sided,8.425065705224797e-08,bonf,-1.4731088916158606
,,,,,6.534899414840058e-11,,,,,,,PostHoc_All,phase,CD,WanT,-0.8496816658359639,0.49374610610683356,-2.1247345135587588,1.275969008220009,True,False,4.0,two-sided,3.920939648904035e-10,bonf,1.3091197700657693
,,,,,0.3129547666677165,,,,,,,PostHoc_All,phase,ST,VO2,0.03635184460417387,0.11790077364412087,-0.06999859388840457,0.5558673547869009,True,False,699.0,two-sided,1.0,bonf,0.26290753404987566
,,,,,5.28272486561805e-11,,,,,,,PostHoc_All,phase,ST,WanT,0.03635184460417387,0.11790077364412087,-2.1247345135587588,1.275969008220009,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.3690614214107044
,,,,,1.2957180263656208e-10,,,,,,,PostHoc_All,phase,VO2,WanT,-0.06999859388840457,0.5558673547869009,-2.1247345135587588,1.275969008220009,True,False,17.0,two-sided,7.774308158193725e-10,bonf,2.0738248350514943
,,,,,5.28272486561805e-11,,,,,,,PostHoc_Sig,phase,CD,ST,-0.8496816658359639,0.49374610610683356,0.03635184460417387,0.11790077364412087,True,False,0.0,two-sided,3.16963491937083e-10,bonf,-2.4518581487282227
,,,,,1.4041776175374662e-08,,,,,,,PostHoc_Sig,phase,CD,VO2,-0.8496816658359639,0.49374610610683356,-0.06999859388840457,0.5558673547869009,True,False,112.0,two-sided,8.425065705224797e-08,bonf,-1.4731088916158606
,,,,,6.534899414840058e-11,,,,,,,PostHoc_Sig,phase,CD,WanT,-0.8496816658359639,0.49374610610683356,-2.1247345135587588,1.275969008220009,True,False,4.0,two-sided,3.920939648904035e-10,bonf,1.3091197700657693
,,,,,5.28272486561805e-11,,,,,,,PostHoc_Sig,phase,ST,WanT,0.03635184460417387,0.11790077364412087,-2.1247345135587588,1.275969008220009,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.3690614214107044
,,,,,1.2957180263656208e-10,,,,,,,PostHoc_Sig,phase,VO2,WanT,-0.06999859388840457,0.5558673547869009,-2.1247345135587588,1.275969008220009,True,False,17.0,two-sided,7.774308158193725e-10,bonf,2.0738248350514943
