Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher,Section,Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-corr,p-adjust,hedges
phase,167.9109039853902,3.0,55.9703013284634,121.72828973949977,6.36439280366342e-42,1.3782383611412373e-29,0.6017673176485753,0.686298888826176,False,0.3447375526593292,2.8015497658745733e-11,OneWay_RM_ANOVA,,,,,,,,,,,,,,
Error,77.24589446959638,168.0,0.4597969908904546,,,,,,,,,OneWay_RM_ANOVA,,,,,,,,,,,,,,
,,,,,6.890758207491713e-11,,,,,,,PostHoc_All,phase,CD,ST,-0.9308808232228704,0.7590236277040499,0.03976265613036576,0.17357320159360717,True,False,5.0,two-sided,4.134454924495028e-10,bonf,-1.7511617877018293
,,,,,2.542420611111184e-10,,,,,,,PostHoc_All,phase,CD,VO2,-0.9308808232228704,0.7590236277040499,0.0549228792744946,0.4185265289262651,True,False,30.0,two-sided,1.5254523666667102e-09,bonf,-1.5976424583054107
,,,,,6.631416634102543e-09,,,,,,,PostHoc_All,phase,CD,WanT,-0.9308808232228704,0.7590236277040499,-2.032866999125293,1.0967468932652231,True,False,96.0,two-sided,3.9788499804615253e-08,bonf,1.1605990319654034
,,,,,0.8862793253707619,,,,,,,PostHoc_All,phase,ST,VO2,0.03976265613036576,0.17357320159360717,0.0549228792744946,0.4185265289262651,True,False,808.0,two-sided,1.0,bonf,-0.04700130404196417
,,,,,5.28272486561805e-11,,,,,,,PostHoc_All,phase,ST,WanT,0.03976265613036576,0.17357320159360717,-2.032866999125293,1.0967468932652231,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.6220072564050954
,,,,,5.876275546778772e-11,,,,,,,PostHoc_All,phase,VO2,WanT,0.0549228792744946,0.4185265289262651,-2.032866999125293,1.0967468932652231,True,False,2.0,two-sided,3.5257653280672627e-10,bonf,2.498329725729213
,,,,,6.890758207491713e-11,,,,,,,PostHoc_Sig,phase,CD,ST,-0.9308808232228704,0.7590236277040499,0.03976265613036576,0.17357320159360717,True,False,5.0,two-sided,4.134454924495028e-10,bonf,-1.7511617877018293
,,,,,2.542420611111184e-10,,,,,,,PostHoc_Sig,phase,CD,VO2,-0.9308808232228704,0.7590236277040499,0.0549228792744946,0.4185265289262651,True,False,30.0,two-sided,1.5254523666667102e-09,bonf,-1.5976424583054107
,,,,,6.631416634102543e-09,,,,,,,PostHoc_Sig,phase,CD,WanT,-0.9308808232228704,0.7590236277040499,-2.032866999125293,1.0967468932652231,True,False,96.0,two-sided,3.9788499804615253e-08,bonf,1.1605990319654034
,,,,,5.28272486561805e-11,,,,,,,PostHoc_Sig,phase,ST,WanT,0.03976265613036576,0.17357320159360717,-2.032866999125293,1.0967468932652231,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.6220072564050954
,,,,,5.876275546778772e-11,,,,,,,PostHoc_Sig,phase,VO2,WanT,0.0549228792744946,0.4185265289262651,-2.032866999125293,1.0967468932652231,True,False,2.0,two-sided,3.5257653280672627e-10,bonf,2.498329725729213
