Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher,Section,Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-corr,p-adjust,hedges
phase,364.72288873671437,3.0,121.57429624557146,80.50976218001813,2.498487316504515e-32,1.7476050374347936e-20,0.5338514334430572,0.6025745137811945,False,0.30882345426167696,1.5979911976861279e-12,OneWay_RM_ANOVA,,,,,,,,,,,,,,
Error,253.68950567245864,168.0,1.5100565813836824,,,,,,,,,OneWay_RM_ANOVA,,,,,,,,,,,,,,
,,,,,7.026899586605776e-10,,,,,,,PostHoc_All,phase,CD,ST,-1.1461925838702118,0.8191347999490141,-0.026163058567407565,0.2568224987485058,True,False,50.0,two-sided,4.216139751963466e-09,bonf,-1.8327531060179634
,,,,,3.082838698400273e-09,,,,,,,PostHoc_All,phase,CD,VO2,-1.1461925838702118,0.8191347999490141,-0.12570978083427278,1.412355193832205,True,False,80.0,two-sided,1.8497032190401638e-08,bonf,-0.8779871016976454
,,,,,2.542420611111184e-10,,,,,,,PostHoc_All,phase,CD,WanT,-1.1461925838702118,0.8191347999490141,-3.172532806879731,1.7190860740301372,True,False,30.0,two-sided,1.5254523666667102e-09,bonf,1.4947708255866254
,,,,,0.9493192571187578,,,,,,,PostHoc_All,phase,ST,VO2,-0.026163058567407565,0.2568224987485058,-0.12570978083427278,1.412355193832205,True,False,818.0,two-sided,1.0,bonf,0.09741133566842104
,,,,,5.28272486561805e-11,,,,,,,PostHoc_All,phase,ST,WanT,-0.026163058567407565,0.2568224987485058,-3.172532806879731,1.7190860740301372,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.5427836259732377
,,,,,9.486994756290248e-10,,,,,,,PostHoc_All,phase,VO2,WanT,-0.12570978083427278,1.412355193832205,-3.172532806879731,1.7190860740301372,True,False,56.0,two-sided,5.6921968537741485e-09,bonf,1.9236891413340262
,,,,,7.026899586605776e-10,,,,,,,PostHoc_Sig,phase,CD,ST,-1.1461925838702118,0.8191347999490141,-0.026163058567407565,0.2568224987485058,True,False,50.0,two-sided,4.216139751963466e-09,bonf,-1.8327531060179634
,,,,,3.082838698400273e-09,,,,,,,PostHoc_Sig,phase,CD,VO2,-1.1461925838702118,0.8191347999490141,-0.12570978083427278,1.412355193832205,True,False,80.0,two-sided,1.8497032190401638e-08,bonf,-0.8779871016976454
,,,,,2.542420611111184e-10,,,,,,,PostHoc_Sig,phase,CD,WanT,-1.1461925838702118,0.8191347999490141,-3.172532806879731,1.7190860740301372,True,False,30.0,two-sided,1.5254523666667102e-09,bonf,1.4947708255866254
,,,,,5.28272486561805e-11,,,,,,,PostHoc_Sig,phase,ST,WanT,-0.026163058567407565,0.2568224987485058,-3.172532806879731,1.7190860740301372,True,False,0.0,two-sided,3.16963491937083e-10,bonf,2.5427836259732377
,,,,,9.486994756290248e-10,,,,,,,PostHoc_Sig,phase,VO2,WanT,-0.12570978083427278,1.412355193832205,-3.172532806879731,1.7190860740301372,True,False,56.0,two-sided,5.6921968537741485e-09,bonf,1.9236891413340262
