Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher,Section,Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-corr,p-adjust,hedges
phase,330.27455550533216,3.0,110.09151850177739,62.88483480402984,2.616163199964724e-27,2.2502345142887407e-18,0.3735986415841836,0.6400950478515763,False,0.37162964985328634,1.9636460859636662e-10,OneWay_RM_ANOVA,,,,,,,,,,,,,,
Error,294.115030530594,168.0,1.7506847055392503,,,,,,,,,OneWay_RM_ANOVA,,,,,,,,,,,,,,
,,,,,8.585801106846866e-10,,,,,,,PostHoc_All,phase,CD,ST,-1.3449502986716346,1.5787807733896253,-0.009860346841772064,0.3583223296480807,True,False,54.0,two-sided,5.151480664108119e-09,bonf,-1.158436232553769
,,,,,1.0508129898174073e-10,,,,,,,PostHoc_All,phase,CD,VO2,-1.3449502986716346,1.5787807733896253,0.0849194231879891,0.9938161505865001,True,False,13.0,two-sided,6.304877938904444e-10,bonf,-1.076672475965954
,,,,,1.8528530161514892e-08,,,,,,,PostHoc_All,phase,CD,WanT,-1.3449502986716346,1.5787807733896253,-2.8770375780566817,2.5059885483707576,True,False,118.0,two-sided,1.1117118096908935e-07,bonf,0.726627092250295
,,,,,0.305395348155433,,,,,,,PostHoc_All,phase,ST,VO2,-0.009860346841772064,0.3583223296480807,0.0849194231879891,0.9938161505865001,True,False,697.0,two-sided,1.0,bonf,-0.1260263234316413
,,,,,5.5717740783625447e-11,,,,,,,PostHoc_All,phase,ST,WanT,-0.009860346841772064,0.3583223296480807,-2.8770375780566817,2.5059885483707576,True,False,1.0,two-sided,3.343064447017527e-10,bonf,1.591003284415434
,,,,,6.197035082697064e-11,,,,,,,PostHoc_All,phase,VO2,WanT,0.0849194231879891,0.9938161505865001,-2.8770375780566817,2.5059885483707576,True,False,3.0,two-sided,3.7182210496182384e-10,bonf,1.543377689133855
,,,,,8.585801106846866e-10,,,,,,,PostHoc_Sig,phase,CD,ST,-1.3449502986716346,1.5787807733896253,-0.009860346841772064,0.3583223296480807,True,False,54.0,two-sided,5.151480664108119e-09,bonf,-1.158436232553769
,,,,,1.0508129898174073e-10,,,,,,,PostHoc_Sig,phase,CD,VO2,-1.3449502986716346,1.5787807733896253,0.0849194231879891,0.9938161505865001,True,False,13.0,two-sided,6.304877938904444e-10,bonf,-1.076672475965954
,,,,,1.8528530161514892e-08,,,,,,,PostHoc_Sig,phase,CD,WanT,-1.3449502986716346,1.5787807733896253,-2.8770375780566817,2.5059885483707576,True,False,118.0,two-sided,1.1117118096908935e-07,bonf,0.726627092250295
,,,,,5.5717740783625447e-11,,,,,,,PostHoc_Sig,phase,ST,WanT,-0.009860346841772064,0.3583223296480807,-2.8770375780566817,2.5059885483707576,True,False,1.0,two-sided,3.343064447017527e-10,bonf,1.591003284415434
,,,,,6.197035082697064e-11,,,,,,,PostHoc_Sig,phase,VO2,WanT,0.0849194231879891,0.9938161505865001,-2.8770375780566817,2.5059885483707576,True,False,3.0,two-sided,3.7182210496182384e-10,bonf,1.543377689133855
