Source,SS,DF,MS,F,p-unc,p-GG-corr,ng2,eps,sphericity,W-spher,p-spher,Section,Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-corr,p-adjust,hedges
phase,288.61216517624223,3.0,96.20405505874741,125.4265076830945,2.3440785991690657e-42,2.2146183134328464e-26,0.6331476392654667,0.5983058279999546,False,0.29533199071039185,8.916170437852853e-13,OneWay_RM_ANOVA,,,,,,,,,,,,,,
Error,126.55753060429699,165.0,0.7670153369957393,,,,,,,,,OneWay_RM_ANOVA,,,,,,,,,,,,,,
,,,,,1.832479120248525e-10,,,,,,,PostHoc_All,phase,CD,ST,-0.9457244248737443,0.7446831229028538,0.02292142669096045,0.22133742728084926,True,False,16.0,two-sided,1.0994874721491151e-09,bonf,-1.7512486174253936
,,,,,5.3342699384779035e-09,,,,,,,PostHoc_All,phase,CD,VO2,-0.9457244248737443,0.7446831229028538,-0.018853163563815577,0.6529573865719779,True,False,82.0,two-sided,3.200561963086742e-08,bonf,-1.3144456121992871
,,,,,8.643052437596818e-11,,,,,,,PostHoc_All,phase,CD,WanT,-0.9457244248737443,0.7446831229028538,-2.778051304678371,1.4179408548999917,True,False,2.0,two-sided,5.185831462558091e-10,bonf,1.6068931097239258
,,,,,0.7044618131566598,,,,,,,PostHoc_All,phase,ST,VO2,0.02292142669096045,0.22133742728084926,-0.018853163563815577,0.6529573865719779,True,False,751.0,two-sided,1.0,bonf,0.08510309168519797
,,,,,7.755146246815613e-11,,,,,,,PostHoc_All,phase,ST,WanT,0.02292142669096045,0.22133742728084926,-2.778051304678371,1.4179408548999917,True,False,0.0,two-sided,4.6530877480893673e-10,bonf,2.7413219539553424
,,,,,2.5189297526116435e-10,,,,,,,PostHoc_All,phase,VO2,WanT,-0.018853163563815577,0.6529573865719779,-2.778051304678371,1.4179408548999917,True,False,22.0,two-sided,1.5113578515669861e-09,bonf,2.4825622359335537
,,,,,1.832479120248525e-10,,,,,,,PostHoc_Sig,phase,CD,ST,-0.9457244248737443,0.7446831229028538,0.02292142669096045,0.22133742728084926,True,False,16.0,two-sided,1.0994874721491151e-09,bonf,-1.7512486174253936
,,,,,5.3342699384779035e-09,,,,,,,PostHoc_Sig,phase,CD,VO2,-0.9457244248737443,0.7446831229028538,-0.018853163563815577,0.6529573865719779,True,False,82.0,two-sided,3.200561963086742e-08,bonf,-1.3144456121992871
,,,,,8.643052437596818e-11,,,,,,,PostHoc_Sig,phase,CD,WanT,-0.9457244248737443,0.7446831229028538,-2.778051304678371,1.4179408548999917,True,False,2.0,two-sided,5.185831462558091e-10,bonf,1.6068931097239258
,,,,,7.755146246815613e-11,,,,,,,PostHoc_Sig,phase,ST,WanT,0.02292142669096045,0.22133742728084926,-2.778051304678371,1.4179408548999917,True,False,0.0,two-sided,4.6530877480893673e-10,bonf,2.7413219539553424
,,,,,2.5189297526116435e-10,,,,,,,PostHoc_Sig,phase,VO2,WanT,-0.018853163563815577,0.6529573865719779,-2.778051304678371,1.4179408548999917,True,False,22.0,two-sided,1.5113578515669861e-09,bonf,2.4825622359335537
