threshold_label,phase,muscle,n,mean,sd,median
20%,CoolDown,MTL,60,11.9864,10.8424,19.1953
20%,CoolDown,MTR,60,11.6196,10.8504,19.3233
20%,CoolDown,SCML,45,21.1177,1.7745,20.7309
20%,CoolDown,SCMR,43,21.0762,1.2412,21.2428
20%,CoolDown,STL,52,20.7949,1.4262,20.7309
20%,CoolDown,STR,48,20.8909,1.5676,20.7309
20%,CoolDown,UTL,60,11.5982,10.8572,19.1953
20%,CoolDown,UTR,59,12.901,10.6584,19.7072
20%,SecondThreshold,MTL,46,0.0,0.0,0.0
20%,SecondThreshold,MTR,50,1.0069,2.0611,0.0
20%,SecondThreshold,SCML,51,5.8937,9.7844,0.0
20%,SecondThreshold,SCMR,52,5.0804,9.2279,0.0
20%,SecondThreshold,STL,52,10.4798,12.6308,5.504
20%,SecondThreshold,STR,59,15.6293,20.0092,5.632
20%,SecondThreshold,UTL,52,1.5821,2.9353,0.0
20%,SecondThreshold,UTR,52,2.5758,4.7516,0.0
20%,VO2max,MTL,54,0.0,0.0,0.0
20%,VO2max,MTR,51,0.0,0.0,0.0
20%,VO2max,SCML,48,0.8427,2.0391,0.0
20%,VO2max,SCMR,48,0.592,1.5003,0.0
20%,VO2max,STL,52,6.3557,11.2903,0.0
20%,VO2max,STR,50,3.9117,6.0532,0.0
20%,VO2max,UTL,52,0.0,0.0,0.0
20%,VO2max,UTR,52,0.0,0.0,0.0
20%,WanT,MTL,59,7.2964,6.5642,10.2375
20%,WanT,MTR,59,7.0361,6.5193,9.9816
20%,WanT,SCML,46,12.5354,2.143,11.9011
20%,WanT,SCMR,48,12.5463,2.0755,12.9248
20%,WanT,STL,50,12.6535,2.0864,12.9248
20%,WanT,STR,49,12.6558,2.1861,12.285
20%,WanT,UTL,59,7.2877,6.8384,10.2375
20%,WanT,UTR,58,7.912,6.5831,10.7494
20%,Warmup,MTL,60,11.466,10.1851,19.0673
20%,Warmup,MTR,60,11.0992,10.2721,18.0436
20%,Warmup,SCML,48,20.7043,1.5176,20.475
20%,Warmup,SCMR,48,20.5976,1.2594,20.7309
20%,Warmup,STL,50,20.5057,1.347,20.347
20%,Warmup,STR,48,20.2937,1.1934,20.2191
20%,Warmup,UTL,60,11.112,10.2747,18.2995
20%,Warmup,UTR,60,12.5793,10.6465,19.3233
30%,CoolDown,MTL,60,6.8463,9.8829,0.0
30%,CoolDown,MTR,60,7.7762,10.548,0.0
30%,CoolDown,SCML,57,15.5852,10.4658,20.2191
30%,CoolDown,SCMR,60,16.4525,11.0569,20.347
