muscle,phase,threshold_label,n_removed
MTL,CoolDown,50%,1
MTL,SecondThreshold,20%,13
MTL,SecondThreshold,30%,8
MTL,VO2max,20%,4
MTL,WanT,50%,1
MTL,Warmup,50%,1
MTR,CoolDown,50%,4
MTR,SecondThreshold,20%,9
MTR,SecondThreshold,30%,5
MTR,VO2max,20%,7
MTR,VO2max,30%,2
MTR,WanT,50%,4
MTR,Warmup,50%,4
SCML,CoolDown,20%,15
SCML,CoolDown,30%,3
SCML,SecondThreshold,20%,8
SCML,SecondThreshold,30%,12
SCML,SecondThreshold,50%,4
SCML,VO2max,20%,10
SCML,VO2max,30%,11
SCML,VO2max,50%,2
SCML,WanT,20%,13
SCML,Warmup,20%,12
SCMR,CoolDown,20%,17
SCMR,SecondThreshold,20%,7
SCMR,SecondThreshold,30%,11
SCMR,SecondThreshold,50%,6
SCMR,VO2max,20%,10
SCMR,VO2max,30%,13
SCMR,VO2max,50%,4
SCMR,WanT,20%,11
SCMR,Warmup,20%,12
STL,CoolDown,20%,8
STL,CoolDown,30%,17
STL,CoolDown,50%,12
STL,SecondThreshold,20%,7
STL,SecondThreshold,30%,10
STL,VO2max,20%,6
STL,VO2max,30%,9
STL,VO2max,50%,4
STL,WanT,20%,9
STL,WanT,30%,14
STL,WanT,50%,12
STL,Warmup,20%,10
STL,Warmup,30%,15
STL,Warmup,50%,12
STR,CoolDown,20%,11
STR,CoolDown,30%,16
STR,SecondThreshold,30%,7
STR,SecondThreshold,50%,3
STR,VO2max,20%,8
STR,VO2max,30%,12
STR,VO2max,50%,1
STR,WanT,20%,9
STR,WanT,30%,14
STR,Warmup,20%,11
STR,Warmup,30%,15
UTL,CoolDown,50%,8
UTL,SecondThreshold,20%,7
UTL,SecondThreshold,30%,11
UTL,SecondThreshold,50%,1
UTL,VO2max,20%,6
UTL,WanT,50%,8
UTL,Warmup,50%,8
UTR,CoolDown,50%,8
UTR,SecondThreshold,20%,7
UTR,SecondThreshold,30%,10
UTR,VO2max,20%,6
UTR,VO2max,30%,2
UTR,WanT,50%,8
UTR,Warmup,50%,8
