subject,muscle,phase,time,value
subject_616,SCML,Cooldown,1.999588,560.8185895484985
subject_594,SCML,WanT,2.999382,1741.1023423086192
subject_594,SCML,WanT,3.99997,1100.013467521411
subject_594,SCML,Cooldown,4.999764,2559.848477368186
subject_594,SCML,WanT,4.999764,988.537312794899
subject_573,SCML,WanT,6.999353,446.5970364428501
subject_594,SCML,WanT,6.999353,1434.1199902692874
subject_594,SCML,WanT,7.999941,1600.8485387940725
subject_594,SCML,Cooldown,8.999735,430.5892634167754
subject_594,SCML,WanT,8.999735,918.9535024245222
subject_594,SCML,WanT,9.999529,477.1146417509134
subject_594,SCML,WanT,11.99991,705.5906405221721
subject_594,SCML,WanT,12.99971,2050.2079902712435
subject_594,SCML,WanT,13.9995,1041.1523140235263
subject_616,SCML,WanT,13.9995,473.0849484168364
subject_623,SCML,WanT,13.9995,457.3011602045546
subject_594,SCML,WanT,14.99929,1182.434232292198
subject_594,SCML,WanT,15.99988,547.1081280710061
subject_623,SCML,WanT,15.99988,415.9745175854522
subject_594,SCML,Cooldown,16.99968,2661.373935177525
subject_623,SCML,WanT,16.99968,528.8398946157232
subject_594,SCML,Cooldown,17.99947,2253.4565136266547
subject_594,SCML,WanT,17.99947,747.5118364023667
subject_623,SCML,WanT,17.99947,438.1294156474023
subject_594,SCML,Cooldown,18.99926,1721.6499071296578
subject_623,SCML,WanT,18.99926,416.01570200602936
subject_594,SCML,WanT,19.99985,1383.9187444831866
subject_594,SCML,Cooldown,20.99965,1407.5428943612833
subject_594,SCML,WanT,20.99965,1405.5345028479085
subject_616,SCML,WanT,20.99965,468.4939638562727
subject_623,SCML,WanT,20.99965,437.7106179399978
subject_594,SCML,Cooldown,21.99944,1572.0318300009374
subject_594,SCML,WanT,21.99944,652.9228229341104
subject_627,SCML,WanT,21.99944,1628.5601894776707
subject_594,SCML,Cooldown,22.99924,699.7468291072886
subject_594,SCML,WanT,22.99924,1193.1573298888377
subject_623,SCML,WanT,22.99924,476.4518534147133
subject_627,SCML,WanT,22.99924,896.3868384737698
subject_594,SCML,Cooldown,23.99982,1854.072468191592
subject_594,SCML,WanT,23.99982,1089.1516469051987
subject_623,SCML,VO2max,23.99982,423.53291478942185
subject_623,SCML,WanT,23.99982,461.77473452452807
subject_594,SCML,Cooldown,24.99962,631.5190751955008
subject_594,SCML,Cooldown,25.99941,1397.0634714192709
subject_623,SCML,WanT,25.99941,407.7711504015672
