muscle,phase,count,mean,std,median,min,max,range
MTL,Cooldown,60,5.2839,5.6505,3.6234,0.2714,33.7133,33.4418
MTL,SecondThreshold,59,6.6218,4.6494,5.2907,0.5911,22.1528,21.5617
MTL,VO2max,58,10.7877,8.8176,8.1027,0.5843,45.1115,44.5272
MTL,WanT,59,18.8542,15.1105,15.1736,0.8405,61.5722,60.7317
MTL,Warmup,60,6.6308,5.2541,5.7586,0.9287,33.3977,32.469
MTR,Cooldown,60,4.7159,4.9533,3.64,0.4218,25.6367,25.2149
MTR,SecondThreshold,59,6.3843,5.7451,4.8941,0.3271,29.4016,29.0745
MTR,VO2max,58,10.426,13.8845,6.4446,0.3673,96.8151,96.4478
MTR,WanT,59,17.6739,21.2621,12.69,0.9292,135.9299,135.0007
MTR,Warmup,59,6.8907,6.4997,5.332,1.2506,41.9504,40.6998
SCML,Cooldown,60,12.4954,19.9757,7.0543,1.087,134.3674,133.2804
SCML,SecondThreshold,59,11.8913,9.8384,7.4857,1.1714,38.383,37.2116
SCML,VO2max,58,22.307,24.4862,16.1112,1.8517,160.3956,158.544
SCML,WanT,59,38.4529,38.7732,28.0209,1.2015,181.7956,180.5941
SCML,Warmup,60,7.8624,6.4027,6.2476,0.8063,29.5584,28.7521
SCMR,Cooldown,59,11.0682,15.94,6.4641,0.959,114.0713,113.1123
SCMR,SecondThreshold,58,10.9972,11.6757,8.0326,0.8428,70.6975,69.8547
SCMR,VO2max,57,19.8541,20.6957,13.1171,1.4137,108.5585,107.1448
SCMR,WanT,58,33.0853,30.9453,26.0286,1.7183,148.7473,147.029
SCMR,Warmup,59,10.1276,22.349,5.5903,0.9272,168.897,167.9698
STL,Cooldown,60,10.392,6.3032,7.924,2.228,29.4336,27.2056
STL,SecondThreshold,59,13.4028,11.5884,10.1297,2.3483,71.8129,69.4646
STL,VO2max,58,16.5504,12.7436,13.8419,2.371,60.2288,57.8577
STL,WanT,59,19.2732,17.2811,14.0201,2.2711,83.6648,81.3936
STL,Warmup,60,12.2569,12.1504,9.3122,1.5886,89.7574,88.1688
STR,Cooldown,59,14.0683,17.8644,9.7819,2.5267,137.231,134.7043
STR,SecondThreshold,58,15.056,10.5896,12.7556,2.8767,51.2234,48.3467
STR,VO2max,57,17.3207,10.4754,14.2159,2.9806,49.6885,46.7079
STR,WanT,58,18.2333,15.0773,13.7614,3.08,95.5442,92.4642
STR,Warmup,59,13.82,9.4884,11.2893,2.3301,46.803,44.473
UTL,Cooldown,60,8.7143,10.1505,4.8855,0.4864,48.7945,48.3081
UTL,SecondThreshold,59,13.7442,14.7864,7.7951,0.4504,80.4015,79.9511
UTL,VO2max,58,25.2152,24.4316,18.5114,1.1041,117.8655,116.7615
UTL,WanT,59,28.852,29.4303,18.5143,1.2827,160.2122,158.9294
UTL,Warmup,60,8.6232,8.5216,6.3811,0.9568,44.8047,43.8479
UTR,Cooldown,60,9.1025,12.3826,4.3337,0.0,57.4145,57.4145
UTR,SecondThreshold,59,12.3998,14.3021,8.2697,0.8696,92.8346,91.965
UTR,VO2max,58,21.7074,19.819,15.6967,0.5851,100.0518,99.4667
UTR,WanT,59,28.8747,26.5895,20.3001,0.0,107.8079,107.8079
UTR,Warmup,60,8.1908,6.5379,6.0234,1.0022,30.5067,29.5046
