Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,4.861384900922683,4.3422645298023745,6.574064576314866,4.700603606004657,True,False,240.0,two-sided,3.2258110255269855e-06,3.2258110255269855e-05,bonf,-0.37595396977718426
phase,Cooldown,VO2max,4.861384900922683,4.3422645298023745,10.782146541315184,8.895856555245906,True,False,60.0,two-sided,1.1574519992040597e-09,1.1574519992040597e-08,bonf,-0.8401827561361429
phase,Cooldown,WanT,4.861384900922683,4.3422645298023745,18.907211524672235,15.269066115801785,True,False,9.0,two-sided,8.513555328751578e-11,8.513555328751578e-10,bonf,-1.2429045757313548
phase,Cooldown,Warmup,4.861384900922683,4.3422645298023745,6.792256310735564,5.341994664346505,True,False,305.0,two-sided,3.4813428431556196e-05,0.000348134284315562,bonf,-0.39399481595777736
phase,SecondThreshold,VO2max,6.574064576314866,4.700603606004657,10.782146541315184,8.895856555245906,True,False,161.0,two-sided,1.2669500416454176e-07,1.2669500416454175e-06,bonf,-0.5875108066644086
phase,SecondThreshold,WanT,6.574064576314866,4.700603606004657,18.907211524672235,15.269066115801785,True,False,73.0,two-sided,2.1941258446824013e-09,2.1941258446824012e-08,bonf,-1.0844010682794705
phase,SecondThreshold,Warmup,6.574064576314866,4.700603606004657,6.792256310735564,5.341994664346505,True,False,738.0,two-sided,0.48444060274138667,1.0,bonf,-0.043073851373951554
phase,VO2max,WanT,10.782146541315184,8.895856555245906,18.907211524672235,15.269066115801785,True,False,194.0,two-sided,5.130381815483096e-07,5.130381815483097e-06,bonf,-0.645869468115753
phase,VO2max,Warmup,10.782146541315184,8.895856555245906,6.792256310735564,5.341994664346505,True,False,343.0,two-sided,0.000124275269607522,0.0012427526960752198,bonf,0.5401291809561718
phase,WanT,Warmup,18.907211524672235,15.269066115801785,6.792256310735564,5.341994664346505,True,False,142.0,two-sided,5.4943415859406756e-08,5.494341585940675e-07,bonf,1.0520246702143377
