Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,11.447043617717851,16.273399325061398,11.308159678736274,11.764740092041396,True,False,746.0,two-sided,0.6744198183941872,1.0,bonf,0.00971429203500452
phase,Cooldown,VO2max,11.447043617717851,16.273399325061398,20.083500927732153,20.80974763906048,True,False,329.0,two-sided,0.00013259182353991684,0.0013259182353991684,bonf,-0.4591827936265677
phase,Cooldown,WanT,11.447043617717851,16.273399325061398,33.834346799389614,31.234478770526337,True,False,85.0,two-sided,6.175937382614938e-09,6.175937382614938e-08,bonf,-0.8928017536973409
phase,Cooldown,Warmup,11.447043617717851,16.273399325061398,10.526285746957361,22.879152698957252,True,False,585.0,two-sided,0.08302807139735383,0.8302807139735382,bonf,0.04606195704062664
phase,SecondThreshold,VO2max,11.308159678736274,11.764740092041396,20.083500927732153,20.80974763906048,True,False,96.0,two-sided,1.0515667833353328e-08,1.0515667833353328e-07,bonf,-0.515596634630703
phase,SecondThreshold,WanT,11.308159678736274,11.764740092041396,33.834346799389614,31.234478770526337,True,False,105.0,two-sided,1.6158957784613894e-08,1.6158957784613894e-07,bonf,-0.947941885113595
phase,SecondThreshold,Warmup,11.308159678736274,11.764740092041396,10.526285746957361,22.879152698957252,True,False,411.0,two-sided,0.001617606855646825,0.01617606855646825,bonf,0.04268635567336892
phase,VO2max,WanT,20.083500927732153,20.80974763906048,33.834346799389614,31.234478770526337,True,False,257.0,two-sided,1.0389499748570329e-05,0.0001038949974857033,bonf,-0.514596278275888
phase,VO2max,Warmup,20.083500927732153,20.80974763906048,10.526285746957361,22.879152698957252,True,False,167.0,two-sided,2.7032553762331717e-07,2.7032553762331716e-06,bonf,0.4340358134968267
phase,WanT,Warmup,33.834346799389614,31.234478770526337,10.526285746957361,22.879152698957252,True,False,117.0,two-sided,2.8420920236150752e-08,2.842092023615075e-07,bonf,0.8455422277690532
