Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,8.118579533655742,8.88207553810515,12.983838598683098,14.436066471370857,True,False,273.0,two-sided,1.1143753469523256e-05,0.00011143753469523256,bonf,-0.40321361893052304
phase,Cooldown,VO2max,8.118579533655742,8.88207553810515,24.265292652943955,23.543461611359785,True,False,6.0,two-sided,7.265546175684033e-11,7.265546175684034e-10,bonf,-0.9013821911056581
phase,Cooldown,WanT,8.118579533655742,8.88207553810515,29.142704151771046,29.812744301972863,True,False,40.0,two-sided,4.2398030409541134e-10,4.239803040954114e-09,bonf,-0.949379868944917
phase,Cooldown,Warmup,8.118579533655742,8.88207553810515,8.336350053839983,7.9658270202106385,True,False,653.0,two-sided,0.16927999557038753,1.0,bonf,-0.025639963877739924
phase,SecondThreshold,VO2max,12.983838598683098,14.436066471370857,24.265292652943955,23.543461611359785,True,False,114.0,two-sided,1.5405238700934353e-08,1.5405238700934352e-07,bonf,-0.5738259549504711
phase,SecondThreshold,WanT,12.983838598683098,14.436066471370857,29.142704151771046,29.812744301972863,True,False,224.0,two-sided,1.7268500222078658e-06,1.7268500222078658e-05,bonf,-0.6852648642449873
phase,SecondThreshold,Warmup,12.983838598683098,14.436066471370857,8.336350053839983,7.9658270202106385,True,False,438.0,two-sided,0.0020510375906502365,0.020510375906502364,bonf,0.3959502097347105
phase,VO2max,WanT,24.265292652943955,23.543461611359785,29.142704151771046,29.812744301972863,True,False,594.0,two-sided,0.06528693190598206,0.6528693190598206,bonf,-0.18035678532984808
phase,VO2max,Warmup,24.265292652943955,23.543461611359785,8.336350053839983,7.9658270202106385,True,False,101.0,two-sided,8.39765742344847e-09,8.397657423448469e-08,bonf,0.9002670847466547
phase,WanT,Warmup,29.142704151771046,29.812744301972863,8.336350053839983,7.9658270202106385,True,False,83.0,two-sided,3.563239522254138e-09,3.563239522254138e-08,bonf,0.9471308862597997
