phase,muscle,spearman_r,p_value,n,significant,^ variability understanding,
Warmup,UTL,0.037987523,0.77322101,60,FALSE,,
Warmup,UTR,0.079170778,0.547640971,60,FALSE,,
Warmup,MTL,0.032735408,0.803902417,60,FALSE,,
Warmup,MTR,0.007248071,0.956550365,59,FALSE,,
Warmup,STL,0.118353227,0.367776433,60,FALSE,,
Warmup,STR,0.05392293,0.685019501,59,FALSE,,
Warmup,SCML,0.004251713,0.97427989,60,FALSE,,
Warmup,SCMR,0.119507242,0.367296637,59,FALSE,,
SecondThreshold,UTL,-0.013122516,0.921421315,59,FALSE,,
SecondThreshold,UTR,-0.063829788,0.631024075,59,FALSE,,
SecondThreshold,MTL,-0.013180968,0.92107241,59,FALSE,,
SecondThreshold,MTR,-0.061579378,0.643135048,59,FALSE,,
SecondThreshold,STL,0.066226327,0.618231949,59,FALSE,,
SecondThreshold,STR,-0.032271958,0.809951747,58,FALSE,,
SecondThreshold,SCML,0.007364976,0.955850256,59,FALSE,,
SecondThreshold,SCMR,0.07995693,0.550751362,58,FALSE,,
VO2max,UTL,-0.030087679,0.82259893,58,FALSE,,
VO2max,UTR,-0.132010461,0.323246749,58,FALSE,,
VO2max,MTL,0.06374404,0.634518831,58,FALSE,,
VO2max,MTR,-0.039070912,0.770906782,58,FALSE,,
VO2max,STL,0.086909707,0.516528822,58,FALSE,,
VO2max,STR,0.021100739,0.876194622,57,FALSE,,
VO2max,SCML,0.099000155,0.459682912,58,FALSE,,
VO2max,SCMR,0.14880721,0.269270402,57,FALSE,,
WanT,UTL,0.073796964,0.578569618,59,FALSE,,
WanT,UTR,0.161564205,0.221520038,59,FALSE,,
WanT,MTL,0.2383715,0.069049389,59,FALSE,,
WanT,MTR,0.269205479,0.03922718,59,TRUE,0.07247159,7.247158992
WanT,STL,0.020984642,0.874650134,59,FALSE,,
WanT,STR,-0.035010537,0.79416344,58,FALSE,,
WanT,SCML,0.259093103,0.047531872,59,TRUE,0.067129236,6.712923602
WanT,SCMR,0.215600919,0.104076648,58,FALSE,,
Cooldown,UTL,-0.087646414,0.505469911,60,FALSE,,
Cooldown,UTR,0.070834087,0.590706301,60,FALSE,,
Cooldown,MTL,-0.030151033,0.819111489,60,FALSE,,
Cooldown,MTR,-0.091481292,0.486952243,60,FALSE,,
Cooldown,STL,0.110461159,0.400793499,60,FALSE,,
Cooldown,STR,0.072481771,0.58537577,59,FALSE,,
Cooldown,SCML,0.135332288,0.302550119,60,FALSE,,
Cooldown,SCMR,0.242550893,0.064176471,59,FALSE,,
