Muscle,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
UTL,WanT_Group,1,55,0.017,0.898,1.64e-4,No
UTL,phase,2.17,119.09,25.12,2.49e-10,0.174,Yes
UTL,WanT_Group:phase,2.17,119.09,0.167,0.862,0.001,No
UTR,WanT_Group,1,55,1.973,0.166,0.021,No
UTR,phase,2.12,116.52,30.269,9.97e-12,0.182,Yes
UTR,WanT_Group:phase,2.12,116.52,2.01,0.136,0.015,No
MTL,WanT_Group,1,55,0.991,0.324,0.008,No
MTL,phase,1.63,89.8,35.258,1.12e-10,0.255,Yes
MTL,WanT_Group:phase,1.63,89.8,2.826,0.075,0.027,No
MTR,WanT_Group,1,54,0.624,0.433,0.006,No
MTR,phase,1.28,69.22,16.286,3.56e-5,0.124,Yes
MTR,WanT_Group:phase,1.28,69.22,3.843,0.044,0.032,Yes
STL,WanT_Group,1,55,0.026,0.872,3.06e-4,No
STL,phase,2.56,140.79,8.901,5.59e-5,0.055,Yes
STL,WanT_Group:phase,2.56,140.79,0.395,0.725,0.003,No
STR,WanT_Group,1,54,0.635,0.429,0.006,No
STR,phase,1.25,67.62,0.889,0.371,0.008,No
STR,WanT_Group:phase,1.25,67.62,0.759,0.415,0.007,No
SCML,WanT_Group,1,55,0.018,0.894,1.43e-4,No
SCML,phase,1.49,81.68,7.651,0.003,0.072,Yes
SCML,WanT_Group:phase,1.49,81.68,0.853,0.4,0.009,No
SCMR,WanT_Group,1,54,1.37,0.247,0.01,No
SCMR,phase,1.66,89.62,12.209,6.55e-5,0.121,Yes
SCMR,WanT_Group:phase,1.66,89.62,0.064,0.909,7.24e-4,No
