Muscle,Phase,Comparison,Group1_Mean,Group2_Mean,t_statistic,df,p_value,p_adjusted,Significant
UTL,Warmup,High-WanT vs Low-WanT,9.025019408,8.221468807,0.362506508,53.4949871,0.718401855,1,No
UTL,SecondThreshold,High-WanT vs Low-WanT,13.4875682,14.00975967,-0.13380041,51.76153756,0.894079276,1,No
UTL,VO2max,High-WanT vs Low-WanT,23.25222356,27.31832603,-0.620404324,44.7713213,0.53813703,1,No
UTL,WanT,High-WanT vs Low-WanT,29.25944604,28.43052727,0.106570054,49.45828748,0.915561178,1,No
UTL,Cooldown,High-WanT vs Low-WanT,8.962185338,8.466385124,0.187622418,57.96218318,0.851827921,1,No
UTR,Warmup,High-WanT vs Low-WanT,9.414471583,6.967195034,1.463719766,54.91394735,0.14897162,0.744858099,No
UTR,SecondThreshold,High-WanT vs Low-WanT,14.73072207,9.988578938,1.296792197,37.53184223,0.202618902,1,No
UTR,VO2max,High-WanT vs Low-WanT,21.32741524,22.11447314,-0.151369219,53.3223034,0.880255702,1,No
UTR,WanT,High-WanT vs Low-WanT,34.90469456,22.63680432,1.816913861,51.72062492,0.075026492,0.375132459,No
UTR,Cooldown,High-WanT vs Low-WanT,10.61129546,7.593737556,0.942936056,46.40760258,0.350596792,1,No
MTL,Warmup,High-WanT vs Low-WanT,6.349984598,6.911613188,-0.41107356,46.48494266,0.682907587,1,No
MTL,SecondThreshold,High-WanT vs Low-WanT,6.143557946,7.116565658,-0.799365044,55.52883888,0.427484965,1,No
MTL,VO2max,High-WanT vs Low-WanT,11.62482397,9.890708014,0.7554536,51.03365387,0.453449592,1,No
MTL,WanT,High-WanT vs Low-WanT,22.11716514,15.47872077,1.723101828,53.91699024,0.090601418,0.453007091,No
MTL,Cooldown,High-WanT vs Low-WanT,5.383439388,5.184308679,0.135348452,57.79573916,0.892806674,1,No
MTR,Warmup,High-WanT vs Low-WanT,6.512002607,7.282410215,-0.447164404,39.92352559,0.657173031,1,No
MTR,SecondThreshold,High-WanT vs Low-WanT,5.921031778,6.863486329,-0.624454902,53.99765632,0.534958557,1,No
MTR,VO2max,High-WanT vs Low-WanT,11.30654376,9.482616246,0.5086692,40.09829362,0.61377162,1,No
MTR,WanT,High-WanT vs Low-WanT,22.6643747,12.51129258,1.89889316,35.59524824,0.065707854,0.328539268,No
MTR,Cooldown,High-WanT vs Low-WanT,4.28136758,5.150354071,-0.676325459,54.09236188,0.501715776,1,No
STL,Warmup,High-WanT vs Low-WanT,11.37505096,13.4176118,-0.640491896,38.11222831,0.525685291,1,No
STL,SecondThreshold,High-WanT vs Low-WanT,12.75024179,14.07784989,-0.434425682,50.62499079,0.665825437,1,No
STL,VO2max,High-WanT vs Low-WanT,16.33984923,16.77605169,-0.128443067,53.36003563,0.898281237,1,No
STL,WanT,High-WanT vs Low-WanT,19.09399417,19.69391945,-0.128405844,54.73597791,0.898298445,1,No
STL,Cooldown,High-WanT vs Low-WanT,10.97258626,9.811338558,0.710525039,57.52999387,0.480249188,1,No
STR,Warmup,High-WanT vs Low-WanT,14.20450355,13.44840426,0.304065106,56.82673692,0.762188934,1,No
STR,SecondThreshold,High-WanT vs Low-WanT,15.80347264,14.30853809,0.534179993,55.37806366,0.595355053,1,No
STR,VO2max,High-WanT vs Low-WanT,18.23220366,16.37659193,0.667966565,53.0230046,0.507052193,1,No
STR,WanT,High-WanT vs Low-WanT,20.90191134,17.36154005,0.658073027,40.62506792,0.514203285,1,No
STR,Cooldown,High-WanT vs Low-WanT,21.41626112,11.44445804,1.091348576,29.19880185,0.284043481,1,No
SCML,Warmup,High-WanT vs Low-WanT,8.253171504,7.471656508,0.469600673,55.92019878,0.640466388,1,No
SCML,SecondThreshold,High-WanT vs Low-WanT,13.58948803,10.13453244,1.364828181,53.76992172,0.177991296,0.889956479,No
SCML,VO2max,High-WanT vs Low-WanT,31.04960288,18.9807369,1.402714008,39.87860232,0.168439808,0.842199042,No
SCML,WanT,High-WanT vs Low-WanT,50.77823547,51.50995866,-0.03226581,41.68889759,0.974414062,1,No
SCML,Cooldown,High-WanT vs Low-WanT,12.6022467,29.38661285,-0.794107191,29.98542228,0.433373043,1,No
SCMR,Warmup,High-WanT vs Low-WanT,14.91892225,7.307478566,1.059781244,30.09285829,0.297676618,1,No
SCMR,SecondThreshold,High-WanT vs Low-WanT,12.86112109,9.133287939,1.221009912,46.0865989,0.228292257,1,No
SCMR,VO2max,High-WanT vs Low-WanT,23.55321786,16.31003396,1.319020111,45.09962349,0.193820691,0.969103456,No
SCMR,WanT,High-WanT vs Low-WanT,44.922636,35.32253116,0.666628101,55.92053365,0.507750921,1,No
SCMR,Cooldown,High-WanT vs Low-WanT,14.84588414,8.92798979,1.129570521,34.94016646,0.266352636,1,No
