Muscle_Pair,Friedman_Chi2,df,p_value,n_subjects,Kendalls_W,Effect_Size
MTL_MTR,33.527272727272724,4,9.314876577800926e-7,55,0.152396694214876,Small
SCML_MTL,28.6,4,9.42497787982041e-6,56,0.12767857142857145,Small
SCML_SCMR,6.763636363636364,4,0.14891874854377082,55,0.03074380165289256,Negligible
SCML_STL,18.514285714285716,4,9.788143847969284e-4,56,0.0826530612244898,Negligible
SCML_UTL,30.685714285714287,4,3.5482138818384394e-6,56,0.13698979591836735,Small
SCMR_MTR,18.266666666666666,4,0.0010944503408291237,54,0.0845679012345679,Negligible
SCMR_STR,28.074074074074073,4,1.2049098146535347e-5,54,0.12997256515775032,Small
SCMR_UTR,26.689717925386717,4,2.2966651129606003e-5,55,0.12131689966084871,Small
STL_STR,17.6,4,0.0014771841359356697,55,0.08,Negligible
UTL_MTL,32.642857142857146,4,1.413439883916942e-6,56,0.14572704081632654,Small
UTL_UTR,22.344950848972296,4,1.7109388203798557e-4,56,0.09975424486148346,Negligible
UTR_MTR,35.76706096451319,4,3.2312055659170683e-7,55,0.16257754983869632,Small
