Phase,Muscle_Pair,High_Median,Low_Median,High_n,Low_n,U_statistic,p_value,significant
VO2max,MTL_MTR,0.7925784394608935,0.7467616583970281,41,17,404,0.3474584020952904,FALSE
VO2max,SCML_MTL,0.6362367547801695,0.5839324914537245,41,17,356,0.9048185424721685,FALSE
VO2max,SCML_SCMR,0.7558319383675962,0.7417647190061485,40,17,314,0.6564660918006078,FALSE
VO2max,SCML_STL,0.7536491051881745,0.773350705535868,41,17,345,0.9591286030246569,FALSE
VO2max,SCML_UTL,0.6157542339783711,0.7036942464717705,41,17,265,0.15623834476343065,FALSE
VO2max,SCMR_MTR,0.6256714212972336,0.6752864102349055,40,17,324,0.786877836160252,FALSE
VO2max,SCMR_STR,0.7445173634009574,0.7030260044082435,40,16,360,0.47373958190490717,FALSE
VO2max,SCMR_UTR,0.6236079839337043,0.6662879809999239,40,17,319,0.7206559154227947,FALSE
VO2max,STL_STR,0.852171700998277,0.8044584441302274,41,16,405,0.17427879910468666,FALSE
VO2max,UTL_MTL,0.5435644829122621,0.7245661179419252,41,17,300,0.4122423561006241,FALSE
VO2max,UTL_UTR,0.7058759776416894,0.7233502518285191,41,17,313,0.5499179418405875,FALSE
VO2max,UTR_MTR,0.6384691250682237,0.52691939030716906,41,17,410,0.29740017228634275,FALSE
WanT,MTL_MTR,0.7454609967539862,0.7229309036760799,40,17,339,0.9930412094127449,FALSE
WanT,SCML_MTL,0.5412903080685143,0.6734620747761931,40,17,212,0.026149280887041274,TRUE
WanT,SCML_SCMR,0.7291416090689922,0.7085709961933461,39,17,350,0.7483944277728121,FALSE
WanT,SCML_STL,0.6189785886809085,0.7091079047672585,40,17,259,0.16026981143197797,FALSE
WanT,SCML_UTL,0.585589107947265,0.5124432799778765,40,17,296,0.4479814649911196,FALSE
WanT,SCMR_MTR,0.5921671925246946,0.6356200724475106,39,17,308,0.6819164509539412,FALSE
WanT,SCMR_STR,0.6363324707494762,0.6342736838899505,39,16,337,0.6498178819643419,FALSE
WanT,SCMR_UTR,0.6216478815937909,0.4125215032931091,39,17,424,0.10112467937072472,FALSE
WanT,STL_STR,0.7577268794687556,0.7340632558553783,40,16,336,0.7786131072513416,FALSE
WanT,UTL_MTL,0.627303779168757,0.6094149352223288,40,17,331,0.8821310788827366,FALSE
WanT,UTL_UTR,0.7030515850448262,0.6592997325435809,40,17,356,0.7868744659150726,FALSE
WanT,UTR_MTR,0.6122678672713587,0.4202252625715518,40,17,441,0.07959763138636503,FALSE
