Muscle_Pair,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
MTL_MTR,RPE_Group,1,53,2.007,0.162,0.017,No
MTL_MTR,phase,3.26,172.65,11.455,2.97e-7,0.104,Yes
MTL_MTR,RPE_Group:phase,3.26,172.65,1.001,0.398,0.01,No
SCML_MTL,RPE_Group,1,54,0.955,0.333,0.008,No
SCML_MTL,phase,2.75,148.59,9.329,2.06e-5,0.086,Yes
SCML_MTL,RPE_Group:phase,2.75,148.59,1.208,0.308,0.012,No
SCML_SCMR,RPE_Group,1,53,2.595,0.113,0.023,No
SCML_SCMR,phase,2.62,138.66,2.702,0.056,0.025,No
SCML_SCMR,RPE_Group:phase,2.62,138.66,0.891,0.436,0.009,No
SCML_STL,RPE_Group,1,54,2.298,0.135,0.018,No
SCML_STL,phase,3.07,165.53,3.48,0.017,0.036,Yes
SCML_STL,RPE_Group:phase,3.07,165.53,0.385,0.768,0.004,No
SCML_UTL,RPE_Group,1,54,6.72,0.012,0.034,Yes
SCML_UTL,phase,3.41,184.29,7.875,2.36e-5,0.095,Yes
SCML_UTL,RPE_Group:phase,3.41,184.29,0.316,0.839,0.004,No
SCMR_MTR,RPE_Group,1,52,0.861,0.358,0.008,No
SCMR_MTR,phase,2.95,153.19,8.14,5.17e-5,0.073,Yes
SCMR_MTR,RPE_Group:phase,2.95,153.19,2.119,0.101,0.02,No
SCMR_STR,RPE_Group,1,52,0.004,0.95,3.82e-5,No
SCMR_STR,phase,4,208,6.361,7.56e-5,0.058,Yes
SCMR_STR,RPE_Group:phase,4,208,0.821,0.513,0.008,No
SCMR_UTR,RPE_Group,1,53,0.101,0.752,6.71e-4,No
SCMR_UTR,phase,3.03,160.77,13.178,8.62e-8,0.139,Yes
SCMR_UTR,RPE_Group:phase,3.03,160.77,3.827,0.011,0.045,Yes
STL_STR,RPE_Group,1,53,1.309,0.258,0.01,No
STL_STR,phase,3.14,166.25,2.526,0.057,0.027,No
STL_STR,RPE_Group:phase,3.14,166.25,0.546,0.659,0.006,No
UTL_MTL,RPE_Group,1,54,0.854,0.36,0.008,No
UTL_MTL,phase,4,216,8.491,2.22e-6,0.072,Yes
UTL_MTL,RPE_Group:phase,4,216,0.432,0.785,0.004,No
UTL_UTR,RPE_Group,1,54,0.336,0.564,0.003,No
UTL_UTR,phase,3.04,164.17,11.215,8.66e-7,0.109,Yes
UTL_UTR,RPE_Group:phase,3.04,164.17,1.633,0.183,0.017,No
UTR_MTR,RPE_Group,1,53,0.93,0.339,0.008,No
UTR_MTR,phase,3.25,172.5,13.298,2.84e-8,0.119,Yes
UTR_MTR,RPE_Group:phase,3.25,172.5,1.268,0.287,0.013,No
