.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif,Muscle_Pair
CCI,Warmup,SecondThreshold,55,55,1.9004405637997899,54,0.063,0.627,ns,MTL_MTR
CCI,Warmup,VO2max,55,55,4.469763677167009,54,4.05e-5,4.05e-4,***,MTL_MTR
CCI,Warmup,WanT,55,55,5.488491398210706,54,1.11e-6,1.11e-5,****,MTL_MTR
CCI,Warmup,Cooldown,55,55,4.230763688742744,54,9.07e-5,9.07e-4,***,MTL_MTR
CCI,SecondThreshold,VO2max,55,55,3.1219863072573864,54,0.003,0.029,*,MTL_MTR
CCI,SecondThreshold,WanT,55,55,3.557950285028801,54,7.88e-4,0.008,**,MTL_MTR
CCI,SecondThreshold,Cooldown,55,55,2.55019636772434,54,0.014,0.136,ns,MTL_MTR
CCI,VO2max,WanT,55,55,1.6103305398576213,54,0.113,1,ns,MTL_MTR
CCI,VO2max,Cooldown,55,55,0.41267013490467486,54,0.681,1,ns,MTL_MTR
CCI,WanT,Cooldown,55,55,-1.5585347267619445,54,0.125,1,ns,MTL_MTR
CCI,Warmup,SecondThreshold,56,56,2.843987088259975,55,0.006,0.062,ns,SCML_MTL
CCI,Warmup,VO2max,56,56,4.431119918745061,55,4.51e-5,4.51e-4,***,SCML_MTL
CCI,Warmup,WanT,56,56,5.341879458631366,55,1.81e-6,1.81e-5,****,SCML_MTL
CCI,Warmup,Cooldown,56,56,4.6539398209358795,55,2.09e-5,2.09e-4,***,SCML_MTL
CCI,SecondThreshold,VO2max,56,56,3.05293236504154,55,0.003,0.035,*,SCML_MTL
CCI,SecondThreshold,WanT,56,56,3.724226542739117,55,4.63e-4,0.005,**,SCML_MTL
CCI,SecondThreshold,Cooldown,56,56,2.9214881232191217,55,0.005,0.05,ns,SCML_MTL
CCI,VO2max,WanT,56,56,1.8458927142514614,55,0.07,0.703,ns,SCML_MTL
CCI,VO2max,Cooldown,56,56,1.1347511476979955,55,0.261,1,ns,SCML_MTL
CCI,WanT,Cooldown,56,56,-0.6679157232616083,55,0.507,1,ns,SCML_MTL
CCI,Warmup,SecondThreshold,55,55,0.4541849843316216,54,0.652,1,ns,SCML_SCMR
CCI,Warmup,VO2max,55,55,-0.23150652977563826,54,0.818,1,ns,SCML_SCMR
CCI,Warmup,WanT,55,55,1.6030390154473548,54,0.115,1,ns,SCML_SCMR
CCI,Warmup,Cooldown,55,55,2.4164305267282784,54,0.019,0.191,ns,SCML_SCMR
CCI,SecondThreshold,VO2max,55,55,-1.0345454055154581,54,0.305,1,ns,SCML_SCMR
CCI,SecondThreshold,WanT,55,55,1.2867356880041527,54,0.204,1,ns,SCML_SCMR
CCI,SecondThreshold,Cooldown,55,55,1.7266831473063824,54,0.09,0.899,ns,SCML_SCMR
CCI,VO2max,WanT,55,55,2.2109460293183756,54,0.031,0.313,ns,SCML_SCMR
CCI,VO2max,Cooldown,55,55,2.37978560728869,54,0.021,0.209,ns,SCML_SCMR
CCI,WanT,Cooldown,55,55,1.0992141943748635,54,0.277,1,ns,SCML_SCMR
CCI,Warmup,SecondThreshold,56,56,-1.7987858214957824,55,0.078,0.775,ns,SCML_STL
CCI,Warmup,VO2max,56,56,-1.8924624905567167,55,0.064,0.637,ns,SCML_STL
CCI,Warmup,WanT,56,56,1.3888416906819583,55,0.17,1,ns,SCML_STL
CCI,Warmup,Cooldown,56,56,1.3992273733724845,55,0.167,1,ns,SCML_STL
CCI,SecondThreshold,VO2max,56,56,-0.5836424122994204,55,0.562,1,ns,SCML_STL
CCI,SecondThreshold,WanT,56,56,2.644007166739393,55,0.011,0.107,ns,SCML_STL
CCI,SecondThreshold,Cooldown,56,56,2.5533692134165626,55,0.014,0.135,ns,SCML_STL
CCI,VO2max,WanT,56,56,3.763801529838012,55,4.08e-4,0.004,**,SCML_STL
CCI,VO2max,Cooldown,56,56,2.963506440715091,55,0.004,0.045,*,SCML_STL
CCI,WanT,Cooldown,56,56,-0.4552859261420865,55,0.651,1,ns,SCML_STL
CCI,Warmup,SecondThreshold,56,56,1.0754153570531686,55,0.287,1,ns,SCML_UTL
CCI,Warmup,VO2max,56,56,2.7522322988877392,55,0.008,0.08,ns,SCML_UTL
CCI,Warmup,WanT,56,56,4.749713245341197,55,1.5e-5,1.5e-4,***,SCML_UTL
CCI,Warmup,Cooldown,56,56,4.820534009864055,55,1.17e-5,1.17e-4,***,SCML_UTL
CCI,SecondThreshold,VO2max,56,56,2.298269615031205,55,0.025,0.254,ns,SCML_UTL
CCI,SecondThreshold,WanT,56,56,3.525148259792318,55,8.61e-4,0.009,**,SCML_UTL
CCI,SecondThreshold,Cooldown,56,56,3.4342314120787023,55,0.001,0.011,*,SCML_UTL
