Phase,Muscle_Pair,spearman_rho,p_value,n,significant
VO2max,MTL_MTR,0.028098643102272995,0.8341548657034361,58,FALSE
VO2max,SCML_MTL,-0.0666366041090612,0.6191926796538907,58,FALSE
VO2max,SCML_SCMR,-0.1029034661492626,0.4462285976556464,57,FALSE
VO2max,SCML_STL,-0.057072438603726905,0.6704459196696553,58,FALSE
VO2max,SCML_UTL,-0.04169476073240509,0.75598262038419,58,FALSE
VO2max,SCMR_MTR,-0.21101306347098228,0.11511392765570665,57,FALSE
VO2max,SCMR_STR,0.06187679097666387,0.6505239804116255,56,FALSE
VO2max,SCMR_UTR,-0.03575096406402495,0.7917657367846538,57,FALSE
VO2max,STL_STR,0.12188919084226958,0.36640398981990663,57,FALSE
VO2max,UTL_MTL,-0.07913878124021716,0.5548486021524122,58,FALSE
VO2max,UTL_UTR,0.014908846228903469,0.911555415561279,58,FALSE
VO2max,UTR_MTR,0.11495751872097895,0.3901828501466491,58,FALSE
WanT,MTL_MTR,-0.0034052709729239226,0.9799435233457636,57,FALSE
WanT,SCML_MTL,-0.23444992982478388,0.0791908460786084,57,FALSE
WanT,SCML_SCMR,-0.0012671197749997338,0.992605002030028,56,FALSE
WanT,SCML_STL,-0.24504393451234777,0.06618418265805112,57,FALSE
WanT,SCML_UTL,0.05252671602196176,0.6979788250663197,57,FALSE
WanT,SCMR_MTR,-0.23491652032641916,0.08137120998220805,56,FALSE
WanT,SCMR_STR,-0.047397346692206355,0.7311263555516718,55,FALSE
WanT,SCMR_UTR,0.1832116332208519,0.17650981794678253,56,FALSE
WanT,STL_STR,-0.07944582469210579,0.5605462602423144,56,FALSE
WanT,UTL_MTL,0.03245700304144395,0.8105789352173048,57,FALSE
WanT,UTL_UTR,0.07512981900165967,0.5785956576258225,57,FALSE
WanT,UTR_MTR,0.16874736038048224,0.2095475018722552,57,FALSE
