Phase,Muscle_Pair,High_Median,Low_Median,High_n,Low_n,U_statistic,p_value,significant,
WanT,MTL_MTR,0.714456388,0.733319954,16,43,305,0.511548044,FALSE,
WanT,SCML_MTL,0.40390091,0.639082703,16,43,155,0.00130946,FALSE,circultar with SCM from cluster
WanT,SCML_SCMR,0.58119445,0.742861921,16,42,165,0.003014333,FALSE,circultar with SCM from cluster
WanT,SCML_STL,0.417611837,0.668163261,16,43,159,0.001656905,FALSE,circultar with SCM from cluster
WanT,SCML_UTL,0.496550528,0.625304465,16,43,267,0.192119989,FALSE,
WanT,SCMR_MTR,0.528862633,0.625925301,16,42,224,0.052405145,FALSE,
WanT,SCMR_STR,0.582214908,0.671625878,16,41,239,0.116021549,FALSE,
WanT,SCMR_UTR,0.55579108,0.544163335,16,42,317,0.747563596,FALSE,
WanT,STL_STR,0.766594797,0.721960356,16,42,349,0.82784313,FALSE,
WanT,UTL_MTL,0.538970057,0.659781889,16,43,311,0.579490908,FALSE,
WanT,UTL_UTR,0.722291911,0.688509676,16,43,402,0.326897992,FALSE,
WanT,UTR_MTR,0.570855691,0.552629685,16,43,391,0.427883623,FALSE,
VO2,MTL_MTR,0.790137964,0.785926409,16,43,361,0.778462928,FALSE,
VO2,SCML_MTL,0.53650835,0.636236755,16,43,268,0.198002177,FALSE,
VO2,SCML_SCMR,0.660604753,0.804212048,16,42,222,0.048315258,FALSE,circultar with SCM from cluster
VO2,SCML_STL,0.696102448,0.761271771,16,43,308,0.544999627,FALSE,
VO2,SCML_UTL,0.624165619,0.675547922,16,43,266,0.186380013,FALSE,
VO2,SCMR_MTR,0.591815512,0.640187137,16,42,291,0.438826415,FALSE,
VO2,SCMR_STR,0.688052261,0.732249769,16,41,353,0.663488602,FALSE,
VO2,SCMR_UTR,0.588490992,0.698823603,16,42,271,0.26181099,FALSE,
VO2,STL_STR,0.856679423,0.836752457,16,42,360,0.682660908,FALSE,
VO2,UTL_MTL,0.600514322,0.620560979,16,43,368,0.688661868,FALSE,
VO2,UTL_UTR,0.777668936,0.650490504,16,43,472,0.029715879,TRUE,
VO2,UTR_MTR,0.619428037,0.606458694,16,43,342,0.979596496,FALSE,
