Muscle_Pair,Friedman_Chi2,df,p_value,n_subjects,Kendalls_W,Effect_Size
MTL_MTR,32.97142857142857,4,1.2106779515877736e-6,56,0.1471938775510204,Small
SCML_MTL,27.410526315789475,4,1.6419224398299933e-5,57,0.12022160664819945,Small
SCML_SCMR,6.914285714285715,4,0.1404877600081862,56,0.030867346938775513,Negligible
SCML_STL,19.2140350877193,4,7.133761412286756e-4,57,0.0842720837180671,Negligible
SCML_UTL,29.51578947368421,4,6.140814044701224e-6,57,0.12945521698984302,Small
SCMR_MTR,19.36,4,6.677296603150805e-4,55,0.088,Negligible
SCMR_STR,26.574545454545454,4,2.423037357508352e-5,55,0.12079338842975207,Small
SCMR_UTR,24.2609472743521,4,7.080804904770382e-5,56,0.10830780033192902,Small
STL_STR,18.185714285714287,4,0.0011351060653334505,56,0.08118622448979593,Negligible
UTL_MTL,32.266666666666666,4,1.6874240045739957e-6,57,0.1415204678362573,Small
UTL_UTR,20.3441615452151,4,4.2702717945752487e-4,57,0.08922877870708378,Negligible
UTR_MTR,34.734584450402146,4,5.266546907986284e-7,56,0.15506510915358102,Small
