Phase,Muscle_Pair,Easy_Median,Hard_Median,Easy_n,Hard_n,U_statistic,p_value,significant
Warmup,MTL_MTR,0.854234002,0.839870452,42,16,319,0.77407081,FALSE
Warmup,SCML_MTL,0.750425909,0.764566268,42,17,326,0.609725926,FALSE
Warmup,SCML_SCMR,0.75295095,0.793769448,41,17,262,0.141809961,FALSE
Warmup,SCML_STL,0.699765455,0.730675285,42,17,302,0.361694037,FALSE
Warmup,SCML_UTL,0.733815849,0.785920003,42,17,293,0.2878859,FALSE
Warmup,SCMR_MTR,0.693193055,0.819265949,41,16,175,0.006763168,TRUE
Warmup,SCMR_STR,0.636831683,0.598910182,41,16,334,0.922189658,FALSE
Warmup,SCMR_UTR,0.7244553,0.788519663,41,17,226,0.037155652,TRUE
Warmup,STL_STR,0.844006016,0.797821527,42,16,345,0.882440304,FALSE
Warmup,UTL_MTL,0.80799935,0.798853131,42,17,314,0.476896309,FALSE
Warmup,UTL_UTR,0.74176366,0.839915159,42,17,202,0.009715422,TRUE
Warmup,UTR_MTR,0.784054747,0.815316965,42,16,285,0.379639966,FALSE
SecondThreshold,MTL_MTR,0.844103467,0.839840055,41,17,343,0.931933956,FALSE
SecondThreshold,SCML_MTL,0.702589084,0.651551955,41,17,314,0.561374771,FALSE
SecondThreshold,SCML_SCMR,0.742234664,0.792779065,40,17,235,0.068334044,FALSE
SecondThreshold,SCML_STL,0.665690215,0.783723225,41,17,270,0.182720513,FALSE
SecondThreshold,SCML_UTL,0.683771253,0.752130943,41,17,254,0.108330353,FALSE
SecondThreshold,SCMR_MTR,0.670591831,0.740718351,40,17,248,0.110480279,FALSE
SecondThreshold,SCMR_STR,0.704297117,0.728219236,40,16,266,0.331884777,FALSE
SecondThreshold,SCMR_UTR,0.622796604,0.769453284,40,17,177,0.004589833,TRUE
SecondThreshold,STL_STR,0.860565567,0.767138342,41,16,386,0.307180025,FALSE
SecondThreshold,UTL_MTL,0.697641271,0.823099429,41,17,254,0.108330353,FALSE
SecondThreshold,UTL_UTR,0.754453484,0.869998925,41,17,229,0.042072479,TRUE
SecondThreshold,UTR_MTR,0.752194333,0.770320887,41,17,314,0.561374771,FALSE
VO2max,MTL_MTR,0.796173906,0.746761658,42,17,416,0.327536467,FALSE
VO2max,SCML_MTL,0.639605626,0.583932491,42,17,370,0.834286764,FALSE
VO2max,SCML_SCMR,0.753558876,0.741764719,41,17,315,0.572945831,FALSE
VO2max,SCML_STL,0.752281209,0.773350706,42,17,349,0.900108638,FALSE
VO2max,SCML_UTL,0.617475526,0.703694246,42,17,277,0.183335287,FALSE
VO2max,SCMR_MTR,0.623983814,0.67528641,41,17,331,0.771509969,FALSE
VO2max,SCMR_STR,0.739506066,0.703026004,41,16,361,0.563820744,FALSE
VO2max,SCMR_UTR,0.627203711,0.666287981,41,17,332,0.784608791,FALSE
VO2max,STL_STR,0.850087764,0.804458444,42,16,411,0.194943356,FALSE
VO2max,UTL_MTL,0.544530623,0.724566118,42,17,308,0.416950831,FALSE
VO2max,UTL_UTR,0.702182692,0.723350252,42,17,314,0.476896309,FALSE
VO2max,UTR_MTR,0.637913423,0.52691939,42,17,420,0.295545215,FALSE
WanT,MTL_MTR,0.733319954,0.722930904,41,17,344,0.945522508,FALSE
WanT,SCML_MTL,0.555873971,0.673462075,41,17,225,0.035629379,TRUE
WanT,SCML_SCMR,0.72838952,0.708570996,40,17,350,0.868383946,FALSE
WanT,SCML_STL,0.615170647,0.709107905,41,17,261,0.137235074,FALSE
WanT,SCML_UTL,0.614877882,0.51244328,41,17,309,0.505268679,FALSE
WanT,SCMR_MTR,0.588930553,0.635620072,40,17,312,0.631452396,FALSE
WanT,SCMR_STR,0.629730134,0.634273684,40,16,339,0.737223232,FALSE
WanT,SCMR_UTR,0.611111668,0.412521503,40,17,436,0.095745827,FALSE
WanT,STL_STR,0.728917713,0.734063256,41,16,337,0.880010345,FALSE
WanT,UTL_MTL,0.649196154,0.609414935,41,17,346,0.972745358,FALSE
WanT,UTL_UTR,0.697281575,0.659299733,41,17,359,0.864360295,FALSE
WanT,UTR_MTR,0.608807738,0.420225263,41,17,444,0.104626705,FALSE
Cooldown,MTL_MTR,0.777914313,0.784518215,42,17,370,0.834286764,FALSE
Cooldown,SCML_MTL,0.564840719,0.626312227,42,17,286,0.238029391,FALSE
Cooldown,SCML_SCMR,0.710877025,0.699326853,41,17,304,0.45227693,FALSE
Cooldown,SCML_STL,0.648755298,0.721268526,42,17,298,0.327536467,FALSE
Cooldown,SCML_UTL,0.554396939,0.710795536,42,17,222,0.024381375,TRUE
Cooldown,SCMR_MTR,0.695929006,0.633338462,41,17,388,0.505275227,FALSE
Cooldown,SCMR_STR,0.630068212,0.561292688,41,16,383,0.333104646,FALSE
Cooldown,SCMR_UTR,0.609199001,0.553301565,41,17,398,0.402572147,FALSE
Cooldown,STL_STR,0.80134143,0.7212592,42,16,425,0.123644614,FALSE
Cooldown,UTL_MTL,0.660471319,0.722146732,42,17,318,0.519343894,FALSE
Cooldown,UTL_UTR,0.710771263,0.666402031,42,17,386,0.633368087,FALSE
Cooldown,UTR_MTR,0.706424119,0.600026257,42,17,420,0.295545215,FALSE
