Muscle_Pair,Effect,DFn,DFd,F_value,p_value,eta_squared_partial,Significant
MTL_MTR,Warmup_Group,1,54,1.969,0.166,0.016,No
MTL_MTR,phase,3.27,176.83,11.182,3.89e-7,0.101,Yes
MTL_MTR,Warmup_Group:phase,3.27,176.83,1.139,0.337,0.011,No
SCML_MTL,Warmup_Group,1,55,0.898,0.347,0.007,No
SCML_MTL,phase,2.78,152.7,8.986,2.8e-5,0.083,Yes
SCML_MTL,Warmup_Group:phase,2.78,152.7,1.19,0.315,0.012,No
SCML_SCMR,Warmup_Group,1,54,2.743,0.103,0.024,No
SCML_SCMR,phase,2.67,144.21,2.849,0.046,0.027,Yes
SCML_SCMR,Warmup_Group:phase,2.67,144.21,0.722,0.525,0.007,No
SCML_STL,Warmup_Group,1,55,2.211,0.143,0.017,No
SCML_STL,phase,3.05,167.99,3.521,0.016,0.036,Yes
SCML_STL,Warmup_Group:phase,3.05,167.99,0.37,0.778,0.004,No
SCML_UTL,Warmup_Group,1,55,6.254,0.015,0.032,Yes
SCML_UTL,phase,3.42,188.11,7.877,2.28e-5,0.093,Yes
SCML_UTL,Warmup_Group:phase,3.42,188.11,0.342,0.82,0.004,No
SCMR_MTR,Warmup_Group,1,53,0.928,0.34,0.009,No
SCMR_MTR,phase,2.95,156.54,8.401,3.63e-5,0.074,Yes
SCMR_MTR,Warmup_Group:phase,2.95,156.54,2.149,0.097,0.02,No
SCMR_STR,Warmup_Group,1,53,0.002,0.962,2.12e-5,No
SCMR_STR,phase,4,212,6.163,1.04e-4,0.056,Yes
SCMR_STR,Warmup_Group:phase,4,212,0.709,0.587,0.007,No
SCMR_UTR,Warmup_Group,1,54,0.138,0.712,8.92e-4,No
SCMR_UTR,phase,3.06,165.47,12.921,9.93e-8,0.135,Yes
SCMR_UTR,Warmup_Group:phase,3.06,165.47,4.032,0.008,0.046,Yes
STL_STR,Warmup_Group,1,54,1.36,0.249,0.01,No
STL_STR,phase,3.15,169.98,2.631,0.049,0.027,Yes
STL_STR,Warmup_Group:phase,3.15,169.98,0.564,0.648,0.006,No
UTL_MTL,Warmup_Group,1,55,0.739,0.394,0.007,No
UTL_MTL,phase,3.5,192.66,8.447,8.24e-6,0.07,Yes
UTL_MTL,Warmup_Group:phase,3.5,192.66,0.511,0.703,0.005,No
UTL_UTR,Warmup_Group,1,55,0.584,0.448,0.005,No
UTL_UTR,phase,3.03,166.74,10.958,1.19e-6,0.101,Yes
UTL_UTR,Warmup_Group:phase,3.03,166.74,1.815,0.146,0.018,No
UTR_MTR,Warmup_Group,1,54,0.613,0.437,0.005,No
UTR_MTR,phase,3.29,177.91,13.191,2.64e-8,0.113,Yes
UTR_MTR,Warmup_Group:phase,3.29,177.91,1.39,0.245,0.013,No
