Muscle_Pair,Phase,Comparison,Easy_Mean,Hard_Mean,t_statistic,df,p_value,p_adjusted,Significant
MTL_MTR,Warmup,Easy-Warmup vs Hard-Warmup,0.831395976,0.84977796,-0.968366276,45.86133031,0.337940844,1,No
MTL_MTR,SecondThreshold,Easy-Warmup vs Hard-Warmup,0.804919491,0.77919686,0.478241829,22.59484171,0.63707293,1,No
MTL_MTR,VO2max,Easy-Warmup vs Hard-Warmup,0.764876716,0.69275864,1.371683728,21.67633501,0.184194072,0.920970362,No
MTL_MTR,WanT,Easy-Warmup vs Hard-Warmup,0.715191059,0.655767478,0.929307905,18.70390267,0.364568776,1,No
MTL_MTR,Cooldown,Easy-Warmup vs Hard-Warmup,0.754940901,0.677073698,1.187094789,19.68006164,0.249322225,1,No
SCML_MTL,Warmup,Easy-Warmup vs Hard-Warmup,0.720220018,0.743987463,-0.641790137,32.85995781,0.52546153,1,No
SCML_MTL,SecondThreshold,Easy-Warmup vs Hard-Warmup,0.665617992,0.680262306,-0.256631841,27.59363656,0.799366809,1,No
SCML_MTL,VO2max,Easy-Warmup vs Hard-Warmup,0.620617716,0.590568548,0.474140484,25.10309373,0.639497993,1,No
SCML_MTL,WanT,Easy-Warmup vs Hard-Warmup,0.530579116,0.625582253,-1.6687264,28.73157523,0.106034658,0.530173292,No
SCML_MTL,Cooldown,Easy-Warmup vs Hard-Warmup,0.550779006,0.616674634,-1.142754508,30.09908843,0.262149256,1,No
SCML_SCMR,Warmup,Easy-Warmup vs Hard-Warmup,0.714093988,0.771281027,-1.616615954,41.43149773,0.113551148,0.56775574,No
SCML_SCMR,SecondThreshold,Easy-Warmup vs Hard-Warmup,0.692221705,0.788873762,-2.392804889,48.88519641,0.02060708,0.103035402,No
SCML_SCMR,VO2max,Easy-Warmup vs Hard-Warmup,0.724526511,0.748830533,-0.626899914,40.15410974,0.534273225,1,No
SCML_SCMR,WanT,Easy-Warmup vs Hard-Warmup,0.678348383,0.69942585,-0.623805114,51.62506298,0.535502348,1,No
SCML_SCMR,Cooldown,Easy-Warmup vs Hard-Warmup,0.648611483,0.710525853,-1.426636562,45.50629597,0.160510027,0.802550136,No
SCML_STL,Warmup,Easy-Warmup vs Hard-Warmup,0.651540684,0.692229236,-0.870958427,33.07940309,0.390054014,1,No
SCML_STL,SecondThreshold,Easy-Warmup vs Hard-Warmup,0.683956724,0.738600354,-1.168991482,32.94334936,0.250796505,1,No
SCML_STL,VO2max,Easy-Warmup vs Hard-Warmup,0.705758863,0.716540566,-0.229930661,31.94747262,0.819611539,1,No
SCML_STL,WanT,Easy-Warmup vs Hard-Warmup,0.589297186,0.669596471,-1.724625476,37.26245459,0.092882306,0.464411532,No
SCML_STL,Cooldown,Easy-Warmup vs Hard-Warmup,0.614463514,0.663009571,-1.163402268,40.0964502,0.251543141,1,No
