pair,phase,count,mean,std,median
CCI_MTL_MTR,Cooldown,60,0.7365,0.181,0.7779
CCI_MTL_MTR,SecondThreshold,59,0.8,0.1607,0.8398
CCI_MTL_MTR,VO2max,60,0.7489,0.1571,0.7894
CCI_MTL_MTR,WanT,59,0.7036,0.1723,0.731
CCI_MTL_MTR,Warmup,59,0.8318,0.0807,0.8423
CCI_SCML_MTL,Cooldown,60,0.5699,0.1957,0.5704
CCI_SCML_MTL,SecondThreshold,59,0.6696,0.187,0.7026
CCI_SCML_MTL,VO2max,60,0.6137,0.1998,0.6197
CCI_SCML_MTL,WanT,59,0.5586,0.1931,0.5927
CCI_SCML_MTL,Warmup,60,0.7286,0.1305,0.7634
CCI_SCML_SCMR,Cooldown,59,0.6753,0.1757,0.7109
CCI_SCML_SCMR,SecondThreshold,58,0.7176,0.1764,0.784
CCI_SCML_SCMR,VO2max,59,0.7279,0.1478,0.7536
CCI_SCML_SCMR,WanT,58,0.6867,0.1426,0.7157
CCI_SCML_SCMR,Warmup,59,0.7338,0.1366,0.7658
CCI_SCML_STL,Cooldown,60,0.6236,0.1617,0.6737
CCI_SCML_STL,SecondThreshold,59,0.7065,0.1685,0.7459
CCI_SCML_STL,VO2max,60,0.7146,0.1631,0.756
CCI_SCML_STL,WanT,59,0.6178,0.1789,0.6333
CCI_SCML_STL,Warmup,60,0.6631,0.164,0.7073
CCI_SCML_UTL,Cooldown,60,0.5607,0.1839,0.5872
CCI_SCML_UTL,SecondThreshold,59,0.6891,0.1762,0.7146
CCI_SCML_UTL,VO2max,60,0.6258,0.1924,0.6326
CCI_SCML_UTL,WanT,59,0.5732,0.201,0.6149
CCI_SCML_UTL,Warmup,60,0.7026,0.1625,0.7429
CCI_SCMR_MTR,Cooldown,59,0.6142,0.2175,0.6869
CCI_SCMR_MTR,SecondThreshold,58,0.6653,0.2055,0.6992
CCI_SCMR_MTR,VO2max,59,0.6166,0.2002,0.6274
CCI_SCMR_MTR,WanT,58,0.5817,0.1843,0.6166
CCI_SCMR_MTR,Warmup,58,0.718,0.1513,0.7469
CCI_SCMR_STR,Cooldown,58,0.5767,0.1711,0.5936
CCI_SCMR_STR,SecondThreshold,57,0.6533,0.2012,0.7072
CCI_SCMR_STR,VO2max,58,0.6882,0.1635,0.7333
CCI_SCMR_STR,WanT,57,0.6217,0.1723,0.6231
CCI_SCMR_STR,Warmup,58,0.5811,0.1982,0.6143
CCI_SCMR_UTR,Cooldown,59,0.5473,0.2174,0.5943
CCI_SCMR_UTR,SecondThreshold,58,0.6479,0.2084,0.6993
CCI_SCMR_UTR,VO2max,59,0.599,0.2149,0.6644
CCI_SCMR_UTR,WanT,58,0.5424,0.2229,0.5442
CCI_SCMR_UTR,Warmup,59,0.7103,0.151,0.7428
CCI_STL_STR,Cooldown,59,0.7414,0.1522,0.7987
CCI_STL_STR,SecondThreshold,58,0.7873,0.1398,0.8388
CCI_STL_STR,VO2max,59,0.7948,0.1341,0.8388
CCI_STL_STR,WanT,58,0.7409,0.1395,0.7378
CCI_STL_STR,Warmup,59,0.8,0.1201,0.8441
CCI_UTL_MTL,Cooldown,60,0.6432,0.2459,0.7037
CCI_UTL_MTL,SecondThreshold,59,0.6575,0.2396,0.7554
CCI_UTL_MTL,VO2max,60,0.5815,0.2388,0.5943
CCI_UTL_MTL,WanT,59,0.5998,0.2033,0.6253
CCI_UTL_MTL,Warmup,60,0.7456,0.1563,0.8001
CCI_UTL_UTR,Cooldown,60,0.6342,0.2093,0.6931
CCI_UTL_UTR,SecondThreshold,59,0.7496,0.1733,0.7994
CCI_UTL_UTR,VO2max,60,0.6652,0.1934,0.7064
CCI_UTL_UTR,WanT,59,0.6406,0.2166,0.6885
CCI_UTL_UTR,Warmup,60,0.7607,0.1395,0.8034
CCI_UTR_MTR,Cooldown,60,0.6062,0.2438,0.6812
CCI_UTR_MTR,SecondThreshold,59,0.6618,0.2262,0.7522
CCI_UTR_MTR,VO2max,60,0.576,0.2284,0.6034
CCI_UTR_MTR,WanT,59,0.5646,0.2158,0.5526
CCI_UTR_MTR,Warmup,59,0.7616,0.1457,0.7944
