Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.6245002546339884,0.1641677994713686,0.7032229357231649,0.16800163338828836,True,False,473.0,two-sided,0.003100673643978925,0.031006736439789247,bonf,-0.47083454617636333
phase,Cooldown,VO2max,0.6245002546339884,0.1641677994713686,0.7127016170782645,0.1654831461992278,True,False,474.0,two-sided,0.003179441056545128,0.03179441056545128,bonf,-0.5315872358850681
phase,Cooldown,WanT,0.6245002546339884,0.1641677994713686,0.6182952890823935,0.18044012975311008,True,False,822.0,two-sided,0.798338886865188,1.0,bonf,0.03573448318491994
phase,Cooldown,Warmup,0.6245002546339884,0.1641677994713686,0.6632475035499295,0.16585572905783244,True,False,661.0,two-sided,0.13309310324670395,1.0,bonf,-0.23326378746631057
phase,SecondThreshold,VO2max,0.7032229357231649,0.16800163338828836,0.7127016170782645,0.1654831461992278,True,False,771.0,two-sided,0.5154614968015898,1.0,bonf,-0.05646983985712165
phase,SecondThreshold,WanT,0.7032229357231649,0.16800163338828836,0.6182952890823935,0.18044012975311008,True,False,466.0,two-sided,0.0025972642617456353,0.025972642617456354,bonf,0.4839487630372832
phase,SecondThreshold,Warmup,0.7032229357231649,0.16800163338828836,0.6632475035499295,0.16585572905783244,True,False,625.0,two-sided,0.07495492914757237,0.7495492914757238,bonf,0.23789223816334437
phase,VO2max,WanT,0.7127016170782645,0.1654831461992278,0.6182952890823935,0.18044012975311008,True,False,377.0,two-sided,0.0002148849627222867,0.002148849627222867,bonf,0.5417173856497658
phase,VO2max,Warmup,0.7127016170782645,0.1654831461992278,0.6632475035499295,0.16585572905783244,True,False,603.0,two-sided,0.05104851791674433,0.5104851791674433,bonf,0.2965423924501164
phase,WanT,Warmup,0.6182952890823935,0.18044012975311008,0.6632475035499295,0.16585572905783244,True,False,706.0,two-sided,0.24866015800707575,1.0,bonf,-0.2576772113859332
