Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.6164533799545259,0.2204445296283511,0.6637354783414396,0.20894038893125136,True,False,634.0,two-sided,0.1823076684274192,1.0,bonf,-0.21864829953800388
phase,Cooldown,VO2max,0.6164533799545259,0.2204445296283511,0.6069976876259836,0.20103909086116298,True,False,765.0,two-sided,0.7909283875960851,1.0,bonf,0.044514836617411
phase,Cooldown,WanT,0.6164533799545259,0.2204445296283511,0.5806167356069505,0.18724775517582756,True,False,654.0,two-sided,0.2417830767712318,1.0,bonf,0.174025075211084
phase,Cooldown,Warmup,0.6164533799545259,0.2204445296283511,0.7177929014391554,0.15358807187629533,True,False,414.0,two-sided,0.0017585539571768703,0.017585539571768703,bonf,-0.5297757507638576
phase,SecondThreshold,VO2max,0.6637354783414396,0.20894038893125136,0.6069976876259836,0.20103909086116298,True,False,463.0,two-sided,0.00636144594976156,0.0636144594976156,bonf,0.27484106733296526
phase,SecondThreshold,WanT,0.6637354783414396,0.20894038893125136,0.5806167356069505,0.18724775517582756,True,False,478.0,two-sided,0.009155606591500637,0.09155606591500637,bonf,0.4161016484910734
phase,SecondThreshold,Warmup,0.6637354783414396,0.20894038893125136,0.7177929014391554,0.15358807187629533,True,False,626.0,two-sided,0.16183098208871027,1.0,bonf,-0.29279325897470315
phase,VO2max,WanT,0.6069976876259836,0.20103909086116298,0.5806167356069505,0.18724775517582756,True,False,683.0,two-sided,0.35031102815345283,1.0,bonf,0.1348701930845124
phase,VO2max,Warmup,0.6069976876259836,0.20103909086116298,0.7177929014391554,0.15358807187629533,True,False,417.0,two-sided,0.001910713992848916,0.01910713992848916,bonf,-0.6151026285222765
phase,WanT,Warmup,0.5806167356069505,0.18724775517582756,0.7177929014391554,0.15358807187629533,True,False,207.0,two-sided,1.459092068333745e-06,1.459092068333745e-05,bonf,-0.7955689975244582
