Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges
phase,Cooldown,SecondThreshold,0.5721444221223612,0.17198736388059,0.6567808259371711,0.20118683415125588,True,False,420.0,two-sided,0.0020748806642157244,0.020748806642157246,bonf,-0.44913007143345074
phase,Cooldown,VO2max,0.5721444221223612,0.17198736388059,0.6901157925628018,0.16328803951364299,True,False,323.0,two-sided,0.0001085960665367175,0.001085960665367175,bonf,-0.698683928082149
phase,Cooldown,WanT,0.5721444221223612,0.17198736388059,0.6192116748653002,0.1728707192635153,True,False,584.0,two-sided,0.08158940123582271,0.8158940123582271,bonf,-0.27109966433301624
phase,Cooldown,Warmup,0.5721444221223612,0.17198736388059,0.5811888837603902,0.20152007397352098,True,False,745.0,two-sided,0.6684713500369919,1.0,bonf,-0.04794927960365201
phase,SecondThreshold,VO2max,0.6567808259371711,0.20118683415125588,0.6901157925628018,0.16328803951364299,True,False,614.0,two-sided,0.13443880102440048,1.0,bonf,-0.18069625408510567
phase,SecondThreshold,WanT,0.6567808259371711,0.20118683415125588,0.6192116748653002,0.1728707192635153,True,False,657.0,two-sided,0.25176603920412344,1.0,bonf,0.19893175443390781
phase,SecondThreshold,Warmup,0.6567808259371711,0.20118683415125588,0.5811888837603902,0.20152007397352098,True,False,445.0,two-sided,0.0040355139563074665,0.04035513956307467,bonf,0.37285351366581126
phase,VO2max,WanT,0.6901157925628018,0.16328803951364299,0.6192116748653002,0.1728707192635153,True,False,457.0,two-sided,0.005478098924050023,0.05478098924050023,bonf,0.41879607700950916
phase,VO2max,Warmup,0.6901157925628018,0.16328803951364299,0.5811888837603902,0.20152007397352098,True,False,393.0,two-sided,0.0009684319949795176,0.009684319949795175,bonf,0.5898623848174026
phase,WanT,Warmup,0.6192116748653002,0.1728707192635153,0.5811888837603902,0.20152007397352098,True,False,606.0,two-sided,0.11826875059127676,1.0,bonf,0.20114208872364406
