"muscle_pair","phase","n","mean","sd"
"CCI_MTL_MTR","Warmup",59,0.831959626636037,0.0792437892719554
"CCI_MTL_MTR","Second_Threshold",59,0.799952246834594,0.160703030350382
"CCI_MTL_MTR","VO2max",60,0.751173489364575,0.156787775370063
"CCI_MTL_MTR","WanT",59,0.703940608789263,0.171042294872376
"CCI_MTL_MTR","Cooldown",60,0.734533857064284,0.181836107536447
"CCI_MTL_MTR","Static",60,0.899279624357769,0.0666307738125891
"CCI_SCML_MTL","Warmup",60,0.726117328679786,0.130553117608107
"CCI_SCML_MTL","Second_Threshold",59,0.669598069801117,0.186992297453745
"CCI_SCML_MTL","VO2max",60,0.614811965183566,0.198476609031453
"CCI_SCML_MTL","WanT",59,0.549748134516442,0.197692196388867
"CCI_SCML_MTL","Cooldown",60,0.571445377405139,0.191395983711832
"CCI_SCML_MTL","Static",60,0.707546091285877,0.230909554458163
"CCI_SCML_SCMR","Warmup",59,0.733923126392412,0.133001600270561
"CCI_SCML_SCMR","Second_Threshold",58,0.71760118305786,0.176403770743014
"CCI_SCML_SCMR","VO2max",59,0.731471808613748,0.146769228248338
"CCI_SCML_SCMR","WanT",58,0.683702338826348,0.145934193369111
"CCI_SCML_SCMR","Cooldown",59,0.674278623196996,0.172068566642813
"CCI_SCML_SCMR","Static",59,0.754112896418336,0.183469859872829
"CCI_SCML_STL","Warmup",60,0.664233546570436,0.165655084217096
"CCI_SCML_STL","Second_Threshold",59,0.706545840568888,0.16849147981205
"CCI_SCML_STL","VO2max",60,0.713945740658757,0.162807165758664
"CCI_SCML_STL","WanT",59,0.619667935683978,0.180940467032233
"CCI_SCML_STL","Cooldown",60,0.623527204161536,0.16043733689824
"CCI_SCML_STL","Static",60,0.627959461419618,0.220597616063399
"CCI_SCML_UTL","Warmup",60,0.702593624445118,0.161599043553485
"CCI_SCML_UTL","Second_Threshold",59,0.689106647663206,0.17622685352511
"CCI_SCML_UTL","VO2max",60,0.627096889568702,0.190814659138676
"CCI_SCML_UTL","WanT",59,0.576860180850175,0.202666295084112
"CCI_SCML_UTL","Cooldown",60,0.565784288276922,0.179542733550775
"CCI_SCML_UTL","Static",60,0.673770932499609,0.222831819584179
"CCI_SCMR_MTR","Warmup",58,0.721850075475833,0.149578271415537
"CCI_SCMR_MTR","Second_Threshold",58,0.665303819402371,0.205497424033552
"CCI_SCMR_MTR","VO2max",59,0.614159126561741,0.19860253422327
"CCI_SCMR_MTR","WanT",58,0.577557471821011,0.190871736465529
"CCI_SCMR_MTR","Cooldown",59,0.613808071052528,0.2124982860759
"CCI_SCMR_MTR","Static",59,0.73460330899784,0.21403418850972
"CCI_SCMR_STR","Warmup",58,0.580454299689501,0.198458581225835
"CCI_SCMR_STR","Second_Threshold",57,0.653250720129369,0.20115582979722
"CCI_SCMR_STR","VO2max",58,0.693156289914604,0.161244874349295
"CCI_SCMR_STR","WanT",57,0.630528017317574,0.175446557186744
"CCI_SCMR_STR","Cooldown",58,0.573485432361123,0.166210876871386
"CCI_SCMR_STR","Static",58,0.554034065282925,0.244427620529839
"CCI_SCMR_UTR","Warmup",59,0.709800194408699,0.149139408176689
"CCI_SCMR_UTR","Second_Threshold",58,0.647886185545097,0.208444111355543
"CCI_SCMR_UTR","VO2max",59,0.600739048862312,0.215539455446789
"CCI_SCMR_UTR","WanT",58,0.545170270371948,0.224458341186936
"CCI_SCMR_UTR","Cooldown",59,0.545420604869717,0.215420655901237
"CCI_SCMR_UTR","Static",59,0.71968217425467,0.223878720309643
"CCI_STL_STR","Warmup",59,0.797830033264033,0.119416027867393
"CCI_STL_STR","Second_Threshold",58,0.787276099140318,0.13978695637725
"CCI_STL_STR","VO2max",59,0.795677799754622,0.134266306973486
"CCI_STL_STR","WanT",58,0.74042506145941,0.143100985863691
"CCI_STL_STR","Cooldown",59,0.740262054880551,0.149560845534033
"CCI_STL_STR","Static",59,0.782996177394424,0.13681937398501
"CCI_UTL_MTL","Warmup",60,0.742376291324048,0.158211066089383
"CCI_UTL_MTL","Second_Threshold",59,0.657516746679703,0.239617851350762
"CCI_UTL_MTL","VO2max",60,0.580810185036132,0.237925706222083
"CCI_UTL_MTL","WanT",59,0.592695195718073,0.201515180992885
"CCI_UTL_MTL","Cooldown",60,0.638179419443929,0.245140728389032
"CCI_UTL_MTL","Static",60,0.867416890965801,0.0952846843979931
"CCI_UTL_UTR","Warmup",60,0.760253903337187,0.13699688781216
"CCI_UTL_UTR","Second_Threshold",59,0.749578469725619,0.173335405384817
"CCI_UTL_UTR","VO2max",60,0.664887211143994,0.19390865817633
"CCI_UTL_UTR","WanT",59,0.633895420877698,0.212803718631606
"CCI_UTL_UTR","Cooldown",60,0.633054260964598,0.206172907423262
"CCI_UTL_UTR","Static",60,0.836300528029503,0.146746691842796
"CCI_UTR_MTR","Warmup",59,0.760807179676334,0.145250617542005
"CCI_UTR_MTR","Second_Threshold",59,0.661790152374893,0.226172708638695
"CCI_UTR_MTR","VO2max",60,0.573622960098776,0.228489342541477
"CCI_UTR_MTR","WanT",59,0.553541516218026,0.218080366576732
"CCI_UTR_MTR","Cooldown",60,0.603190074698987,0.240704050452965
"CCI_UTR_MTR","Static",60,0.843063517094438,0.119291860525195
