Fitness_Measure,Phase,Muscle_Pair,high_median,low_median,high_n,low_n,U_statistic,p_value,significant
VO2max,WanT,MTL_MTR,0.8079197395544644,0.6802716577190332,30,29,617.5,0.0057886839971909645,TRUE
VO2max,WanT,SCML_MTL,0.6000744224381034,0.5701307725553377,30,29,507,0.2783292399716474,FALSE
VO2max,WanT,SCML_SCMR,0.7085709961933461,0.7276374310808456,29,29,411.5,0.8948355459896957,FALSE
VO2max,WanT,SCML_STL,0.6078419131470802,0.6835670035899071,30,29,354,0.22226105014880276,FALSE
VO2max,WanT,SCML_UTL,0.5809339267635338,0.6210864214780821,30,29,450.5,0.8200872673566242,FALSE
VO2max,WanT,SCMR_MTR,0.6356200724475106,0.5770723970629664,29,29,495,0.24981617584154356,FALSE
VO2max,WanT,SCMR_STR,0.6363324707494762,0.6087237867536226,29,28,439,0.6039152096164895,FALSE
VO2max,WanT,SCMR_UTR,0.5987968036984249,0.5250779456325689,29,29,492.5,0.26616616454802117,FALSE
VO2max,WanT,STL_STR,0.7961860144240075,0.7192264273615614,30,28,491.5,0.2692392737379863,FALSE
VO2max,WanT,UTL_MTL,0.5927832611720065,0.6937922027320143,30,29,332.5,0.12197357862099936,FALSE
VO2max,WanT,UTL_UTR,0.7100483132418243,0.6850295435370751,30,29,459.5,0.7159383765817243,FALSE
VO2max,WanT,UTR_MTR,0.6317881061840899,0.5505500744599044,30,29,486,0.4438673110565552,FALSE
VO2max,VO2max,MTL_MTR,0.7910046236012639,0.7859264088560147,31,29,467,0.8014469044092744,FALSE
VO2max,VO2max,SCML_MTL,0.5991858312235184,0.6429744964365641,31,29,385,0.3437767189376215,FALSE
VO2max,VO2max,SCML_SCMR,0.7226189488773085,0.7855519897121421,30,29,382,0.4260303232273746,FALSE
VO2max,VO2max,SCML_STL,0.7536491051881745,0.7612717709408248,31,29,422,0.6895974347983285,FALSE
VO2max,VO2max,SCML_UTL,0.6157542339783711,0.6755479221130825,31,29,363,0.2033135973010123,FALSE
VO2max,VO2max,SCMR_MTR,0.5893440077668599,0.6983043339937149,30,29,332,0.12016032927135752,FALSE
VO2max,VO2max,SCMR_STR,0.7485774242797594,0.7262460989516082,30,28,445,0.7030299918355747,FALSE
VO2max,VO2max,SCMR_UTR,0.637028232378027,0.6995572600930728,30,29,387,0.47140608618045765,FALSE
VO2max,VO2max,STL_STR,0.8163305616524826,0.8500877637103759,31,28,419,0.8257920532678547,FALSE
VO2max,VO2max,UTL_MTL,0.5295124871395414,0.6555318808248268,31,29,384,0.3362897794553458,FALSE
VO2max,VO2max,UTL_UTR,0.7233502518285191,0.6943579607743574,31,29,500,0.45952314202382677,FALSE
VO2max,VO2max,UTR_MTR,0.6003869492280579,0.6384691250682237,31,29,385,0.3437767189376215,FALSE
WanT,Warmup,MTL_MTR,0.8600220761276123,0.8384176761248058,30,29,513,0.2399739255288419,FALSE
WanT,Warmup,SCML_MTL,0.774881577208779,0.7311463811220047,30,30,499,0.4733465572584496,FALSE
WanT,Warmup,SCML_SCMR,0.7772230378513418,0.7486156653790309,29,30,481,0.49027643401927085,FALSE
WanT,Warmup,SCML_STL,0.7088901487275668,0.643312834290257,30,30,479,0.6734950528016032,FALSE
WanT,Warmup,SCML_UTL,0.7858092232398277,0.7376743745367239,30,30,500,0.46427291062161513,FALSE
WanT,Warmup,SCMR_MTR,0.7304414313555976,0.7550600272170358,29,29,367,0.40981527627391556,FALSE
WanT,Warmup,SCMR_STR,0.5989101816137747,0.6261884584159612,28,30,336,0.19383893024421206,FALSE
WanT,Warmup,SCMR_UTR,0.7552481530197882,0.7400859637155376,29,30,455,0.767491094010285,FALSE
WanT,Warmup,STL_STR,0.8639268674645659,0.8172599701301588,29,30,490,0.4086186964654205,FALSE
WanT,Warmup,UTL_MTL,0.8164173366424654,0.790466569144219,30,30,504,0.42896338886043267,FALSE
WanT,Warmup,UTL_UTR,0.8062596375315114,0.8029353563247281,30,30,471,0.7618283459354748,FALSE
WanT,Warmup,UTR_MTR,0.7927421639182586,0.814872742755013,30,29,440,0.945603482256091,FALSE
WanT,SecondThreshold,MTL_MTR,0.8367609969897832,0.8441034667823288,30,29,407,0.6767121100336992,FALSE
WanT,SecondThreshold,SCML_MTL,0.6623518211878938,0.7172663891718368,30,29,316,0.07238447199635388,FALSE
WanT,SecondThreshold,SCML_SCMR,0.7222811854786942,0.7907426631502205,29,29,412,0.9009903574854177,FALSE
WanT,SecondThreshold,SCML_STL,0.7288969476715643,0.7622173532815718,30,29,380,0.4086186964654205,FALSE
WanT,SecondThreshold,SCML_UTL,0.7225889836915791,0.690748314005616,30,29,414,0.7559373140227614,FALSE
WanT,SecondThreshold,SCMR_MTR,0.6631756927519401,0.7755344298072894,29,29,269,0.018862065859530517,TRUE
WanT,SecondThreshold,SCMR_STR,0.7253989044707856,0.6575578016854025,28,29,442,0.5709412942186974,FALSE
WanT,SecondThreshold,SCMR_UTR,0.6892904825793195,0.7441205184416304,29,29,412,0.9009903574854177,FALSE
WanT,SecondThreshold,STL_STR,0.8536119377893356,0.8313360988055154,29,29,473,0.4187064553676442,FALSE
WanT,SecondThreshold,UTL_MTL,0.6632713198088818,0.7917049422976228,30,29,356,0.23396232010941428,FALSE
WanT,SecondThreshold,UTL_UTR,0.8459152193621462,0.7544534843703489,30,29,478,0.5193268870341157,FALSE
WanT,SecondThreshold,UTR_MTR,0.644290893797518,0.7703208867226887,30,29,330,0.11309705674249369,FALSE
WanT,VO2max,MTL_MTR,0.7524484757587949,0.8023231640713666,30,30,333,0.0849996974869641,FALSE
WanT,VO2max,SCML_MTL,0.572304580538892,0.7250683058399783,30,30,300,0.027086318388295953,TRUE
WanT,VO2max,SCML_SCMR,0.7217167753743677,0.8092639818416123,29,30,358,0.24609359194715105,FALSE
