Muscle_Pair,Phase,Comparison,Group1_Mean,Group2_Mean,Group1_SD,Group2_SD,Group1_n,Group2_n,t_statistic,df,p_value,p_adjusted,Significant
MTL_MTR,Warmup,High-VO2max vs Low-VO2max,0.849001413,0.820159414,0.077648086,0.08164897,28,29,1.366918357,54.98842979,0.177213522,0.886067608,No
MTL_MTR,SecondThreshold,High-VO2max vs Low-VO2max,0.819310779,0.772840596,0.155606514,0.165867604,28,29,1.091241597,54.95659486,0.279927821,1,No
MTL_MTR,VO2max,High-VO2max vs Low-VO2max,0.743541764,0.743599775,0.156553132,0.158363455,28,29,-0.001390666,54.96771785,0.998895444,1,No
MTL_MTR,WanT,High-VO2max vs Low-VO2max,0.756266522,0.638001806,0.116803374,0.193232547,28,29,2.807248895,46.32258387,0.007287583,0.036437914,Yes
MTL_MTR,Cooldown,High-VO2max vs Low-VO2max,0.789665005,0.676499366,0.122056529,0.21221159,28,29,2.47837208,44.99629749,0.017015422,0.085077108,No
SCML_MTL,Warmup,High-VO2max vs Low-VO2max,0.716791124,0.741465773,0.139138698,0.124476548,29,29,-0.711743883,55.31968333,0.479614214,1,No
SCML_MTL,SecondThreshold,High-VO2max vs Low-VO2max,0.648391096,0.697351948,0.191137572,0.182606879,29,29,-0.997413203,55.88366467,0.322863327,1,No
SCML_MTL,VO2max,High-VO2max vs Low-VO2max,0.595946482,0.635261956,0.201519341,0.198159856,29,29,-0.749118674,55.98418073,0.456921824,1,No
SCML_MTL,WanT,High-VO2max vs Low-VO2max,0.592289634,0.529242856,0.192775057,0.193622111,29,29,1.242630232,55.99892356,0.219182459,1,No
SCML_MTL,Cooldown,High-VO2max vs Low-VO2max,0.608338871,0.534383156,0.208178859,0.182633392,29,29,1.438108865,55.06687763,0.15606231,0.780311552,No
SCML_SCMR,Warmup,High-VO2max vs Low-VO2max,0.738981064,0.728519136,0.124160004,0.153705915,28,29,0.283144575,53.36018963,0.778161607,1,No
SCML_SCMR,SecondThreshold,High-VO2max vs Low-VO2max,0.676811745,0.768371731,0.197147669,0.132817131,28,29,-2.049186725,47.12252571,0.046034229,0.230171145,No
SCML_SCMR,VO2max,High-VO2max vs Low-VO2max,0.717527135,0.748758952,0.165480187,0.128451903,28,29,-0.794070379,50.93140545,0.430838845,1,No
SCML_SCMR,WanT,High-VO2max vs Low-VO2max,0.684588831,0.687262688,0.135618349,0.153590991,28,29,-0.069731931,54.57419966,0.944661917,1,No
SCML_SCMR,Cooldown,High-VO2max vs Low-VO2max,0.665664599,0.67714318,0.187973147,0.170035121,28,29,-0.241513141,54.00837009,0.810072055,1,No
SCML_STL,Warmup,High-VO2max vs Low-VO2max,0.603921315,0.722573693,0.168731723,0.142259239,29,29,-2.895175638,54.44461562,0.005443686,0.027218429,Yes
SCML_STL,SecondThreshold,High-VO2max vs Low-VO2max,0.695914011,0.71053186,0.165816313,0.172775609,29,29,-0.328722294,55.90561,0.743593815,1,No
SCML_STL,VO2max,High-VO2max vs Low-VO2max,0.702988439,0.722414795,0.171381771,0.161803045,29,29,-0.443854598,55.81577674,0.6588637,1,No
SCML_STL,WanT,High-VO2max vs Low-VO2max,0.595352675,0.641237903,0.171175971,0.18944274,29,29,-0.967792352,55.43397295,0.337351677,1,No
SCML_STL,Cooldown,High-VO2max vs Low-VO2max,0.625950782,0.623049727,0.160876375,0.170232501,29,29,0.066699982,55.82199896,0.947058871,1,No
SCML_UTL,Warmup,High-VO2max vs Low-VO2max,0.708883203,0.722339972,0.158702559,0.13917334,29,29,-0.343311273,55.06139944,0.732671711,1,No
SCML_UTL,SecondThreshold,High-VO2max vs Low-VO2max,0.668874704,0.71667104,0.180222812,0.170364546,29,29,-1.037864642,55.82372088,0.303807829,1,No
SCML_UTL,VO2max,High-VO2max vs Low-VO2max,0.609415664,0.660751751,0.195103183,0.182303174,29,29,-1.035327885,55.74410456,0.304986424,1,No
SCML_UTL,WanT,High-VO2max vs Low-VO2max,0.583451677,0.56669151,0.179166123,0.225885676,29,29,0.313048714,53.24068974,0.755466708,1,No
SCML_UTL,Cooldown,High-VO2max vs Low-VO2max,0.582293837,0.547590324,0.186981283,0.179565426,29,29,0.720890415,55.90853674,0.473980633,1,No
SCMR_MTR,Warmup,High-VO2max vs Low-VO2max,0.721505926,0.714335948,0.150715391,0.158801213,27,29,0.173343622,53.97726701,0.86302976,1,No
SCMR_MTR,SecondThreshold,High-VO2max vs Low-VO2max,0.600248562,0.722843986,0.209427222,0.193703049,27,29,-2.269406854,52.80504498,0.02735405,0.136770248,No
SCMR_MTR,VO2max,High-VO2max vs Low-VO2max,0.554079002,0.656266809,0.194815894,0.197314916,27,29,-1.949283577,53.80592626,0.05648232,0.2824116,No
SCMR_MTR,WanT,High-VO2max vs Low-VO2max,0.606412432,0.556600053,0.181952724,0.19206812,27,29,0.996596026,53.98116732,0.323407148,1,No
SCMR_MTR,Cooldown,High-VO2max vs Low-VO2max,0.634920557,0.599259802,0.189837651,0.247703082,27,29,0.607084552,52.12928157,0.546430083,1,No
SCMR_STR,Warmup,High-VO2max vs Low-VO2max,0.543558044,0.618819724,0.206125464,0.193132092,28,28,-1.409888987,53.77267894,0.164330485,0.821652427,No
SCMR_STR,SecondThreshold,High-VO2max vs Low-VO2max,0.658456231,0.655105421,0.21666069,0.18842432,28,28,0.061751161,52.9802601,0.950993369,1,No
SCMR_STR,VO2max,High-VO2max vs Low-VO2max,0.696762282,0.683469303,0.167707318,0.161542927,28,28,0.302074553,53.92444393,0.763757254,1,No
SCMR_STR,WanT,High-VO2max vs Low-VO2max,0.625077886,0.613345463,0.170068044,0.178552185,28,28,0.251768022,53.87252541,0.802178365,1,No
SCMR_STR,Cooldown,High-VO2max vs Low-VO2max,0.562146744,0.5821421,0.180220767,0.166036181,28,28,-0.431778028,53.64112944,0.667633359,1,No
SCMR_UTR,Warmup,High-VO2max vs Low-VO2max,0.750116618,0.690399691,0.120245077,0.15983397,28,29,1.597534067,51.9394971,0.116213468,0.581067338,No
SCMR_UTR,SecondThreshold,High-VO2max vs Low-VO2max,0.665824784,0.642262467,0.209082147,0.204528772,28,29,0.429918793,54.8172762,0.668940081,1,No
SCMR_UTR,VO2max,High-VO2max vs Low-VO2max,0.597016548,0.611870147,0.208735062,0.221809164,28,29,-0.260444771,54.96564269,0.795493944,1,No
SCMR_UTR,WanT,High-VO2max vs Low-VO2max,0.575132923,0.50590664,0.203452449,0.240982301,28,29,1.173357714,54.05203013,0.245797043,1,No
SCMR_UTR,Cooldown,High-VO2max vs Low-VO2max,0.564936,0.538528756,0.192938002,0.245225152,28,29,0.452674149,52.87393529,0.652635402,1,No
STL_STR,Warmup,High-VO2max vs Low-VO2max,0.774176021,0.821078141,0.140475484,0.093820356,29,28,-1.487026317,49.0016235,0.143414649,0.717073243,No
STL_STR,SecondThreshold,High-VO2max vs Low-VO2max,0.78370388,0.786410083,0.14856389,0.133204541,29,28,-0.072461769,54.70719665,0.942498707,1,No
STL_STR,VO2max,High-VO2max vs Low-VO2max,0.796759388,0.792207977,0.123601772,0.150924872,29,28,0.124320327,52.18793651,0.901539271,1,No
STL_STR,WanT,High-VO2max vs Low-VO2max,0.752319527,0.723631522,0.13830927,0.141142067,29,28,0.774756464,54.82809962,0.441812074,1,No
STL_STR,Cooldown,High-VO2max vs Low-VO2max,0.730343319,0.74393847,0.149767194,0.15818933,29,28,-0.332962063,54.55488379,0.740439125,1,No
