Muscle_Pair,group1,group2,n,statistic,df,p,p.adj,p.adj.signif
MTL_MTR,Warmup,SecondThreshold,57,1.6313656608801814,56,0.1084249954179988,1,ns
MTL_MTR,Warmup,VO2max,57,4.046731204068138,56,1.608817066950632e-4,0.0016088170669506321,**
MTL_MTR,Warmup,WanT,57,5.511117821131287,56,9.348387361725161e-7,9.34838736172516e-6,***
MTL_MTR,Warmup,Cooldown,57,4.0002268022779734,56,1.8748366103604812e-4,0.0018748366103604813,**
MTL_MTR,SecondThreshold,VO2max,57,3.1180793548866963,56,0.002873129804818283,0.02873129804818283,*
MTL_MTR,SecondThreshold,WanT,57,3.785556820161163,56,3.7586365986975014e-4,0.0037586365986975014,**
MTL_MTR,SecondThreshold,Cooldown,57,2.613142283915217,56,0.011499214347688698,0.11499214347688698,ns
MTL_MTR,VO2max,WanT,57,1.8435398256414686,56,0.07054401487020608,0.7054401487020607,ns
MTL_MTR,VO2max,Cooldown,57,0.4759377489031923,56,0.6359702739712498,1,ns
MTL_MTR,WanT,Cooldown,57,-1.7883942776717519,56,0.07912238830128189,0.7912238830128189,ns
SCML_MTL,Warmup,SecondThreshold,58,2.699566143720277,57,0.009122196309556315,0.09122196309556316,ns
SCML_MTL,Warmup,VO2max,58,4.158665234145618,57,1.0893368383653755e-4,0.0010893368383653756,**
SCML_MTL,Warmup,WanT,58,5.233047053260574,57,2.4899190887940636e-6,2.4899190887940637e-5,***
SCML_MTL,Warmup,Cooldown,58,4.762843835819686,57,1.3529202356970317e-5,1.3529202356970317e-4,***
SCML_MTL,SecondThreshold,VO2max,58,2.9228961906143915,57,0.0049656265865060546,0.04965626586506054,*
SCML_MTL,SecondThreshold,WanT,58,3.7686148642699906,57,3.9147483907965596e-4,0.003914748390796559,**
SCML_MTL,SecondThreshold,Cooldown,58,3.1072201831603508,57,0.002943339891567725,0.029433398915677252,*
SCML_MTL,VO2max,WanT,58,1.9767606508056172,57,0.052913715815103755,0.5291371581510376,ns
SCML_MTL,VO2max,Cooldown,58,1.373603760071333,57,0.17494327619817474,1,ns
SCML_MTL,WanT,Cooldown,58,-0.4670765168699897,57,0.6422257130402924,1,ns
SCML_SCMR,Warmup,SecondThreshold,57,0.47475101711750733,56,0.6368107267423259,1,ns
SCML_SCMR,Warmup,VO2max,57,0.010624677969301327,56,0.9915606536863346,1,ns
SCML_SCMR,Warmup,WanT,57,1.8547512450813084,56,0.06889932832767287,0.6889932832767287,ns
SCML_SCMR,Warmup,Cooldown,57,2.502855577401191,56,0.015264133619690326,0.15264133619690326,ns
SCML_SCMR,SecondThreshold,VO2max,57,-0.6541283617144956,56,0.5157065359617192,1,ns
SCML_SCMR,SecondThreshold,WanT,57,1.5360935782729024,56,0.13014667520484038,1,ns
SCML_SCMR,SecondThreshold,Cooldown,57,1.7878767511332712,56,0.07920685037561918,0.7920685037561919,ns
SCML_SCMR,VO2max,WanT,57,2.2973241907108033,56,0.025360385501860906,0.25360385501860905,ns
SCML_SCMR,VO2max,Cooldown,57,2.256214743825285,56,0.027980385966236636,0.27980385966236637,ns
SCML_SCMR,WanT,Cooldown,57,0.8146742605010995,56,0.4187099152793663,1,ns
SCML_STL,Warmup,SecondThreshold,58,-1.9984110153292791,57,0.05045020584430769,0.5045020584430769,ns
SCML_STL,Warmup,VO2max,58,-1.8943020420561927,57,0.0632624673504189,0.632624673504189,ns
SCML_STL,Warmup,WanT,58,1.3723186771299714,57,0.17534064781434802,1,ns
SCML_STL,Warmup,Cooldown,58,1.6191609126469968,57,0.11093311403964018,1,ns
SCML_STL,SecondThreshold,VO2max,58,-0.4305786483521732,57,0.6683985703640076,1,ns
SCML_STL,SecondThreshold,WanT,58,2.777472321733814,57,0.007402561102001886,0.07402561102001887,ns
SCML_STL,SecondThreshold,Cooldown,58,2.8297689229215437,57,0.006421333657528174,0.06421333657528173,ns
SCML_STL,VO2max,WanT,58,3.8353557879140667,57,3.1586742569142726e-4,0.0031586742569142726,**
SCML_STL,VO2max,Cooldown,58,3.061691320123422,57,0.0033549510563774926,0.03354951056377493,*
SCML_STL,WanT,Cooldown,58,-0.22856195565893916,57,0.8200274275914778,1,ns
SCML_UTL,Warmup,SecondThreshold,58,0.9787086991583744,57,0.33185970501072515,1,ns
SCML_UTL,Warmup,VO2max,58,2.6459108620172307,57,0.010511679137518486,0.10511679137518486,ns
SCML_UTL,Warmup,WanT,58,4.6141100821133785,57,2.2843123235882085e-5,2.2843123235882085e-4,***
SCML_UTL,Warmup,Cooldown,58,4.936244113775402,57,7.291830671888173e-6,7.291830671888173e-5,***
SCML_UTL,SecondThreshold,VO2max,58,2.2770120609607494,57,0.026557571991939335,0.2655757199193933,ns
SCML_UTL,SecondThreshold,WanT,58,3.5153894753892603,57,8.684058160611902e-4,0.008684058160611902,**
SCML_UTL,SecondThreshold,Cooldown,58,3.5932647769367096,57,6.817561336180027e-4,0.006817561336180026,**
SCML_UTL,VO2max,WanT,58,1.9031201384700565,57,0.06207937759848067,0.6207937759848068,ns
SCML_UTL,VO2max,Cooldown,58,2.1748905256455573,57,0.033802068264661665,0.33802068264661667,ns
SCML_UTL,WanT,Cooldown,58,0.31971585776314565,57,0.75035266813768,1,ns
SCMR_MTR,Warmup,SecondThreshold,56,1.9496712360554895,55,0.0563209270390689,0.563209270390689,ns
SCMR_MTR,Warmup,VO2max,56,3.59800007383772,55,6.876838341338262e-4,0.006876838341338261,**
SCMR_MTR,Warmup,WanT,56,5.625716151249898,55,6.421279284823776e-7,6.421279284823776e-6,***
SCMR_MTR,Warmup,Cooldown,56,3.6157174060355777,55,6.508173960940947e-4,0.006508173960940947,**
SCMR_MTR,SecondThreshold,VO2max,56,2.829860684053271,55,0.006488821943277963,0.06488821943277963,ns
SCMR_MTR,SecondThreshold,WanT,56,2.754449268669802,55,0.00795439253311507,0.0795439253311507,ns
SCMR_MTR,SecondThreshold,Cooldown,56,1.3675568807606078,55,0.1770134226802308,1,ns
SCMR_MTR,VO2max,WanT,56,0.9076103255576565,55,0.36804378218976685,1,ns
SCMR_MTR,VO2max,Cooldown,56,-0.2606537710523248,55,0.7953329708192144,1,ns
SCMR_MTR,WanT,Cooldown,56,-1.2364551842311369,55,0.22154361101297523,1,ns
SCMR_STR,Warmup,SecondThreshold,56,-2.8969780976921458,55,0.005398614587538716,0.05398614587538716,ns
SCMR_STR,Warmup,VO2max,56,-3.7380216637971264,55,4.432802138302278e-4,0.004432802138302278,**
SCMR_STR,Warmup,WanT,56,-1.2377968963802595,55,0.22104945309968035,1,ns
SCMR_STR,Warmup,Cooldown,56,0.3804575725381835,55,0.7050712343217032,1,ns
SCMR_STR,SecondThreshold,VO2max,56,-1.3197159786383752,55,0.19239690225272404,1,ns
SCMR_STR,SecondThreshold,WanT,56,1.140207692340934,55,0.2591408242139424,1,ns
SCMR_STR,SecondThreshold,Cooldown,56,3.0810121593593327,55,0.003219339140806244,0.03219339140806244,*
SCMR_STR,VO2max,WanT,56,2.8529151938841952,55,0.006093254171680457,0.060932541716804574,ns
SCMR_STR,VO2max,Cooldown,56,4.515920630813216,55,3.375841247000054e-5,3.375841247000054e-4,***
SCMR_STR,WanT,Cooldown,56,1.6770711380018912,55,0.09920384176760676,0.9920384176760676,ns
SCMR_UTR,Warmup,SecondThreshold,57,2.047669994864172,56,0.045293469427270396,0.45293469427270394,ns
SCMR_UTR,Warmup,VO2max,57,3.1319558342483105,56,0.002760235500891213,0.02760235500891213,*
SCMR_UTR,Warmup,WanT,57,5.5507437875486065,56,8.078662576692631e-7,8.078662576692632e-6,***
SCMR_UTR,Warmup,Cooldown,57,5.488037661697813,56,1.017681858498167e-6,1.017681858498167e-5,***
SCMR_UTR,SecondThreshold,VO2max,57,2.0102299217916073,56,0.04923279080824603,0.4923279080824603,ns
SCMR_UTR,SecondThreshold,WanT,57,2.8878418954519054,56,0.005504207446910768,0.05504207446910768,ns
SCMR_UTR,SecondThreshold,Cooldown,57,2.605595855595611,56,0.011726997244756461,0.11726997244756461,ns
SCMR_UTR,VO2max,WanT,57,1.847313717189842,56,0.069986739804826,0.69986739804826,ns
SCMR_UTR,VO2max,Cooldown,57,1.3522528555390372,56,0.1817302973796764,1,ns
SCMR_UTR,WanT,Cooldown,57,-0.3642486057497058,56,0.7170441608835698,1,ns
STL_STR,Warmup,SecondThreshold,57,0.7201232231413724,56,0.47444422706096645,1,ns
STL_STR,Warmup,VO2max,57,0.11898607538548765,56,0.9057121997932192,1,ns
STL_STR,Warmup,WanT,57,2.369298475306415,56,0.021294352212668254,0.21294352212668255,ns
STL_STR,Warmup,Cooldown,57,2.7342044673845987,56,0.008355999678188718,0.08355999678188718,ns
STL_STR,SecondThreshold,VO2max,57,-0.5493321468348613,56,0.5849615511975308,1,ns
STL_STR,SecondThreshold,WanT,57,2.0151353094422717,56,0.04870040050598501,0.4870040050598501,ns
STL_STR,SecondThreshold,Cooldown,57,1.8713594881995665,56,0.06652248109314494,0.6652248109314495,ns
STL_STR,VO2max,WanT,57,2.9141400286108126,56,0.005117764247746428,0.05117764247746428,ns
STL_STR,VO2max,Cooldown,57,2.341122615800102,56,0.02281103597193813,0.22811035971938132,ns
STL_STR,WanT,Cooldown,57,0.054880192395459826,56,0.9564292408249417,1,ns
UTL_MTL,Warmup,SecondThreshold,58,3.4524782262007054,57,0.0010537405531675897,0.010537405531675897,*
UTL_MTL,Warmup,VO2max,58,5.901093614529531,57,2.0875496127771736e-7,2.087549612777174e-6,***
UTL_MTL,Warmup,WanT,58,4.898332363519922,57,8.352338745084365e-6,8.352338745084366e-5,***
UTL_MTL,Warmup,Cooldown,58,3.922061767779004,57,2.3836532355027033e-4,0.002383653235502703,**
UTL_MTL,SecondThreshold,VO2max,58,3.092228249310499,57,0.0030733480636956313,0.030733480636956315,*
UTL_MTL,SecondThreshold,WanT,58,1.8406030401569744,57,0.07088706947779731,0.7088706947779732,ns
UTL_MTL,SecondThreshold,Cooldown,58,0.7060376924562752,57,0.4830405886861233,1,ns
UTL_MTL,VO2max,WanT,58,-0.4787283088889886,57,0.6339632638188535,1,ns
UTL_MTL,VO2max,Cooldown,58,-1.8609514674477161,57,0.06791134501680864,0.6791134501680863,ns
UTL_MTL,WanT,Cooldown,58,-1.3207500204312272,57,0.1918630242872893,1,ns
UTL_UTR,Warmup,SecondThreshold,58,0.7236967082341268,57,0.4722116557157334,1,ns
UTL_UTR,Warmup,VO2max,58,3.53380001976648,57,8.203255541452747e-4,0.008203255541452747,**
UTL_UTR,Warmup,WanT,58,3.6376052973831925,57,5.932793525609206e-4,0.005932793525609206,**
UTL_UTR,Warmup,Cooldown,58,4.482952006518377,57,3.606299169359617e-5,3.606299169359617e-4,***
UTL_UTR,SecondThreshold,VO2max,58,3.2052670569344355,57,0.0022121456021051023,0.022121456021051023,*
UTL_UTR,SecondThreshold,WanT,58,3.2020425287456518,57,0.002233197306048362,0.022331973060483623,*
UTL_UTR,SecondThreshold,Cooldown,58,3.3333496431964678,57,0.0015120786154045488,0.015120786154045487,*
UTL_UTR,VO2max,WanT,58,0.9526290853506454,57,0.3448003970296063,1,ns
UTL_UTR,VO2max,Cooldown,58,1.0730009446700952,57,0.2877924745253387,1,ns
UTL_UTR,WanT,Cooldown,58,0.2826732049735308,57,0.7784513378220074,1,ns
UTR_MTR,Warmup,SecondThreshold,57,3.7594949681298493,56,4.084649415198915e-4,0.004084649415198915,**
UTR_MTR,Warmup,VO2max,57,5.949376420205941,56,1.8372534583584144e-7,1.8372534583584145e-6,***
UTR_MTR,Warmup,WanT,57,5.927497604674246,56,1.9938657537895254e-7,1.9938657537895256e-6,***
UTR_MTR,Warmup,Cooldown,57,5.312701846845371,56,1.9340257761097597e-6,1.9340257761097597e-5,***
UTR_MTR,SecondThreshold,VO2max,57,3.68703484013047,56,5.139754151749865e-4,0.005139754151749864,**
UTR_MTR,SecondThreshold,WanT,57,2.5140441294033278,56,0.014836806226847134,0.14836806226847135,ns
UTR_MTR,SecondThreshold,Cooldown,57,1.5148358870966878,56,0.1354383513498773,1,ns
UTR_MTR,VO2max,WanT,57,0.13414605291559992,56,0.8937680384071883,1,ns
UTR_MTR,VO2max,Cooldown,57,-0.9742475085368965,56,0.33412339509557043,1,ns
UTR_MTR,WanT,Cooldown,57,-1.024847538856564,56,0.30984189271126394,1,ns
